"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Aaron Judge","Yankees","155","678","52","128","114","9","18.7 %","30.7 %",".343",".357",".284",".422",".627",".430","173","0.0","60.8","-1.3","8.2","15640"
"Jose Altuve","Astros","153","662","24","112","81","32","8.8 %","12.7 %",".202",".370",".346",".410",".547",".405","160","4.0","52.6","-0.1","7.5","5417"
"Anthony Rendon","Nationals","147","605","25","81","100","7","13.9 %","13.6 %",".232",".314",".301",".403",".533",".394","142","1.5","34.3","15.8","6.9","12861"
"Giancarlo Stanton","Marlins","159","692","59","123","132","2","12.3 %","23.6 %",".350",".288",".281",".376",".631",".410","156","-2.4","47.8","-0.5","6.9","4949"
"Mike Trout","Angels","114","507","33","92","72","22","18.5 %","17.8 %",".323",".318",".306",".442",".629",".437","181","4.0","54.9","-3.5","6.9","10155"
"Kris Bryant","Cubs","151","665","29","111","73","7","14.3 %","19.2 %",".242",".334",".295",".409",".537",".399","146","4.8","43.9","2.3","6.7","15429"
"Joey Votto","Reds","162","707","36","106","100","5","19.0 %","11.7 %",".258",".321",".320",".454",".578",".428","165","-9.6","49.2","-5.3","6.6","4314"
"Jose Ramirez","Indians","152","645","29","107","83","17","8.1 %","10.7 %",".265",".319",".318",".374",".583",".396","148","-0.9","37.5","6.3","6.6","13510"
"Charlie Blackmon","Rockies","159","725","37","137","104","14","9.0 %","18.6 %",".270",".371",".331",".399",".601",".414","141","2.0","40.6","1.7","6.5","7859"
"Tommy Pham","Cardinals","128","530","23","95","73","25","13.4 %","22.1 %",".214",".368",".306",".411",".520",".398","148","5.3","38.0","4.5","5.9","2967"
"Francisco Lindor","Indians","159","723","33","99","89","15","8.3 %","12.9 %",".232",".275",".273",".337",".505",".353","118","4.7","21.0","12.8","5.9","12916"
"Corey Seager","Dodgers","145","613","22","85","77","4","10.9 %","21.4 %",".184",".352",".295",".375",".479",".364","127","3.6","25.1","12.6","5.7","13624"
"Nolan Arenado","Rockies","159","680","37","100","130","3","9.1 %","15.6 %",".277",".320",".309",".373",".586",".395","129","0.5","25.7","9.0","5.6","9777"
"Justin Turner","Dodgers","130","543","21","72","71","7","10.9 %","10.3 %",".208",".326",".322",".415",".530",".400","151","2.1","37.5","0.6","5.5","5235"
"Mookie Betts","Red Sox","153","712","24","101","102","26","10.8 %","11.1 %",".194",".268",".264",".344",".459",".339","108","9.2","15.8","13.3","5.3","13611"
"Paul Goldschmidt","Diamondbacks","155","665","36","117","120","18","14.1 %","22.1 %",".265",".343",".297",".404",".563",".400","142","3.3","39.4","-7.6","5.3","9218"
"Justin Upton","- - -","152","635","35","100","109","14","11.7 %","28.3 %",".268",".341",".273",".361",".540",".378","137","4.0","33.0","-4.5","5.0","5222"
"Zack Cozart","Reds","122","507","24","80","63","3","12.2 %","15.4 %",".251",".312",".297",".385",".548",".392","141","-1.5","25.3","8.6","5.0","2616"
