"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Sean Doolittle","- - -","46.3 %","75.8 %","59.9 %","68.9 %","78.2 %","74.3 %","46.2 %","70.6 %","15.4 %","1581"
"Tony Watson","- - -","40.1 %","71.8 %","54.7 %","69.0 %","82.0 %","76.8 %","45.9 %","66.0 %","12.7 %","3132"
"Roberto Osuna","Blue Jays","40.1 %","71.2 %","52.2 %","50.6 %","83.2 %","67.9 %","39.0 %","63.9 %","16.8 %","13764"
"Kenley Jansen","Dodgers","39.8 %","67.6 %","54.6 %","52.4 %","74.1 %","66.7 %","53.1 %","72.9 %","18.2 %","3096"
"Alex Claudio","Rangers","39.8 %","62.1 %","49.7 %","68.9 %","89.7 %","80.4 %","44.3 %","63.2 %","9.7 %","12890"
"Pat Neshek","- - -","39.6 %","68.8 %","55.5 %","59.8 %","82.7 %","75.3 %","54.6 %","71.1 %","13.7 %","4682"
"Nick Vincent","Mariners","39.0 %","74.6 %","56.1 %","74.0 %","86.1 %","81.7 %","47.9 %","66.8 %","10.3 %","7555"
"Adam Morgan","Phillies","37.9 %","68.9 %","51.3 %","56.4 %","75.9 %","67.7 %","43.3 %","61.6 %","16.6 %","12580"
"Masahiro Tanaka","Yankees","37.8 %","69.0 %","50.9 %","52.8 %","83.6 %","70.4 %","42.0 %","64.6 %","15.1 %","15764"
"Joe Smith","- - -","37.8 %","62.0 %","49.8 %","66.7 %","83.3 %","76.9 %","49.4 %","67.3 %","11.5 %","3281"
"Craig Kimbrel","Red Sox","37.4 %","61.2 %","48.7 %","43.4 %","70.3 %","59.4 %","47.4 %","63.8 %","19.8 %","6655"
"Luke Gregerson","Astros","37.4 %","65.0 %","48.2 %","48.0 %","84.2 %","67.2 %","39.3 %","64.3 %","15.8 %","4090"
"Ryan Madson","- - -","37.0 %","64.9 %","49.3 %","60.5 %","83.6 %","73.9 %","44.0 %","59.4 %","12.9 %","1852"
"Brett Cecil","Cardinals","37.0 %","71.4 %","52.4 %","57.9 %","83.3 %","73.4 %","44.9 %","61.4 %","13.9 %","2660"
"Tommy Hunter","Rays","36.5 %","67.9 %","49.9 %","65.6 %","85.3 %","77.0 %","42.6 %","65.4 %","11.5 %","1157"
"Seung Hwan Oh","Cardinals","36.5 %","73.9 %","54.1 %","65.7 %","80.8 %","75.4 %","47.2 %","63.3 %","13.3 %","18719"
"Dan Otero","Indians","36.3 %","74.1 %","54.9 %","76.4 %","91.9 %","86.7 %","49.1 %","66.9 %","7.3 %","7385"
"Andrew Miller","Indians","36.2 %","60.7 %","47.3 %","46.2 %","79.4 %","65.5 %","45.4 %","63.1 %","16.3 %","6785"
"Addison Reed","- - -","36.2 %","75.6 %","56.1 %","63.2 %","81.1 %","75.4 %","50.7 %","67.7 %","13.8 %","10586"
"Chris Sale","Red Sox","36.2 %","65.6 %","49.9 %","55.7 %","79.2 %","70.1 %","46.7 %","66.8 %","14.9 %","10603"
"Alex Wood","Dodgers","36.1 %","63.8 %","48.0 %","61.2 %","86.2 %","75.5 %","43.1 %","66.9 %","11.8 %","13781"
"Richard Bleier","Orioles","36.0 %","73.6 %","55.4 %","68.1 %","90.8 %","83.6 %","51.4 %","59.3 %","9.1 %","7803"
"Josh Fields","Dodgers","35.9 %","78.1 %","56.8 %","59.6 %","83.8 %","76.1 %","49.7 %","67.7 %","13.6 %","5070"
"Chase Whitley","Rays","35.8 %","72.7 %","52.1 %","57.0 %","85.0 %","74.3 %","44.3 %","65.1 %","13.4 %","10982"
"Dominic Leone","Blue Jays","35.8 %","67.0 %","48.6 %","56.1 %","80.5 %","70.0 %","41.1 %","57.0 %","14.6 %","13763"
"Corey Kluber","Indians","35.6 %","63.7 %","49.0 %","44.9 %","82.4 %","68.1 %","47.8 %","64.4 %","15.6 %","2429"
"Mike Minor","Royals","35.5 %","66.6 %","49.3 %","66.0 %","82.4 %","75.9 %","44.5 %","65.5 %","11.9 %","10021"
"Tony Barnette","Rangers","35.4 %","67.5 %","48.5 %","55.3 %","86.0 %","72.7 %","40.8 %","60.7 %","13.2 %","3555"
"Alex Wilson","Tigers","35.4 %","71.7 %","51.2 %","71.6 %","90.6 %","83.2 %","43.5 %","55.4 %","8.6 %","9239"
"Ken Giles","Astros","35.3 %","66.7 %","50.8 %","47.1 %","79.0 %","67.8 %","49.5 %","61.9 %","16.4 %","12910"
