"Name","Team","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","playerid"
"Matt Carpenter","Cardinals","19.0 %","49.4 %","32.8 %","79.5 %","94.8 %","89.9 %","45.3 %","57.7 %","3.3 %","8090"
"Nate McLouth","Nationals","19.2 %","55.8 %","36.4 %","64.1 %","93.3 %","85.1 %","46.9 %","61.7 %","5.4 %","3190"
"Mookie Betts","Red Sox","19.8 %","52.9 %","36.0 %","77.7 %","92.5 %","88.3 %","48.9 %","56.3 %","4.2 %","13611"
"Aaron Hicks","Twins","19.9 %","60.4 %","37.3 %","62.0 %","88.7 %","80.6 %","43.0 %","55.1 %","7.3 %","5297"
"Ryan Hanigan","Rays","20.2 %","58.6 %","39.2 %","67.9 %","93.8 %","87.1 %","49.4 %","60.1 %","5.1 %","4952"
"Coco Crisp","Athletics","20.5 %","61.6 %","39.1 %","72.9 %","93.6 %","87.7 %","45.2 %","57.3 %","4.8 %","1572"
"Robbie Grossman","Astros","20.6 %","61.9 %","38.0 %","65.9 %","86.4 %","80.0 %","42.3 %","56.2 %","7.6 %","5254"
"Carlos Ruiz","Phillies","20.9 %","59.3 %","38.8 %","70.5 %","91.0 %","85.1 %","46.8 %","56.4 %","5.8 %","2579"
"A.J. Ellis","Dodgers","21.0 %","54.6 %","36.8 %","70.0 %","90.8 %","84.5 %","47.1 %","65.7 %","5.6 %","5677"
"Ike Davis","- - -","21.0 %","62.9 %","38.1 %","68.8 %","88.5 %","82.1 %","40.8 %","54.1 %","6.8 %","8433"
"Joey Votto","Reds","21.4 %","64.8 %","39.7 %","69.7 %","87.5 %","81.9 %","42.2 %","57.4 %","7.1 %","4314"
"Tony Gwynn","Phillies","21.4 %","57.3 %","38.2 %","67.3 %","92.3 %","84.8 %","46.7 %","56.7 %","5.8 %","6141"
"Adam Dunn","- - -","21.4 %","65.1 %","39.7 %","46.3 %","79.1 %","68.8 %","41.8 %","56.2 %","12.3 %","319"
"Alex Avila","Tigers","21.5 %","67.0 %","40.8 %","42.4 %","78.6 %","67.7 %","42.5 %","57.8 %","13.2 %","7476"
"Logan Forsythe","Rays","21.5 %","63.0 %","41.6 %","70.7 %","89.4 %","84.4 %","48.5 %","59.5 %","6.5 %","7185"
"Michael Saunders","Mariners","21.5 %","65.2 %","42.0 %","56.4 %","87.9 %","79.3 %","46.9 %","61.2 %","8.7 %","9981"
"Marc Krauss","Astros","21.5 %","59.1 %","38.5 %","62.9 %","84.8 %","78.1 %","45.1 %","55.8 %","8.4 %","7577"
"Craig Gentry","Athletics","21.6 %","60.3 %","40.7 %","62.5 %","92.3 %","84.3 %","49.4 %","61.2 %","6.4 %","9571"
