Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
1,2011,03,29,03/29/2011,02:05 PM,Twins,AL,Orioles,AL
2,2011,03,29,03/29/2011,02:30 PM,Astros,AL,Rangers,AL
3,2011,03,29,03/29/2011,02:37 PM,Yankees,AL,Blue Jays,AL
4,2011,03,29,03/29/2011,03:05 PM,Angels,AL,Athletics,AL
5,2011,03,29,03/29/2011,03:10 PM,Brewers,NL,Padres,NL
6,2011,03,29,03/29/2011,03:10 PM,Nationals,NL,Reds,NL
7,2011,03,29,03/29/2011,06:00 PM,Giants,NL,Dodgers,NL
8,2011,03,29,03/29/2011,09:00 PM,Indians,AL,Mariners,AL
9,2011,03,29,03/29/2011,09:10 PM,Rockies,NL,Diamondbacks,NL
10,2011,03,29,03/29/2011,12:10 PM,Cardinals,NL,Mets,NL
11,2011,03,29,03/29/2011,12:10 PM,Pirates,NL,Tigers,AL
12,2011,03,29,03/29/2011,TBA,Phillies,NL,Braves,NL
13,2011,03,29,03/29/2011,TBA,Cubs,NL,Marlins,NL
14,2011,03,29,03/29/2011,TBA,Red Sox,AL,Rays,AL
15,2011,03,29,03/29/2011,TBA,White Sox,AL,Royals,AL
16,2011,03,30,03/30/2011,06:07 PM,Yankees,AL,Blue Jays,AL
17,2011,03,30,03/30/2011,08:40 PM,Rockies,NL,Diamondbacks,NL
18,2011,03,30,03/30/2011,09:05 PM,Angels,AL,Athletics,AL
19,2011,03,30,03/30/2011,09:10 PM,Brewers,NL,Padres,NL
20,2011,03,30,03/30/2011,TBA,Phillies,NL,Braves,NL
21,2011,03,30,03/30/2011,TBA,Giants,NL,Dodgers,NL
22,2011,03,30,03/30/2011,TBA,Cubs,NL,Marlins,NL
23,2011,03,30,03/30/2011,TBA,Astros,AL,Rangers,AL
24,2011,03,30,03/30/2011,TBA,Red Sox,AL,Rays,AL
25,2011,03,31,03/31/2011,01:10 PM,Nationals,NL,Reds,NL
26,2011,03,31,03/31/2011,03:05 PM,Angels,AL,Athletics,AL
27,2011,03,31,03/31/2011,03:07 PM,Yankees,AL,Blue Jays,AL
28,2011,03,31,03/31/2011,03:10 PM,Indians,AL,Mariners,AL
29,2011,03,31,03/31/2011,06:05 PM,Twins,AL,Orioles,AL
30,2011,03,31,03/31/2011,07:10 PM,Rockies,NL,Diamondbacks,NL
31,2011,03,31,03/31/2011,07:40 PM,Brewers,NL,Padres,NL
32,2011,03,31,03/31/2011,12:10 PM,Cardinals,NL,Mets,NL
33,2011,03,31,03/31/2011,12:10 PM,Pirates,NL,Tigers,AL
34,2011,03,31,03/31/2011,TBA,Phillies,NL,Braves,NL
35,2011,03,31,03/31/2011,TBA,Giants,NL,Dodgers,NL
36,2011,03,31,03/31/2011,TBA,Cubs,NL,Marlins,NL
37,2011,03,31,03/31/2011,TBA,Astros,AL,Rangers,AL
38,2011,03,31,03/31/2011,TBA,Red Sox,AL,Rays,AL
39,2011,03,31,03/31/2011,TBA,White Sox,AL,Royals,AL
40,2011,04,01,04/01/2011,03:05 PM,Angels,AL,Athletics,AL
41,2011,04,01,04/01/2011,03:10 PM,Indians,AL,Mariners,AL
42,2011,04,01,04/01/2011,03:10 PM,Nationals,NL,Reds,NL
43,2011,04,01,04/01/2011,07:30 PM,Giants,NL,Dodgers,NL
44,2011,04,01,04/01/2011,12:05 PM,Twins,AL,Orioles,AL
45,2011,04,01,04/01/2011,12:07 PM,Yankees,AL,Blue Jays,AL
46,2011,04,01,04/01/2011,12:10 PM,Cardinals,NL,Mets,NL
47,2011,04,01,04/01/2011,12:10 PM,Pirates,NL,Tigers,AL
48,2011,04,01,04/01/2011,TBA,Cubs,NL,Marlins,NL
49,2011,04,01,04/01/2011,TBA,Astros,AL,Rangers,AL
50,2011,04,01,04/01/2011,TBA,Red Sox,AL,Rays,AL
51,2011,04,01,04/01/2011,TBA,White Sox,AL,Royals,AL
52,2011,04,02,04/02/2011,01:10 PM,Cardinals,NL,Brewers,NL
53,2011,04,02,04/02/2011,03:10 PM,Cubs,NL,Reds,NL
54,2011,04,02,04/02/2011,06:07 PM,White Sox,AL,Blue Jays,AL
55,2011,04,02,04/02/2011,06:10 PM,Phillies,NL,Mets,NL
56,2011,04,02,04/02/2011,07:10 PM,Orioles,AL,Astros,AL
57,2011,04,02,04/02/2011,08:40 PM,Dodgers,NL,Diamondbacks,NL
58,2011,04,02,04/02/2011,09:00 PM,Indians,AL,Angels,AL
59,2011,04,02,04/02/2011,09:05 PM,Rangers,AL,Athletics,AL
60,2011,04,02,04/02/2011,09:10 PM,Rockies,NL,Padres,NL
61,2011,04,02,04/02/2011,12:00 PM,Rays,AL,Yankees,AL
62,2011,04,02,04/02/2011,12:05 PM,Twins,AL,Pirates,NL
63,2011,04,02,04/02/2011,12:10 PM,Royals,AL,Tigers,AL
64,2011,04,02,04/02/2011,TBA,Nationals,NL,Braves,NL
65,2011,04,02,04/02/2011,TBA,Red Sox,AL,Marlins,NL
66,2011,04,03,04/03/2011,05:40 PM,Cubs,NL,Reds,NL
67,2011,04,03,04/03/2011,06:07 PM,White Sox,AL,Blue Jays,AL
68,2011,04,03,04/03/2011,06:10 PM,Phillies,NL,Mets,NL
69,2011,04,03,04/03/2011,06:40 PM,Cardinals,NL,Brewers,NL
70,2011,04,03,04/03/2011,07:10 PM,Orioles,AL,Astros,AL
71,2011,04,03,04/03/2011,08:40 PM,Dodgers,NL,Diamondbacks,NL
