Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
1,2010,01,01,01/01/2010,7:30 PM,Magic,East,Nets,East
2,2010,01,01,01/01/2010,7:30 PM,Bucks,East,Raptors,East
3,2010,01,01,01/01/2010,8:00 PM,Blazers,West,Bulls,East
4,2010,01,01,01/01/2010,8:00 PM,Lakers,West,Timberwolves,West
5,2010,01,02,01/02/2010,10:00 PM,Hornets,East,Kings,West
6,2010,01,02,01/02/2010,10:30 PM,Grizzlies,West,Clippers,West
7,2010,01,02,01/02/2010,7:00 PM,Blazers,West,Cavaliers,East
8,2010,01,02,01/02/2010,7:30 PM,Spurs,West,Knicks,East
9,2010,01,02,01/02/2010,9:00 PM,Hawks,East,Suns,West
10,2010,01,03,01/03/2010,10:30 PM,Thunder,West,Lakers,West
11,2010,01,03,01/03/2010,7:00 PM,Spurs,West,76ers,East
12,2010,01,03,01/03/2010,7:00 PM,Rockets,West,Magic,East
13,2010,01,03,01/03/2010,7:00 PM,Knicks,East,Wizards,East
14,2010,01,03,01/03/2010,7:30 PM,Pistons,East,Heat,East
15,2010,01,03,01/03/2010,7:30 PM,Timberwolves,West,Nets,East
16,2010,01,03,01/03/2010,8:00 PM,Pacers,East,Bucks,East
17,2010,01,03,01/03/2010,8:00 PM,Raptors,East,Bulls,East
18,2010,01,03,01/03/2010,8:00 PM,Cavaliers,East,Celtics,East
19,2010,01,03,01/03/2010,8:30 PM,Warriors,West,Mavericks,West
20,2010,01,03,01/03/2010,9:00 PM,Pelicans,West,Jazz,West
21,2010,01,03,01/03/2010,9:00 PM,Suns,West,Nuggets,West
22,2010,01,04,01/04/2010,10:30 PM,Thunder,West,Clippers,West
23,2010,01,04,01/04/2010,8:00 PM,Warriors,West,Rockets,West
24,2010,01,05,01/05/2010,10:00 PM,Hawks,East,Blazers,West
25,2010,01,05,01/05/2010,10:30 PM,Hornets,East,Lakers,West
26,2010,01,05,01/05/2010,7:00 PM,Pistons,East,76ers,East
27,2010,01,05,01/05/2010,7:00 PM,Knicks,East,Heat,East
28,2010,01,05,01/05/2010,7:30 PM,Timberwolves,West,Celtics,East
29,2010,01,05,01/05/2010,8:00 PM,Raptors,East,Bucks,East
30,2010,01,05,01/05/2010,8:30 PM,Bulls,East,Mavericks,West
31,2010,01,05,01/05/2010,8:30 PM,Suns,West,Spurs,West
32,2010,01,05,01/05/2010,9:00 PM,Jazz,West,Nuggets,West
33,2010,01,05,01/05/2010,9:30 PM,Wizards,East,Grizzlies,West
34,2010,01,06,01/06/2010,10:00 PM,Nuggets,West,Kings,West
35,2010,01,06,01/06/2010,3:30 PM,Warriors,West,Clippers,West
36,2010,01,06,01/06/2010,6:00 PM,Celtics,East,Nets,East
37,2010,01,06,01/06/2010,7:00 PM,Cavaliers,East,Magic,East
38,2010,01,06,01/06/2010,7:00 PM,Bulls,East,Pacers,East
39,2010,01,06,01/06/2010,7:00 PM,Rockets,West,Pistons,East
40,2010,01,06,01/06/2010,8:00 PM,Bucks,East,Wizards,East
41,2010,01,06,01/06/2010,9:00 PM,Pelicans,West,Timberwolves,West
42,2010,01,07,01/07/2010,3:30 PM,Jazz,West,Heat,East
43,2010,01,07,01/07/2010,7:00 PM,Knicks,East,Mavericks,West
44,2010,01,07,01/07/2010,8:00 PM,Thunder,West,Suns,West
45,2010,01,07,01/07/2010,9:00 PM,Spurs,West,Blazers,West
46,2010,01,07,01/07/2010,9:30 PM,Hawks,East,Lakers,West
47,2010,01,08,01/08/2010,10:00 PM,Spurs,West,Kings,West
48,2010,01,08,01/08/2010,10:30 PM,Hawks,East,Clippers,West
49,2010,01,08,01/08/2010,10:30 PM,Nuggets,West,Warriors,West
50,2010,01,08,01/08/2010,7:00 PM,Bucks,East,Pacers,East
51,2010,01,08,01/08/2010,7:30 PM,Raptors,East,Nets,East
52,2010,01,08,01/08/2010,8:00 PM,Rockets,West,Bulls,East
53,2010,01,08,01/08/2010,8:00 PM,Pistons,East,Pelicans,West
54,2010,01,08,01/08/2010,8:00 PM,Cavaliers,East,Timberwolves,West
55,2010,01,09,01/09/2010,10:30 PM,Kings,West,Lakers,West
56,2010,01,09,01/09/2010,7:30 PM,Heat,East,Raptors,East
57,2010,01,09,01/09/2010,8:00 PM,Blazers,West,Thunder,West
58,2010,01,09,01/09/2010,8:30 PM,Magic,East,Mavericks,West
59,2010,01,10,01/10/2010,10:30 PM,Clippers,West,Warriors,West
60,2010,01,10,01/10/2010,7:00 PM,Mavericks,West,Hornets,East
61,2010,01,10,01/10/2010,7:00 PM,Heat,East,Pacers,East
62,2010,01,10,01/10/2010,7:00 PM,Jazz,West,Wizards,East
63,2010,01,10,01/10/2010,7:30 PM,Bulls,East,Knicks,East
