date,season,team,opponent team,conference,division,coach,dpa,dps,first downs,site,points,o:points,margin,line,ats margin,total
20160826,2016,HAW,CAL,MWC,1A,Nick Rolovich,7.5,8,26,neutral,31,51,-20,20.5,0.5,66.5
20160826,2016,CAL,HAW,P12,1A,Sonny Dykes,8,7.5,30,neutral,51,31,20,-20.5,-0.5,66.5
20160827,2016,NDST,CHSO,MVC,1A,None,3.5,-10.5,-,home,24,17,7,-21,-14,48
20160827,2016,CHSO,NDST,,1AA,None,-10.5,3.5,-,away,17,24,-7,21,14,48
20160901,2016,CIN,TMAR,AAC,1A,Tommy Tuberville,-,-,22,home,28,7,21,-34.5,-13.5,-
20160901,2016,TMAR,CIN,,1AA,None,-,-,20,away,7,28,-21,34.5,13.5,-
20160901,2016,CMCH,PRES,MAC,1A,John Bonamego,-,-,23,home,49,3,46,-37,9,-
20160901,2016,PRES,CMCH,,1A,None,-,-,6,away,3,49,-46,37,-9,-
20160901,2016,CON,MAIN,AAC,1A,Bob Diaco,-,-,23,home,24,21,3,-27,-24,-
20160901,2016,MAIN,CON,,1AA,None,-,-,16,away,21,24,-3,27,24,-
20160901,2016,FINT,IND,USA,1A,Ron Turner,-2.5,-13.5,16,home,13,34,-21,10,-11,63
20160901,2016,IND,FINT,B10,1A,Kevin Wilson,-13.5,-2.5,26,away,34,13,21,-10,11,63
20160901,2016,IDA,MONS,SBC,1A,Paul Petrino,-,-,15,home,20,17,3,-12,-9,-
20160901,2016,MONS,IDA,,1AA,None,-,-,20,away,17,20,-3,12,9,-
20160901,2016,LOU,CHAR,ACC,1A,Bobby Petrino,3.75,20.75,38,home,70,14,56,-39,17,59.5
20160901,2016,CHAR,LOU,USA,1A,Brad Lambert,20.75,3.75,12,away,14,70,-56,39,-17,59.5
20160901,2016,MIN,ORST,B10,1A,Tracy Claeys,2.25,-3.25,21,home,30,23,7,-12.5,-5.5,54
20160901,2016,ORST,MIN,P12,1A,Gary Andersen,-3.25,2.25,18,away,23,30,-7,12.5,5.5,54
20160901,2016,NCST,WAM,ACC,1A,Dave Doeren,-,-,28,home,48,14,34,-24.5,9.5,-
20160901,2016,WAM,NCST,,1AA,None,-,-,10,away,14,48,-34,24.5,-9.5,-
20160901,2016,NMX,USD,MWC,1A,Bob Davie,-,-,24,home,48,21,27,-17,10,-
20160901,2016,USD,NMX,,1A,None,-,-,16,away,21,48,-27,17,-10,-
20160901,2016,TEN,APP,SEC,1A,Butch Jones,-5.75,-19.25,19,home,20,13,7,-20.5,-13.5,58
20160901,2016,APP,TEN,SBC,1A,Scott Satterfield,-19.25,-5.75,17,away,13,20,-7,20.5,13.5,58
20160901,2016,UNLV,JAST,MWC,1A,Tony Sanchez,-,-,21,home,63,13,50,-39,11,-
20160901,2016,JAST,UNLV,,1AA,None,-,-,17,away,13,63,-50,39,-11,-
20160901,2016,UTAH,SUT,P12,1A,Kyle Whittingham,-,-,19,home,24,0,24,-29.5,-5.5,-
20160901,2016,SUT,UTAH,,1AA,None,-,-,7,away,0,24,-24,29.5,5.5,-
20160901,2016,UTST,WEB,MWC,1A,Matt Wells,-,-,23,home,45,6,39,-22.5,16.5,-
20160901,2016,WEB,UTST,,1AA,None,-,-,16,away,6,45,-39,22.5,-16.5,-
20160901,2016,VAN,SCAR,SEC,1A,Derek Mason,-5.75,-13.25,14,home,10,13,-3,-4.5,-7.5,42
20160901,2016,SCAR,VAN,SEC,1A,Will Muschamp,-13.25,-5.75,14,away,13,10,3,4.5,7.5,42
20160901,2016,WAKE,TLN,ACC,1A,Dave Clawson,-10.5,-22.5,10,home,7,3,4,-16,-12,43
20160901,2016,TLN,WAKE,AAC,1A,Willie Fritz,-22.5,-10.5,14,away,3,7,-4,16,12,43
20160901,2016,WKY,RICE,USA,1A,Jeff Brohm,-9,5,23,home,46,14,32,-18,14,64
20160901,2016,RICE,WKY,USA,1A,David Bailiff,5,-9,20,away,14,46,-32,18,-14,64
20160902,2016,AKST,TOL,SBC,1A,Blake Anderson,1,-24.5,13,home,10,31,-21,-4.5,-25.5,64.5
20160902,2016,TOL,AKST,MAC,1A,Jason Candle,-24.5,1,24,away,31,10,21,4.5,25.5,64.5
20160902,2016,BAY,NOST,B12,1A,Jim Grobe,-7.5,-9,23,home,55,7,48,-49.5,-1.5,78.5
20160902,2016,NOST,BAY,,1AA,None,-9,-7.5,9,away,7,55,-48,49.5,1.5,78.5
20160902,2016,BUF,ALBY,MAC,1A,Lance Leipold,6.5,-20.5,23,home,16,22,-6,-21,-27,52
20160902,2016,ALBY,BUF,-,-,None,-20.5,6.5,12,away,22,16,6,21,27,52
20160902,2016,COLO,COST,P12,1A,Mike MacIntyre,-17.75,11.25,28,neutral,44,7,37,-8,29,57.5
20160902,2016,COST,COLO,MWC,1A,Mike Bobo,11.25,-17.75,12,neutral,7,44,-37,8,-29,57.5
20160902,2016,EMCH,MVSU,MAC,1A,Chris Creighton,0.75,7.25,24,home,61,14,47,-40.5,6.5,67
20160902,2016,MVSU,EMCH,-,-,None,7.25,0.75,18,away,14,61,-47,40.5,-6.5,67
20160902,2016,GAST,BALL,SBC,1AA,Trent Miles,7.25,-8.25,19,home,21,31,-10,-5.5,-15.5,53
20160902,2016,BALL,GAST,MAC,1A,Mike Neu,-8.25,7.25,22,away,31,21,10,5.5,15.5,53
20160902,2016,MCST,FUR,B10,1A,Mark Dantonio,6.25,-19.25,19,home,28,13,15,-40.5,-25.5,54
20160902,2016,FUR,MCST,,1AA,None,-19.25,6.25,18,away,13,28,-15,40.5,25.5,54
20160902,2016,NEV,CPOL,MWC,1A,Brian Polian,5.5,-12.5,18,home,30,27,3,-21,-18,64
20160902,2016,CPOL,NEV,,1AA,None,-12.5,5.5,23,away,27,30,-3,21,18,64
20160902,2016,STAN,KAST,P12,1A,David Shaw,-3.5,-5,13,home,26,13,13,-14.5,-1.5,47.5
20160902,2016,KAST,STAN,B12,1A,Bill Snyder,-5,-3.5,18,away,13,26,-13,14.5,1.5,47.5
20160902,2016,SYR,CLG,ACC,1A,Dino Babers,-12,-10,25,home,33,7,26,-24,2,62
20160902,2016,CLG,SYR,,1AA,None,-10,-12,11,away,7,33,-26,24,-2,62
20160902,2016,TEM,ARMY,AAC,1A,Matt Rhule,12.5,-17.5,16,home,13,28,-15,-15,-30,46
20160902,2016,ARMY,TEM,IND,1A,Jeff Monken,-17.5,12.5,25,away,28,13,15,15,30,46
