"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.STALOCK","2012-2013","S.J",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"AL.MONTOYA","2012-2013","WPG",4,2,0,0,NA,NA,NA,NA,NA,NA,0
"ANDERS.LINDBACK","2012-2013","T.B",11,6.85,2,0,100,85,15,NA,100,100,0.3
"ANTON.KHUDOBIN","2012-2013","BOS",9,9.65,3,0,100,95.33,4.67,100,100,NA,0.14
"ANTTI.NIEMI","2012-2013","S.J",18,40.65,23,3,86.96,88.83,-1.87,100,100,57.14,-0.43
"BEN.BISHOP","2012-2013","OTT/T.B",11,19.05,21,1,95.24,91.57,3.67,100,100,75,0.77
"BEN.SCRIVENS","2012-2013","TOR",9,9.18,1,0,100,97,3,100,NA,NA,0.03
"BRADEN.HOLTBY","2012-2013","WSH",17,27.05,14,1,92.86,89.5,3.36,100,85.71,100,0.47
"BRIAN.BOUCHER","2012-2013","PHI",2,3.4,1,0,100,98,2,100,NA,NA,0.02
"BRIAN.ELLIOTT","2012-2013","STL",12,15.98,8,0,100,90.75,9.25,100,100,100,0.74
"CAM.WARD","2012-2013","CAR",11,17.57,16,2,87.5,89.5,-2,100,100,60,-0.32
"CAREY.PRICE","2012-2013","MTL",17,25.47,8,1,87.5,91.12,-3.62,100,100,66.67,-0.29
"CARTER.HUTTON","2012-2013","CHI",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"CEDRICK.DESJARDINS","2012-2013","T.B",2,4.43,3,1,66.67,85.33,-18.67,NA,100,50,-0.56
"CHAD.JOHNSON","2012-2013","ARI",1,8.18,2,0,100,92,8,NA,100,NA,0.16
"CHRIS.MASON","2012-2013","NSH",8,17.77,10,0,100,90.3,9.7,100,100,100,0.97
"COREY.CRAWFORD","2012-2013","CHI",16,38.22,26,1,96.15,92.27,3.88,100,100,75,1.01
"CORY.SCHNEIDER","2012-2013","VAN",14,32.75,23,2,91.3,91.61,-0.3,100,87.5,75,-0.07
"CRAIG.ANDERSON","2012-2013","OTT",10,10.27,4,0,100,91.5,8.5,NA,100,100,0.34
"CRISTOPHER.NILSTORP","2012-2013","DAL",2,3.03,4,1,75,91.25,-16.25,NA,66.67,100,-0.65
"DAN.ELLIS","2012-2013","CAR",6,11.08,7,0,100,92.43,7.57,100,100,100,0.53
"DANIEL.TAYLOR","2012-2013","CGY",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"DARCY.KUEMPER","2012-2013","MIN",4,2,2,0,100,92,8,100,NA,100,0.16
"DEVAN.DUBNYK","2012-2013","EDM",18,24.67,13,0,100,93.38,6.62,100,100,100,0.86
"EVGENI.NABOKOV","2012-2013","NYI",21,46.98,25,1,96,89.16,6.84,100,100,83.33,1.71
"HENRIK.LUNDQVIST","2012-2013","NYR",20,29.05,25,0,100,93.96,6.04,100,100,100,1.51
"ILYA.BRYZGALOV","2012-2013","PHI",18,28.85,12,3,75,87.75,-12.75,100,85.71,50,-1.53
"JACOB.MARKSTROM","2012-2013","FLA",11,7.03,4,0,100,94.75,5.25,100,100,NA,0.21
"JAKE.ALLEN","2012-2013","STL",8,14.03,10,0,100,91.7,8.3,100,100,100,0.83
"JAMES.REIMER","2012-2013","TOR",15,36.08,22,1,95.45,93.23,2.23,100,100,66.67,0.49
"JAROSLAV.HALAK","2012-2013","STL",9,18.77,13,1,92.31,87.23,5.08,100,87.5,100,0.66
"JASON.LABARBERA","2012-2013","ARI",7,13.97,11,2,81.82,80.27,1.55,100,66.67,85.71,0.17
"JEAN-SEBASTIEN.GIGUERE","2012-2013","COL",11,16.57,11,0,100,95.91,4.09,100,100,NA,0.45
"JHONAS.ENROTH","2012-2013","BUF",5,1.78,2,0,100,96,4,100,100,NA,0.08
"JIMMY.HOWARD","2012-2013","DET",17,40.37,10,1,90,93.8,-3.8,100,83.33,100,-0.38
"JOEY.MACDONALD","2012-2013","CGY",11,6.6,6,0,100,96.33,3.67,100,100,NA,0.22
"JOHAN.HEDBERG","2012-2013","N.J",11,26.65,10,1,90,86.9,3.1,100,100,75,0.31
"JONAS.GUSTAVSSON","2012-2013","DET",6,9.4,4,1,75,92.5,-17.5,100,100,0,-0.7
"JONAS.HILLER","2012-2013","ANA",14,25.7,17,2,88.24,91.35,-3.12,100,77.78,100,-0.53
"JONATHAN.BERNIER","2012-2013","L.A",7,11.55,4,0,100,93,7,100,100,NA,0.28
"JONATHAN.QUICK","2012-2013","L.A",18,36.8,15,1,93.33,92.6,0.73,100,100,66.67,0.11
