"Player","Season","Team","GP","TOI","SA","GA","Sv%","xSv%","dSv%","LDSv%","MDSv%","HDSv%","GSAA"
"ALEX.AULD","2011-2012","OTT",7,30.72,4,0,100,92.25,7.75,100,100,100,0.31
"ALLEN.YORK","2011-2012","CBJ",5,23.4,2,0,100,92,8,100,NA,100,0.16
"AL.MONTOYA","2011-2012","NYI",15,79.15,19,1,94.74,85.53,9.21,100,90,100,1.75
"ANDERS.LINDBACK","2011-2012","NSH",5,20.3,1,0,100,96,4,100,NA,NA,0.04
"ANDERS.NILSSON","2011-2012","NYI",3,13.57,4,0,100,72.75,27.25,NA,NA,100,1.09
"ANDREW.RAYCROFT","2011-2012","DAL",3,12.28,0,0,NA,NA,NA,NA,NA,NA,0
"ANTTI.NIEMI","2011-2012","S.J",34,162.75,21,1,95.24,93.57,1.67,100,100,50,0.35
"BEN.BISHOP","2011-2012","OTT",7,37.8,9,1,88.89,85.33,3.56,100,0,100,0.32
"BEN.SCRIVENS","2011-2012","TOR",6,22.33,3,0,100,90,10,NA,100,100,0.3
"BRADEN.HOLTBY","2011-2012","WSH",4,16.85,0,0,NA,NA,NA,NA,NA,NA,0
"BRAD.THIESSEN","2011-2012","PIT",4,16.58,2,1,50,88.5,-38.5,100,NA,0,-0.77
"BRENT.JOHNSON","2011-2012","PIT",4,18.3,1,0,100,94,6,NA,100,NA,0.06
"BRIAN.BOUCHER","2011-2012","CAR",5,25.6,5,1,80,85.4,-5.4,100,100,66.67,-0.27
"BRIAN.ELLIOTT","2011-2012","STL",20,107.58,8,1,87.5,93.62,-6.12,100,100,50,-0.49
"CAM.WARD","2011-2012","CAR",34,191.17,36,2,94.44,89.86,4.58,100,100,81.82,1.65
"CAREY.PRICE","2011-2012","MTL",35,225.35,32,4,87.5,87.28,0.22,100,90.91,70,0.07
"CHRIS.MASON","2011-2012","WPG",6,20.53,4,0,100,89,11,100,100,100,0.44
"COREY.CRAWFORD","2011-2012","CHI",30,165.15,17,1,94.12,86.94,7.18,100,100,88.89,1.22
"CORY.SCHNEIDER","2011-2012","VAN",14,51.02,11,1,90.91,90.36,0.55,100,100,66.67,0.06
"CRAIG.ANDERSON","2011-2012","OTT",29,128.37,22,2,90.91,89.95,0.95,87.5,100,87.5,0.21
"CURTIS.SANFORD","2011-2012","CBJ",15,82.03,9,0,100,93.56,6.44,100,100,100,0.58
"DAN.ELLIS","2011-2012","ANA",5,21.57,4,1,75,87.5,-12.5,NA,100,0,-0.5
"DEVAN.DUBNYK","2011-2012","EDM",23,94.43,14,4,71.43,82.14,-10.71,100,50,66.67,-1.5
"DREW.MACINTYRE","2011-2012","BUF",1,0,0,0,NA,NA,NA,NA,NA,NA,0
"DUSTIN.TOKARSKI","2011-2012","T.B",4,12.73,0,0,NA,NA,NA,NA,NA,NA,0
"DWAYNE.ROLOSON","2011-2012","T.B",19,90.53,19,3,84.21,90.63,-6.42,100,100,50,-1.22
"EVGENI.NABOKOV","2011-2012","NYI",17,77.22,12,1,91.67,85.67,6,100,100,85.71,0.72
"HENRIK.KARLSSON","2011-2012","CGY",4,19.12,2,1,50,79,-29,100,NA,0,-0.58
"HENRIK.LUNDQVIST","2011-2012","NYR",33,186.55,18,1,94.44,87.61,6.83,100,83.33,100,1.23
"IIRO.TARKKI","2011-2012","ANA",1,3.73,0,0,NA,NA,NA,NA,NA,NA,0
"ILYA.BRYZGALOV","2011-2012","PHI",33,209.83,28,3,89.29,89.11,0.18,100,70,100,0.05
