"Team","Season","RF","RA","Rates","QF","QA","Qual","Shooting","Goalie","PT","PD","Pens","OK","DK","K"
"ANA","2015-2016",13.95,13.59,27.55,1.61,7.86,9.48,0,0,-5.41,0,-5.41,15.57,16.05,31.62
"ARI","2015-2016",-7.34,-14.55,-21.89,-3.26,16.37,13.11,0,0,-7.9,8.51,0.61,-2.1,-6.08,-8.18
"BOS","2015-2016",12.97,-6.16,6.81,-17.02,13.19,-3.83,0,0,-2.32,-2.8,-5.12,-6.85,4.71,-2.15
"BUF","2015-2016",-7.28,-6.62,-13.9,-10.25,20.47,10.21,0,0,6.53,-1.24,5.29,-18.78,20.38,1.6
"CAR","2015-2016",0.87,5.2,6.07,6.18,-10.15,-3.98,-3.42,0,6.42,-2.58,3.84,1.05,1.46,2.52
"CBJ","2015-2016",-5.84,-6.62,-12.46,38.23,-9.5,28.74,-4.52,0,-0.98,-0.89,-1.87,26.98,-17.1,9.88
"CGY","2015-2016",-5.82,-1.68,-7.5,10.28,-9.83,0.45,0,-4.12,3,3.55,6.55,8.02,-12.63,-4.62
"CHI","2015-2016",0,-1.34,-1.34,0,-9.41,-9.41,0,0,3.92,-1.77,2.16,-1.77,-6.82,-8.59
"COL","2015-2016",-7.93,-18.31,-26.23,-12.26,0.38,-11.88,0,0,0.06,0.45,0.51,-19.74,-17.86,-37.6
"DAL","2015-2016",23.36,-2.88,20.47,10.47,-9.02,1.45,0,0,1.54,0,1.54,33.83,-10.36,23.47
"DET","2015-2016",-2.25,2.61,0.37,8.62,-2.43,6.19,0,0,-4.69,2.22,-2.47,8.6,-4.51,4.09
"EDM","2015-2016",-3.62,-7.43,-11.05,14.59,0,14.59,0,0,-1.23,-5.03,-6.27,5.93,-8.66,-2.73
"FLA","2015-2016",-6.96,8.24,1.28,-0.24,8.55,8.31,0,0,-0.31,5.02,4.71,-2.19,16.48,14.3
"L.A","2015-2016",28.66,11.13,39.79,-9.8,-0.71,-10.51,0,0,-3.7,-1.07,-4.77,17.79,6.72,24.51
"MIN","2015-2016",-9.05,2.96,-6.1,-14.95,19.88,4.94,0,0,10.26,-1.37,8.89,-25.37,33.1,7.73
"MTL","2015-2016",1.42,4.43,5.84,-8.46,-6.07,-14.53,0,0,5.84,1.38,7.22,-5.67,4.2,-1.46
"N.J","2015-2016",-36.09,20.05,-16.04,5.1,-4.53,0.57,0,0,0,0.58,0.58,-30.4,15.52,-14.89
"NSH","2015-2016",1.86,21.89,23.75,-6.91,6.91,0,0,0,1.15,0.89,2.04,-4.16,29.95,25.79
"NYI","2015-2016",0.57,-3.83,-3.25,24.64,-10.37,14.27,0,0,3.45,-2.19,1.25,23.02,-10.75,12.27
"NYR","2015-2016",2.26,-4.89,-2.63,9.66,-16.84,-7.17,0,0,0,-1.96,-1.96,9.97,-21.73,-11.76
"OTT","2015-2016",-6.22,-12.92,-19.14,-2.29,21.42,19.13,0,0,0.77,-6.47,-5.7,-14.99,9.27,-5.72
"PHI","2015-2016",8.49,-2.5,5.98,0,-5.93,-5.93,-10.34,0,0,5.42,5.42,3.57,-8.43,-4.87
"PIT","2015-2016",23.45,7.78,31.23,15.42,16.43,31.85,0,0,0,2.06,2.06,40.92,24.22,65.14
"S.J","2015-2016",9.46,19.21,28.67,18.45,0,18.45,0,0,5.09,2.95,8.04,30.87,24.3,55.17
"STL","2015-2016",2.22,11.28,13.5,-8.99,1.17,-7.82,0,0,-0.3,-2.77,-3.07,-9.53,12.14,2.61
"T.B","2015-2016",0.88,0.85,1.73,-24.06,29.96,5.9,14.78,0,-2.01,1.37,-0.64,-7.02,28.8,21.78
"TOR","2015-2016",16.95,-11.25,5.7,2.87,6.88,9.76,-34.91,0,-4.11,0,-4.11,-15.09,-8.48,-23.57
"VAN","2015-2016",-10.55,-7.38,-17.93,-2.29,-1.92,-4.21,0,0,0,-1.19,-1.19,-14.03,-9.3,-23.33
"WPG","2015-2016",-0.03,2.53,2.5,8.16,-20.14,-11.99,0,0,-4.5,-0.01,-4.51,8.11,-22.11,-14
"WSH","2015-2016",17.41,5.42,22.84,-5.63,13.64,8.01,0,0,0.65,3.94,4.59,15.73,19.71,35.44
