"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",41,1920.17,1372.83,1539.34,-166.51,47.14,42.9,48.1,61.93,70.63,-8.7,46.72,1.94,2.21,58.6,64.9,-6.3,47.45,1.83,2.03,162,137,-25,7.94,91.61,99.55
"ARI","2016-2017",41,1990.12,1345.08,1848.79,-503.71,42.11,40.55,55.74,63.69,91.94,-28.25,40.92,1.92,2.77,56.45,93.44,-36.99,37.66,1.7,2.82,131,114,-17,8.48,91.15,99.62
"BOS","2016-2017",41,1946.23,1652.04,1491.45,160.59,52.55,50.93,45.98,67.2,74.29,-7.09,47.49,2.07,2.29,76.51,65.25,11.26,53.97,2.36,2.01,153,117,-36,7.18,90.62,97.79
"BUF","2016-2017",41,2021.75,1543.57,1800.3,-256.73,46.16,45.81,53.43,61.54,77.26,-15.72,44.34,1.83,2.29,67.68,81.65,-13.97,45.32,2.01,2.42,134,104,-30,7.13,92.31,99.45
"CAR","2016-2017",41,2023.47,1525.8,1602.43,-76.63,48.78,45.24,47.52,63.31,92.07,-28.76,40.75,1.88,2.73,71.29,73.93,-2.64,49.09,2.11,2.19,100,105,5,7.55,89.78,97.34
"CBJ","2016-2017",41,1985.15,1519.16,1587.1,-67.94,48.91,45.92,47.97,70.67,66.95,3.72,51.35,2.14,2.02,69.3,71.92,-2.62,49.07,2.09,2.17,132,127,-5,8.15,91.94,100.1
"CGY","2016-2017",41,1941.67,1465.18,1513.58,-48.4,49.19,45.28,46.77,53.07,67.13,-14.06,44.15,1.64,2.07,62.36,66.78,-4.42,48.29,1.93,2.06,160,145,-15,6.6,91.68,98.28
"CHI","2016-2017",41,2027.97,1571.35,1681.56,-110.21,48.31,46.49,49.75,78.51,75.56,2.95,50.96,2.32,2.24,67.94,77.3,-9.36,46.78,2.01,2.29,116,115,-1,9.15,91.78,100.93
"COL","2016-2017",40,1918.4,1349.35,1646.42,-297.07,45.04,42.2,51.49,40.79,90.44,-49.65,31.08,1.28,2.83,55.92,77.77,-21.85,41.83,1.75,2.43,134,108,-26,5.57,90.51,96.08
"DAL","2016-2017",41,1985.47,1532.68,1597.08,-64.4,48.97,46.32,48.26,55.48,73.98,-18.5,42.85,1.68,2.24,73.21,75.94,-2.73,49.08,2.21,2.29,142,129,-13,6.53,91.09,97.62
