"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2017-2018",24,1146.72,834.74,995.09,-160.35,45.62,43.68,52.07,41.56,42.56,-1,49.41,2.17,2.23,35.27,45.41,-10.14,43.71,1.85,2.38,91,68,-23,8.57,91.83,100.41
"ARI","2017-2018",26,1292.73,979.76,1170.92,-191.16,45.56,45.47,54.35,39.47,64.28,-24.82,38.04,1.83,2.98,41.42,54.77,-13.36,43.06,1.92,2.54,66,67,1,7.28,90.18,97.46
"BOS","2017-2018",21,1013.12,841.71,830.41,11.3,50.34,49.85,49.18,43.17,31.11,12.06,58.12,2.56,1.84,36.28,37.83,-1.55,48.95,2.15,2.24,70,65,-5,9.52,92.97,102.48
"BUF","2017-2018",25,1192.63,847.32,1057.54,-210.22,44.48,42.63,53.2,33.31,51.54,-18.23,39.26,1.68,2.59,36.96,48.46,-11.5,43.27,1.86,2.44,71,71,0,6.84,91.23,98.07
"CAR","2017-2018",26,1303.08,1089.32,1033.47,55.85,51.32,50.16,47.59,43.99,51.68,-7.69,45.98,2.03,2.38,46.28,46.33,-0.05,49.97,2.13,2.13,54,65,11,7.23,91.2,98.43
"CBJ","2017-2018",23,1161.98,917.78,936.37,-18.59,49.5,47.39,48.35,45.69,46.18,-0.49,49.73,2.36,2.38,41.06,43.23,-2.17,48.71,2.12,2.23,56,58,2,8.63,91.34,99.97
"CGY","2017-2018",22,1023.05,886.31,922.4,-36.09,49,51.98,54.1,35.34,30.36,4.98,53.79,2.07,1.78,39.88,42.45,-2.57,48.44,2.34,2.49,77,76,-1,7.59,94.15,101.74
"CHI","2017-2018",23,1071.38,964.34,934.2,30.14,50.79,54.01,52.32,36.3,43.83,-7.53,45.3,2.03,2.45,42.02,46.99,-4.97,47.21,2.35,2.63,75,75,0,7.03,91.57,98.6
"COL","2017-2018",19,854.13,650.8,741.89,-91.09,46.73,45.72,52.11,28.84,31.81,-2.97,47.55,2.03,2.23,25.26,31.06,-5.8,44.85,1.77,2.18,79,74,-5,8.27,91.71,99.98
"DAL","2017-2018",25,1199.52,909.09,858.48,50.61,51.43,45.47,42.94,40.06,46.68,-6.62,46.18,2,2.33,37.14,35.6,1.54,51.06,1.86,1.78,77,69,-8,7.8,90.35,98.16
"DET","2017-2018",19,913.2,715.03,812.46,-97.43,46.81,46.98,53.38,26.2,37.35,-11.15,41.23,1.72,2.45,30.21,39.64,-9.43,43.25,1.99,2.6,54,52,-2,6.68,91.9,98.58
"EDM","2017-2018",24,1161.12,910.27,947.54,-37.27,49,47.04,48.96,44.36,49.05,-4.69,47.49,2.29,2.53,38.49,39.12,-0.63,49.59,1.99,2.02,83,55,-28,8.56,90.64,99.19
"FLA","2017-2018",24,1152.12,937.56,1016.26,-78.7,47.99,48.83,52.92,28.94,45.1,-16.16,39.09,1.51,2.35,37.91,43.93,-6.01,46.33,1.97,2.29,80,82,2,5.48,91.92,97.4
"L.A","2017-2018",23,1107.2,879.81,936.54,-56.72,48.44,47.68,50.75,45.16,37.27,7.89,54.78,2.45,2.02,38.71,45.35,-6.64,46.05,2.1,2.46,74,53,-21,9.21,92.64,101.85
"MIN","2017-2018",23,1065.57,764,976.56,-212.56,43.89,43.02,54.99,32.76,49.04,-16.29,40.05,1.84,2.76,38.88,38.99,-0.11,49.93,2.19,2.2,90,76,-14,7.13,90.99,98.11
"MTL","2017-2018",22,1039.83,838.14,882.14,-44,48.72,48.36,50.9,30.22,40.02,-9.81,43.02,1.74,2.31,39.47,40.48,-1.01,49.37,2.28,2.34,76,69,-7,6.39,91.84,98.23
"N.J","2017-2018",23,1098.6,887.12,1033.79,-146.67,46.18,48.45,56.46,47.59,48.09,-0.49,49.74,2.6,2.63,43.7,48.4,-4.7,47.45,2.39,2.64,68,66,-2,9.68,91.5,101.19
"NSH","2017-2018",23,1058.63,912.05,888.49,23.56,50.65,51.69,50.36,36.54,30.32,6.22,54.65,2.07,1.72,35.48,42.18,-6.7,45.69,2.01,2.39,100,76,-24,7.64,93.85,101.48
"NYI","2017-2018",25,1196.28,987.57,1136.98,-149.41,46.48,49.53,57.03,54.01,57.44,-3.44,48.46,2.71,2.88,42.69,52.53,-9.83,44.84,2.14,2.63,74,83,9,10.38,90.96,101.34
"NYR","2017-2018",20,964.37,710.61,920.33,-209.71,43.57,44.21,57.26,34.56,39.14,-4.58,46.89,2.15,2.43,36.31,46.34,-10.02,43.94,2.26,2.88,63,48,-15,7.91,92.9,100.81
"OTT","2017-2018",20,941.53,719.68,880.61,-160.94,44.97,45.86,56.12,25.59,43.77,-18.18,36.89,1.63,2.79,31.01,43.56,-12.55,41.58,1.98,2.78,55,58,3,6.5,90.42,96.93
"PHI","2017-2018",22,1031.37,735.92,863.03,-127.11,46.03,42.81,50.21,32.24,27.02,5.22,54.4,1.88,1.57,38.37,41.09,-2.73,48.28,2.23,2.39,68,72,4,7.28,94.5,101.78
"PIT","2017-2018",26,1200.07,979.73,1049.15,-69.43,48.29,48.98,52.45,33.5,61.94,-28.44,35.1,1.67,3.1,44.27,45.95,-1.68,49.07,2.21,2.3,97,85,-12,6.04,88.81,94.85
"S.J","2017-2018",24,1137.22,931.68,986.72,-55.04,48.57,49.16,52.06,42.49,41.56,0.93,50.55,2.24,2.19,40.72,47.08,-6.36,46.38,2.15,2.48,72,63,-9,8.52,92.15,100.67
"STL","2017-2018",24,1156.53,964.23,985.1,-20.88,49.46,50.02,51.11,41.64,37.26,4.38,52.78,2.16,1.93,41.74,39.68,2.06,51.27,2.17,2.06,73,77,4,7.56,92.96,100.52
"T.B","2017-2018",23,1075.9,948.39,953.68,-5.29,49.86,52.89,53.18,44.5,34.88,9.62,56.06,2.48,1.94,40.31,42.65,-2.34,48.59,2.25,2.38,81,89,8,8.54,93.63,102.17
"TOR","2017-2018",26,1249.12,1034.02,1086.78,-52.76,48.76,49.67,52.2,62.2,54.27,7.93,53.41,2.99,2.61,50.46,47.1,3.36,51.72,2.42,2.26,71,65,-6,11.24,91.14,102.38
"VAN","2017-2018",25,1208.83,887.73,1061.95,-174.22,45.53,44.06,52.71,35.29,43.62,-8.33,44.72,1.75,2.16,38.37,49.75,-11.37,43.55,1.9,2.47,67,66,-1,6.78,92.56,99.34
"VGK","2017-2018",24,1117.53,946.6,947.34,-0.74,49.98,50.82,50.86,47.56,46.21,1.35,50.72,2.55,2.48,45.23,43.64,1.59,50.9,2.43,2.34,55,77,22,8.72,90.93,99.66
"WPG","2017-2018",27,1253.62,1033.27,1040.41,-7.14,49.83,49.45,49.8,40.29,44.14,-3.86,47.72,1.93,2.11,41.52,46.39,-4.87,47.23,1.99,2.22,87,76,-11,6.88,92.39,99.27
"WSH","2017-2018",22,1054.57,776.98,912.18,-135.2,46,44.21,51.9,38.99,48.41,-9.43,44.61,2.22,2.75,34.22,48.78,-14.56,41.23,1.95,2.78,83,73,-10,9.92,90.58,100.5
