"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2017-2018",24,1146.72,8.57,91.83,6.57,94.31,5.57,93.92,0.99,0.38,100.41,99.5,0.91,317,364,399,29.35,33.7,36.94,0.47,49.17
"ARI","2017-2018",26,1292.73,7.28,90.18,5.38,92.97,5.64,94.01,-0.27,-1.04,97.46,99.65,-2.19,417,490,455,30.62,35.98,33.41,0.46,45.59
"BOS","2017-2018",21,1013.12,9.52,92.97,6.96,95.03,5.85,93.95,1.11,1.07,102.48,99.8,2.68,347,285,373,34.53,28.36,37.11,0.55,49.15
"BUF","2017-2018",25,1192.63,6.84,91.23,5.11,93.66,5.67,94.04,-0.56,-0.38,98.07,99.71,-1.64,355,373,411,31.17,32.75,36.08,0.49,48.38
"CAR","2017-2018",26,1303.08,7.23,91.2,5.41,93.55,5.69,94.22,-0.28,-0.67,98.43,99.9,-1.48,427,341,447,35.14,28.07,36.79,0.56,50.12
"CBJ","2017-2018",23,1161.98,8.63,91.34,6.41,93.28,5.76,93.71,0.65,-0.43,99.97,99.47,0.5,384,367,406,33.19,31.72,35.09,0.51,47.28
"CGY","2017-2018",22,1023.05,7.59,94.15,5.36,95.66,6.05,93.93,-0.69,1.73,101.74,99.97,1.77,291,349,341,29.66,35.58,34.76,0.45,50.15
"CHI","2017-2018",23,1071.38,7.03,91.57,5.15,93.93,5.96,93.49,-0.81,0.44,98.6,99.45,-0.85,426,301,392,38.07,26.9,35.03,0.59,47.45
"COL","2017-2018",19,854.13,8.27,91.71,5.91,94.25,5.18,94.39,0.73,-0.13,99.98,99.57,0.41,235,258,304,29.49,32.37,38.14,0.48,42.03
"DAL","2017-2018",25,1199.52,7.8,90.35,5.88,92.77,5.45,94.48,0.43,-1.72,98.16,99.93,-1.78,369,425,453,29.59,34.08,36.33,0.46,50.92
"DET","2017-2018",19,913.2,6.68,91.9,4.71,93.99,5.43,93.62,-0.72,0.37,98.58,99.05,-0.47,309,311,325,32.7,32.91,34.39,0.5,46.35
"EDM","2017-2018",24,1161.12,8.56,90.64,6.29,92.98,5.46,94.4,0.83,-1.42,99.19,99.86,-0.67,377,356,391,33.54,31.67,34.79,0.51,46.44
"FLA","2017-2018",24,1152.12,5.48,91.92,3.95,94.09,5.18,94.24,-1.23,-0.15,97.4,99.42,-2.02,344,398,413,29.78,34.46,35.76,0.46,51.69
"L.A","2017-2018",23,1107.2,9.21,92.64,6.94,94.88,5.95,93.78,0.99,1.11,101.85,99.73,2.12,323,338,374,31.21,32.66,36.14,0.49,49.47
"MIN","2017-2018",23,1065.57,7.13,90.99,5.48,93.34,6.5,94.7,-1.02,-1.37,98.11,101.2,-3.09,297,339,390,28.95,33.04,38.01,0.47,51.17
"MTL","2017-2018",22,1039.83,6.39,91.84,4.76,94.11,6.22,94.04,-1.46,0.07,98.23,100.27,-2.04,327,346,418,29.97,31.71,38.31,0.49,47.11
"N.J","2017-2018",23,1098.6,9.68,91.5,7.06,93.69,6.49,93.65,0.58,0.04,101.19,100.14,1.05,335,377,388,30.45,34.27,35.27,0.47,47.27
"NSH","2017-2018",23,1058.63,7.64,93.85,5.38,95.55,5.23,93.82,0.16,1.74,101.48,99.04,2.44,325,350,378,30.86,33.24,35.9,0.48,50.62
"NYI","2017-2018",25,1196.28,10.38,90.96,7.54,93.37,5.96,93.93,1.58,-0.57,101.34,99.9,1.44,351,405,425,29.72,34.29,35.99,0.46,45.22
"NYR","2017-2018",20,964.37,7.91,92.9,6.05,94.54,6.36,93.54,-0.31,1,100.81,99.9,0.91,301,296,337,32.23,31.69,36.08,0.5,49.04
"OTT","2017-2018",20,941.53,6.5,90.42,4.58,93.34,5.56,93.37,-0.97,-0.03,96.93,98.93,-2,296,283,330,32.56,31.13,36.3,0.51,49.83
"PHI","2017-2018",22,1031.37,7.28,94.5,5.56,96.01,6.62,93.93,-1.06,2.08,101.78,100.54,1.24,306,361,370,29.51,34.81,35.68,0.46,50.34
"PIT","2017-2018",26,1200.07,6.04,88.81,4.43,92.02,5.86,94.08,-1.43,-2.06,94.85,99.94,-5.09,395,377,450,32.32,30.85,36.82,0.51,48.12
"S.J","2017-2018",24,1137.22,8.52,92.15,6.15,94.34,5.9,93.58,0.26,0.75,100.67,99.48,1.18,321,302,419,30.81,28.98,40.21,0.52,48.66
"STL","2017-2018",24,1156.53,7.56,92.96,5.54,94.78,5.56,94.44,-0.01,0.34,100.52,100,0.52,361,380,387,32,33.69,34.31,0.49,48.14
"T.B","2017-2018",23,1075.9,8.54,93.63,6.06,95.27,5.49,94.22,0.57,1.05,102.17,99.71,2.46,354,346,396,32.3,31.57,36.13,0.51,44.98
"TOR","2017-2018",26,1249.12,11.24,91.14,8.22,93.45,6.67,94.32,1.55,-0.86,102.38,100.99,1.39,392,440,500,29.43,33.03,37.54,0.47,50.38
"VAN","2017-2018",25,1208.83,6.78,92.56,5.16,94.71,5.61,93.97,-0.45,0.74,99.34,99.58,-0.24,380,387,408,32.34,32.94,34.72,0.5,47.74
"VGK","2017-2018",24,1117.53,8.72,90.93,6.44,93.49,6.12,93.85,0.32,-0.36,99.66,99.97,-0.31,358,358,413,31.71,31.71,36.58,0.5,48.45
"WPG","2017-2018",27,1253.62,6.88,92.39,5.06,94.42,5.22,94.14,-0.15,0.28,99.27,99.35,-0.08,389,419,448,30.97,33.36,35.67,0.48,53.42
"WSH","2017-2018",22,1054.57,9.92,90.58,6.88,93.38,6.04,93.33,0.84,0.05,100.5,99.38,1.12,288,293,427,28.57,29.07,42.36,0.5,47.42
