"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2016-2017",41,1920.17,566,620,644,30.93,35.19,33.88,0.47,974,856,53.22,242,162,7.56,5.06,953,777,176,29.78,24.28
"ARI","2016-2017",41,1990.12,539,677,723,27.8,37.29,34.91,0.43,895,1044,46.16,281,177,8.47,5.34,901,719,182,27.16,21.68
"BOS","2016-2017",41,1946.23,686,724,601,34.11,29.89,36,0.53,1060,951,52.71,244,194,7.52,5.98,757,899,-142,23.34,27.72
"BUF","2016-2017",41,2021.75,583,660,670,30.48,35.02,34.5,0.47,882,1031,46.11,269,193,7.98,5.73,929,833,96,27.57,24.72
"CAR","2016-2017",41,2023.47,635,660,534,34.72,29.2,36.09,0.54,901,928,49.26,269,219,7.98,6.49,691,828,-137,20.49,24.55
"CBJ","2016-2017",41,1985.15,593,655,674,30.85,35.07,34.08,0.47,894,1028,46.51,253,222,7.65,6.71,865,826,39,26.14,24.97
"CGY","2016-2017",41,1941.67,531,683,620,28.95,33.81,37.24,0.46,892,942,48.64,250,193,7.73,5.96,859,743,116,26.54,22.96
"CHI","2016-2017",41,2027.97,595,714,555,31.92,29.77,38.3,0.52,837,1027,44.9,325,205,9.62,6.07,446,905,-459,13.2,26.78
"COL","2016-2017",40,1918.4,561,649,666,29.9,35.5,34.59,0.46,891,985,47.49,227,176,7.1,5.5,828,648,180,25.9,20.27
"DAL","2016-2017",41,1985.47,607,709,693,30.21,34.49,35.29,0.47,983,1026,48.93,240,226,7.25,6.83,722,815,-93,21.82,24.63
"DET","2016-2017",41,1997.03,580,687,620,30.74,32.86,36.41,0.48,935,952,49.55,247,193,7.42,5.8,718,807,-89,21.57,24.25
"EDM","2016-2017",41,1979.08,599,682,608,31.71,32.19,36.1,0.5,860,1029,45.53,293,177,8.88,5.37,926,863,63,28.07,26.16
"FLA","2016-2017",41,1962.72,582,654,613,31.48,33.15,35.37,0.49,868,981,46.94,287,234,8.77,7.15,798,721,77,24.39,22.04
"L.A","2016-2017",41,1964.92,708,630,532,37.86,28.45,33.69,0.57,927,943,49.57,246,153,7.51,4.67,1015,964,51,30.99,29.44
"MIN","2016-2017",41,2015.98,622,719,656,31.15,32.85,36,0.49,1028,969,51.48,255,181,7.59,5.39,661,819,-158,19.67,24.38
"MTL","2016-2017",41,2033,618,677,678,31.32,34.36,34.31,0.48,986,987,49.97,266,188,7.85,5.55,776,936,-160,22.9,27.62
"N.J","2016-2017",41,1946.52,575,659,696,29.79,36.06,34.15,0.45,934,996,48.39,256,200,7.89,6.16,804,860,-56,24.78,26.51
"NSH","2016-2017",41,1968.57,610,672,622,32.04,32.67,35.29,0.5,960,944,50.42,200,185,6.1,5.64,892,886,6,27.19,27
"NYI","2016-2017",41,2027.92,597,656,619,31.89,33.07,35.04,0.49,848,1024,45.3,255,203,7.54,6.01,1056,869,187,31.24,25.71
"NYR","2016-2017",41,1982.95,551,655,650,29.69,35.02,35.29,0.46,909,947,48.98,253,230,7.66,6.96,787,763,24,23.81,23.09
"OTT","2016-2017",41,1939.15,639,677,595,33.44,31.14,35.43,0.52,925,986,48.4,245,219,7.58,6.78,933,845,88,28.87,26.15
"PHI","2016-2017",41,1949.77,626,701,552,33.32,29.38,37.31,0.53,952,927,50.67,236,168,7.26,5.17,825,878,-53,25.39,27.02
"PIT","2016-2017",41,1961.8,645,721,636,32.22,31.77,36.01,0.5,922,1080,46.05,313,213,9.57,6.51,758,899,-141,23.18,27.5
"S.J","2016-2017",41,1994.38,598,711,582,31.62,30.78,37.6,0.51,856,1035,45.27,235,189,7.07,5.69,620,769,-149,18.65,23.14
"STL","2016-2017",41,1990.65,577,646,679,30.34,35.7,33.96,0.46,906,996,47.63,219,198,6.6,5.97,763,831,-68,23,25.05
"T.B","2016-2017",41,1971.72,601,660,619,31.97,32.93,35.11,0.49,866,1014,46.06,299,198,9.1,6.03,864,887,-23,26.29,26.99
"TOR","2016-2017",41,1997.93,610,712,675,30.55,33.8,35.65,0.47,947,1050,47.42,246,223,7.39,6.7,815,902,-87,24.48,27.09
"VAN","2016-2017",41,1997.78,617,721,631,31.34,32.05,36.62,0.49,974,995,49.47,207,222,6.22,6.67,689,818,-129,20.69,24.57
"WPG","2016-2017",41,1971.88,527,688,608,28.91,33.35,37.74,0.46,863,960,47.34,216,218,6.57,6.63,988,880,108,30.06,26.78
"WSH","2016-2017",41,1971.65,562,734,582,29.93,30.99,39.08,0.49,929,949,49.47,265,216,8.06,6.57,773,896,-123,23.52,27.27
