"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",41,1920.17,1607,1751,-144,47.86,50.21,54.71,66,72,-6,47.83,2.06,2.25,63.33,67.05,-3.72,48.57,1.98,2.1,162,137,-25,7.53,92.21,99.73
"ARI","2016-2017",41,1990.12,1592,2064,-472,43.54,48,62.23,66,95,-29,40.99,1.99,2.86,60.23,96.74,-36.51,38.37,1.82,2.92,131,114,-17,7.64,91.61,99.25
"BOS","2016-2017",41,1946.23,1949,1684,265,53.65,60.09,51.92,73,73,0,50,2.25,2.25,82.21,65.99,16.22,55.47,2.53,2.03,153,117,-36,6.87,91.56,98.43
"BUF","2016-2017",41,2021.75,1805,2012,-207,47.29,53.57,59.71,67,81,-14,45.27,1.99,2.4,72.73,83.66,-10.93,46.51,2.16,2.48,134,104,-30,6.82,92.61,99.43
"CAR","2016-2017",41,2023.47,1825,1773,52,50.72,54.11,52.57,69,95,-26,42.07,2.05,2.82,77.29,76.31,0.98,50.32,2.29,2.26,100,105,5,7.17,90.26,97.42
"CBJ","2016-2017",41,1985.15,1756,1802,-46,49.35,53.07,54.46,76,69,7,52.41,2.3,2.09,73.87,73.03,0.84,50.29,2.23,2.21,132,127,-5,7.81,92.43,100.24
"CGY","2016-2017",41,1941.67,1705,1704,1,50.01,52.69,52.66,57,72,-15,44.19,1.76,2.22,65.86,69.16,-3.3,48.78,2.04,2.14,160,145,-15,6.33,91.84,98.16
"CHI","2016-2017",41,2027.97,1834,1888,-54,49.27,54.26,55.86,83,78,5,51.55,2.46,2.31,72.74,79.37,-6.63,47.82,2.15,2.35,116,115,-1,8.58,92.21,100.79
"COL","2016-2017",40,1918.4,1635,1807,-172,47.5,51.14,56.52,44,94,-50,31.88,1.38,2.94,60.04,80.74,-20.7,42.65,1.88,2.53,134,108,-26,5.12,90.81,95.93
"DAL","2016-2017",41,1985.47,1823,1780,43,50.6,55.09,53.79,57,77,-20,42.54,1.72,2.33,77.75,78.67,-0.92,49.71,2.35,2.38,142,129,-13,5.89,91.44,97.34
"DET","2016-2017",41,1997.03,1717,1951,-234,46.81,51.59,58.62,71,92,-21,43.56,2.13,2.76,70.35,83.68,-13.33,45.67,2.11,2.51,120,116,-4,7.73,91.14,98.86
"EDM","2016-2017",41,1979.08,1698,1758,-60,49.13,51.48,53.3,85,72,13,54.14,2.58,2.18,74.18,73.58,0.6,50.2,2.25,2.23,121,121,0,8.84,92.19,101.03
"FLA","2016-2017",41,1962.72,1726,1784,-58,49.17,52.76,54.54,59,81,-22,42.14,1.8,2.48,65.67,76.51,-10.84,46.19,2.01,2.34,138,126,-12,6.41,91.99,98.39
"L.A","2016-2017",41,1964.92,1954,1681,273,53.76,59.67,51.33,61,64,-3,48.8,1.86,1.95,75.01,69.05,5.96,52.07,2.29,2.11,138,109,-29,6.03,92.74,98.77
"MIN","2016-2017",41,2015.98,1872,1959,-87,48.86,55.71,58.3,92,78,14,54.12,2.74,2.32,83.28,74.94,8.34,52.64,2.48,2.23,107,123,16,8.61,92.84,101.46
"MTL","2016-2017",41,2033,1900,1754,146,52,56.07,51.77,63,74,-11,45.99,1.86,2.18,76.69,72.56,4.13,51.38,2.26,2.14,122,119,-3,6.18,92.24,98.43
"N.J","2016-2017",41,1946.52,1660,1918,-258,46.39,51.17,59.12,58,80,-22,42.03,1.79,2.47,65.73,79.62,-13.89,45.22,2.03,2.45,143,126,-17,6.52,92.31,98.83
"NSH","2016-2017",41,1968.57,1927,1848,79,51.05,58.73,56.33,71,84,-13,45.81,2.16,2.56,77.68,73.46,4.22,51.4,2.37,2.24,134,143,9,6.9,91.59,98.49
