"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2017-2018",24,1146.72,8.18,92.59,6.18,94.93,5.33,94.46,0.85,0.47,100.77,99.79,0.98,317,364,399,29.35,33.7,36.94,0.47,49.17
"ARI","2017-2018",26,1292.73,6.77,90.92,4.96,93.58,5.23,94.4,-0.26,-0.82,97.7,99.63,-1.93,417,490,455,30.62,35.98,33.41,0.46,45.59
"BOS","2017-2018",21,1013.12,9.09,93.14,6.57,95.21,5.45,94.34,1.12,0.87,102.23,99.79,2.44,347,285,373,34.53,28.36,37.11,0.55,49.15
"BUF","2017-2018",25,1192.63,6.39,91.35,4.75,93.84,5.26,94.3,-0.51,-0.46,97.74,99.55,-1.81,355,373,411,31.17,32.75,36.08,0.49,48.38
"CAR","2017-2018",26,1303.08,7.04,91.3,5.2,93.73,5.33,94.57,-0.14,-0.84,98.34,99.9,-1.56,427,341,447,35.14,28.07,36.79,0.56,50.12
"CBJ","2017-2018",23,1161.98,8.03,92.01,5.91,93.89,5.34,94.19,0.57,-0.3,100.05,99.53,0.51,384,367,406,33.19,31.72,35.09,0.51,47.28
"CGY","2017-2018",22,1023.05,7.35,94.54,5.11,96.01,5.76,94.47,-0.65,1.53,101.89,100.23,1.66,291,349,341,29.66,35.58,34.76,0.45,50.15
"CHI","2017-2018",23,1071.38,6.68,91.92,4.83,94.29,5.49,93.96,-0.66,0.33,98.6,99.45,-0.85,426,301,392,38.07,26.9,35.03,0.59,47.45
"COL","2017-2018",19,854.13,7.85,92.25,5.63,94.67,4.89,94.67,0.74,0,100.1,99.56,0.54,235,258,304,29.49,32.37,38.14,0.48,42.03
"DAL","2017-2018",25,1199.52,7.4,91.21,5.48,93.53,5.16,94.93,0.32,-1.41,98.62,100.09,-1.48,369,425,453,29.59,34.08,36.33,0.46,50.92
"DET","2017-2018",19,913.2,6.4,92.38,4.49,94.42,5.05,94.08,-0.56,0.34,98.79,99.13,-0.34,309,311,325,32.7,32.91,34.39,0.5,46.35
"EDM","2017-2018",24,1161.12,8.02,90.94,5.81,93.26,5.12,94.7,0.69,-1.43,98.96,99.82,-0.85,377,356,391,33.54,31.67,34.79,0.51,46.44
"FLA","2017-2018",24,1152.12,5.15,92.1,3.68,94.3,4.78,94.56,-1.1,-0.27,97.25,99.34,-2.09,344,398,413,29.78,34.46,35.76,0.46,51.69
"L.A","2017-2018",23,1107.2,8.76,93.12,6.51,95.26,5.61,94.29,0.91,0.97,101.88,99.89,1.98,323,338,374,31.21,32.66,36.14,0.49,49.47
"MIN","2017-2018",23,1065.57,6.7,91.25,5.11,93.63,6,95.02,-0.89,-1.39,97.96,101.02,-3.07,297,339,390,28.95,33.04,38.01,0.47,51.17
"MTL","2017-2018",22,1039.83,5.96,92.25,4.38,94.46,5.7,94.49,-1.32,-0.03,98.21,100.19,-1.98,327,346,418,29.97,31.71,38.31,0.49,47.11
"N.J","2017-2018",23,1098.6,9.24,92.17,6.66,94.29,6.12,94.13,0.54,0.16,101.41,100.25,1.16,335,377,388,30.45,34.27,35.27,0.47,47.27
"NSH","2017-2018",23,1058.63,7.36,94.13,5.11,95.82,5.01,94.41,0.1,1.41,101.49,99.42,2.06,325,350,378,30.86,33.24,35.9,0.48,50.62
"NYI","2017-2018",25,1196.28,9.93,91.44,7.16,93.75,5.62,94.3,1.54,-0.55,101.37,99.92,1.45,351,405,425,29.72,34.29,35.99,0.46,45.22
"NYR","2017-2018",20,964.37,7.54,93.16,5.72,94.82,5.88,93.98,-0.15,0.84,100.69,99.85,0.84,301,296,337,32.23,31.69,36.08,0.5,49.04
"OTT","2017-2018",20,941.53,6.22,91.08,4.35,93.85,5.21,93.83,-0.85,0.03,97.3,99.04,-1.74,296,283,330,32.56,31.13,36.3,0.51,49.83
"PHI","2017-2018",22,1031.37,6.81,94.8,5.16,96.27,6.16,94.41,-1.01,1.86,101.61,100.57,1.04,306,361,370,29.51,34.81,35.68,0.46,50.34
