"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",41,258.09,128.97,213.3,-84.33,37.68,29.98,49.59,9.08,8.13,0.95,52.76,2.11,1.89,9.12,11.28,-2.16,44.71,2.12,2.62,6,9,3,10.16,93.32,103.48
"ARI","2016-2017",41,217.34,163.93,209.57,-45.64,43.89,45.26,57.85,9.44,10.85,-1.41,46.53,2.61,3,10.92,9.17,1.75,54.36,3.01,2.53,5,9,4,9.22,89.48,98.7
"BOS","2016-2017",41,234.95,142.14,187.24,-45.1,43.15,36.3,47.82,10.02,8.25,1.77,54.84,2.56,2.11,7.96,9.47,-1.51,45.67,2.03,2.42,5,8,3,12.52,91.82,104.34
"BUF","2016-2017",41,207.03,143.07,211.19,-68.12,40.39,41.46,61.21,2.39,9.91,-7.52,19.43,0.69,2.87,6.32,10.47,-4.15,37.64,1.83,3.03,3,6,3,2.79,92.22,95.01
"CAR","2016-2017",41,186.08,180.3,122.12,58.18,59.62,58.14,39.38,15.62,6.25,9.37,71.42,5.04,2.02,12.05,5.16,6.89,70.02,3.89,1.66,4,6,2,12.83,89.32,102.15
"CBJ","2016-2017",41,207.66,150.49,175.22,-24.73,46.2,43.48,50.63,17.16,7.08,10.08,70.79,4.96,2.05,11.17,8.31,2.86,57.34,3.23,2.4,7,7,0,18.62,92.68,111.3
"CGY","2016-2017",41,240.27,188.39,201.61,-13.22,48.31,47.04,50.35,9.6,8.52,1.08,52.98,2.4,2.13,9.32,8.79,0.53,51.46,2.33,2.2,6,3,-3,8.62,91.98,100.59
"CHI","2016-2017",41,181.56,71.47,184.06,-112.59,27.97,23.62,60.83,0,8.17,-8.17,0,0,2.7,3.13,8.36,-5.23,27.24,1.03,2.76,3,4,1,0,91.53,91.53
"COL","2016-2017",40,215.95,122.28,204.82,-82.54,37.38,33.97,56.91,4.53,12.26,-7.73,26.98,1.26,3.41,6.01,9.77,-3.76,38.09,1.67,2.71,3,7,4,7.3,89.17,96.47
"DAL","2016-2017",41,208.56,132.36,200.92,-68.56,39.71,38.08,57.8,7.07,12.44,-5.37,36.24,2.03,3.58,8.88,10.41,-1.53,46.03,2.55,2.99,7,8,1,8.86,89.31,98.17
"DET","2016-2017",41,199.1,141.33,199.17,-57.84,41.51,42.59,60.02,4.61,7.94,-3.33,36.73,1.39,2.39,6.57,9.84,-3.27,40.04,1.98,2.97,4,8,4,6.25,92.67,98.93
"EDM","2016-2017",41,206.19,132.97,191.94,-58.97,40.93,38.69,55.85,6.89,8.11,-1.22,45.93,2,2.36,6.23,9.26,-3.03,40.22,1.81,2.69,3,4,1,9.69,91.61,101.3
"FLA","2016-2017",41,218.34,166.87,161.83,5.04,50.77,45.86,44.47,11.25,6.61,4.64,62.99,3.09,1.82,7.59,7.47,0.12,50.4,2.09,2.05,7,10,3,11.31,92.85,104.16
"L.A","2016-2017",41,234.27,183.27,180.59,2.68,50.37,46.94,46.25,0,5.61,-5.61,0,0,1.44,7.39,8.01,-0.62,47.99,1.89,2.05,7,13,6,0,93.88,93.88
"MIN","2016-2017",41,189.9,112.31,174.83,-62.52,39.11,35.48,55.24,11.72,8.01,3.71,59.4,3.7,2.53,4.45,9.16,-4.71,32.7,1.41,2.89,2,2,0,16.81,91.66,108.47
"MTL","2016-2017",41,188.83,83.17,163.87,-80.7,33.67,26.43,52.07,2.41,10.17,-7.76,19.16,0.77,3.23,4.51,8.41,-3.9,34.91,1.43,2.67,8,6,-2,4.63,89.27,93.9
"N.J","2016-2017",41,240.63,88.74,220.9,-132.16,28.66,22.13,55.08,9.69,8.39,1.3,53.6,2.42,2.09,5.14,9.75,-4.61,34.52,1.28,2.43,9,10,1,17.37,92.56,109.92
"NSH","2016-2017",41,198.77,124.19,175.71,-51.52,41.41,37.49,53.04,11.65,7.32,4.33,61.41,3.52,2.21,5.96,7.58,-1.62,44.02,1.8,2.29,6,8,2,17.5,92.82,110.32
"NYI","2016-2017",41,193.34,114.73,192.64,-77.91,37.33,35.6,59.78,4.11,6.86,-2.75,37.47,1.28,2.13,7.3,8.23,-0.93,47.01,2.27,2.55,2,6,4,5.75,93.24,98.98
"NYR","2016-2017",41,195.19,210.35,151.02,59.33,58.21,64.66,46.42,19.08,7.96,11.12,70.56,5.87,2.45,9.94,6.98,2.96,58.75,3.06,2.15,3,8,5,15.48,90.4,105.88
"OTT","2016-2017",41,208.23,170.69,201.25,-30.56,45.89,49.18,57.99,4.88,11.82,-6.94,29.22,1.41,3.41,6.07,9.02,-2.95,40.23,1.75,2.6,2,6,4,5.72,89.22,94.94
"PHI","2016-2017",41,229.35,136.33,180.05,-43.72,43.09,35.67,47.1,4.72,10.81,-6.09,30.39,1.23,2.83,6.88,7.88,-1,46.61,1.8,2.06,4,7,3,4.59,88.39,92.98
"PIT","2016-2017",41,221.35,183.04,181.67,1.37,50.19,49.62,49.24,6.92,11.27,-4.35,38.04,1.88,3.05,8.44,8.86,-0.42,48.79,2.29,2.4,7,9,2,7.64,88.93,96.57
"S.J","2016-2017",41,190.82,113.05,176.86,-63.81,38.99,35.55,55.61,2.31,7.02,-4.71,24.76,0.73,2.21,5.14,7.98,-2.84,39.18,1.62,2.51,4,5,1,2.99,92.42,95.41
"STL","2016-2017",41,215.76,113.87,171.63,-57.76,39.88,31.67,47.73,4.72,6.87,-2.15,40.72,1.31,1.91,6.72,8.06,-1.34,45.47,1.87,2.24,7,7,0,6.01,92.81,98.83
"T.B","2016-2017",41,219.87,101.66,194.54,-92.88,34.32,27.74,53.09,4.19,8.78,-4.59,32.31,1.14,2.4,8.83,9.2,-0.37,48.97,2.41,2.51,6,7,1,5.71,92.5,98.21
"TOR","2016-2017",41,217.15,91.11,200.65,-109.54,31.23,25.17,55.44,4.52,5.81,-1.29,43.76,1.25,1.61,6.59,8.53,-1.94,43.58,1.82,2.36,6,7,1,6.38,94.28,100.66
"VAN","2016-2017",41,204.27,100.83,172.51,-71.68,36.89,29.62,50.67,2.34,9.91,-7.57,19.1,0.69,2.91,4.07,8.07,-4,33.53,1.2,2.37,2,7,5,3.38,90.46,93.83
"WPG","2016-2017",41,223.1,132.04,205.97,-73.93,39.06,35.51,55.39,9.48,9.14,0.34,50.91,2.55,2.46,6.88,8.12,-1.24,45.87,1.85,2.18,5,8,3,11.08,91.37,102.44
"WSH","2016-2017",41,238.12,154.18,182.29,-28.11,45.82,38.85,45.93,6.92,9.82,-2.9,41.34,1.74,2.47,9.34,10.1,-0.76,48.05,2.35,2.54,3,13,10,6.37,89.27,95.64
