"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2016-2017",41,258.09,10.16,93.32,8.65,95.19,8.69,93.33,-0.04,1.86,103.48,102.02,1.46,19,240,49,6.17,77.92,15.91,0.07,50.32
"ARI","2016-2017",41,217.34,9.22,89.48,7.2,92.83,8.33,93.94,-1.13,-1.11,98.7,102.28,-3.58,7,168,45,3.18,76.36,20.45,0.04,42.27
"BOS","2016-2017",41,234.95,12.52,91.82,9.14,94.08,7.26,93.21,1.88,0.88,104.34,100.47,3.87,14,206,30,5.6,82.4,12,0.06,42.8
"BUF","2016-2017",41,207.03,2.79,92.22,2.07,94.34,5.47,94.02,-3.4,0.32,95.01,99.49,-4.48,9,195,33,3.8,82.28,13.92,0.04,48.1
"CAR","2016-2017",41,186.08,12.83,89.32,10.5,92.65,8.1,93.94,2.4,-1.28,102.15,102.04,0.11,9,135,37,4.97,74.59,20.44,0.06,49.17
"CBJ","2016-2017",41,207.66,18.62,92.68,13.94,94.57,9.08,93.63,4.87,0.94,111.3,102.71,8.59,14,179,42,5.96,76.17,17.87,0.07,44.26
"CGY","2016-2017",41,240.27,8.62,91.98,6.36,94.36,6.17,94.18,0.19,0.18,100.59,100.36,0.24,17,216,39,6.25,79.41,14.34,0.07,42.65
"CHI","2016-2017",41,181.56,0,91.53,0,93.95,5.75,93.81,-5.75,0.14,91.53,99.56,-8.03,10,155,33,5.05,78.28,16.67,0.06,36.36
"COL","2016-2017",40,215.95,7.3,89.17,4.63,92.2,6.14,93.78,-1.51,-1.58,96.47,99.93,-3.45,13,212,47,4.78,77.94,17.28,0.06,39.71
"DAL","2016-2017",41,208.56,8.86,89.31,6.38,92.08,8.01,93.37,-1.63,-1.29,98.17,101.38,-3.21,9,181,31,4.07,81.9,14.03,0.05,42.53
"DET","2016-2017",41,199.1,6.25,92.67,4.3,94.75,6.13,93.5,-1.83,1.26,98.93,99.63,-0.7,15,176,36,6.61,77.53,15.86,0.08,44.49
"EDM","2016-2017",41,206.19,9.69,91.61,6.48,94.12,5.86,93.29,0.62,0.83,101.3,99.15,2.15,9,174,34,4.15,80.18,15.67,0.05,40.55
"FLA","2016-2017",41,218.34,11.31,92.85,8.88,94.93,5.99,94.27,2.89,0.66,104.16,100.26,3.9,6,192,42,2.5,80,17.5,0.03,42.5
"L.A","2016-2017",41,234.27,0,93.88,0,95.69,5.58,93.85,-5.58,1.84,93.88,99.43,-5.54,14,181,26,6.33,81.9,11.76,0.07,38.01
"MIN","2016-2017",41,189.9,16.81,91.66,13.72,94.27,5.21,93.45,8.51,0.82,108.47,98.65,9.82,8,176,34,3.67,80.73,15.6,0.04,45.87
"MTL","2016-2017",41,188.83,4.63,89.27,3.26,92.1,6.11,93.47,-2.84,-1.37,93.9,99.58,-5.68,13,188,31,5.6,81.03,13.36,0.06,41.38
"N.J","2016-2017",41,240.63,17.37,92.56,13.88,95.11,7.36,94.32,6.52,0.79,109.92,101.68,8.24,10,210,44,3.79,79.55,16.67,0.05,44.7
"NSH","2016-2017",41,198.77,17.5,92.82,11.68,94.56,5.98,94.37,5.71,0.19,110.32,100.34,9.97,14,174,44,6.03,75,18.97,0.07,50
"NYI","2016-2017",41,193.34,5.75,93.24,4.52,95.08,8.03,94.09,-3.51,0.98,98.98,102.12,-3.14,7,163,31,3.48,81.09,15.42,0.04,44.28
"NYR","2016-2017",41,195.19,15.48,90.4,12.03,93.35,6.27,94.17,5.76,-0.82,105.88,100.44,5.45,14,170,38,6.31,76.58,17.12,0.08,39.19
"OTT","2016-2017",41,208.23,5.72,89.22,3.88,92.13,4.82,93.99,-0.95,-1.86,94.94,98.82,-3.88,9,178,42,3.93,77.73,18.34,0.05,45.41
"PHI","2016-2017",41,229.35,4.59,88.39,3.84,91.91,5.6,94.1,-1.76,-2.19,92.98,99.7,-6.72,8,194,39,3.32,80.5,16.18,0.04,45.64
"PIT","2016-2017",41,221.35,7.64,88.93,4.76,91.48,5.8,93.3,-1.05,-1.82,96.57,99.1,-2.54,21,188,40,8.43,75.5,16.06,0.1,38.96
"S.J","2016-2017",41,190.82,2.99,92.42,2.57,94.79,5.71,94.08,-3.15,0.71,95.41,99.79,-4.38,9,155,29,4.66,80.31,15.03,0.05,40.93
"STL","2016-2017",41,215.76,6.01,92.81,4.92,94.87,7.01,93.98,-2.09,0.89,98.83,100.98,-2.16,13,188,30,5.63,81.39,12.99,0.06,44.59
"T.B","2016-2017",41,219.87,5.71,92.5,4.73,93.96,9.98,93.67,-5.24,0.29,98.21,103.65,-5.44,10,211,39,3.85,81.15,15,0.05,38.46
"TOR","2016-2017",41,217.15,6.38,94.28,5.82,96.04,8.48,94.19,-2.66,1.85,100.66,102.67,-2.01,10,184,37,4.33,79.65,16.02,0.05,38.96
"VAN","2016-2017",41,204.27,3.38,90.46,2.84,92.78,4.94,94.12,-2.1,-1.34,93.83,99.05,-5.22,19,181,32,8.19,78.02,13.79,0.1,47.41
"WPG","2016-2017",41,223.1,11.08,91.37,9.24,93.94,6.71,94.62,2.54,-0.68,102.44,101.32,1.12,10,205,52,3.75,76.78,19.48,0.05,35.96
"WSH","2016-2017",41,238.12,6.37,89.27,5.24,92.84,7.07,92.64,-1.83,0.2,95.64,99.71,-4.07,14,204,46,5.3,77.27,17.42,0.06,46.21
