"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2016-2017",41,258.09,19,49,240,6.17,77.92,15.91,0.07,155,153,50.32,21,34,4.88,7.9,68,18,50,15.81,4.18
"ARI","2016-2017",41,217.34,7,45,168,3.18,76.36,20.45,0.04,93,127,42.27,25,22,6.9,6.07,34,16,18,9.39,4.42
"BOS","2016-2017",41,234.95,14,30,206,5.6,82.4,12,0.06,107,143,42.8,33,26,8.43,6.64,38,26,12,9.7,6.64
"BUF","2016-2017",41,207.03,9,33,195,3.8,82.28,13.92,0.04,114,123,48.1,18,27,5.22,7.82,21,10,11,6.09,2.9
"CAR","2016-2017",41,186.08,9,37,135,4.97,74.59,20.44,0.06,89,92,49.17,17,37,5.48,11.93,15,12,3,4.84,3.87
"CBJ","2016-2017",41,207.66,14,42,179,5.96,76.17,17.87,0.07,104,131,44.26,20,24,5.78,6.93,29,11,18,8.38,3.18
"CGY","2016-2017",41,240.27,17,39,216,6.25,79.41,14.34,0.07,116,156,42.65,22,44,5.49,10.99,30,14,16,7.49,3.5
"CHI","2016-2017",41,181.56,10,33,155,5.05,78.28,16.67,0.06,72,126,36.36,19,18,6.28,5.95,18,8,10,5.95,2.64
"COL","2016-2017",40,215.95,13,47,212,4.78,77.94,17.28,0.06,108,164,39.71,28,19,7.78,5.28,36,12,24,10,3.33
"DAL","2016-2017",41,208.56,9,31,181,4.07,81.9,14.03,0.05,94,127,42.53,19,20,5.47,5.75,29,9,20,8.34,2.59
"DET","2016-2017",41,199.1,15,36,176,6.61,77.53,15.86,0.08,101,126,44.49,18,21,5.42,6.33,25,18,7,7.53,5.42
"EDM","2016-2017",41,206.19,9,34,174,4.15,80.18,15.67,0.05,88,129,40.55,14,25,4.07,7.27,41,11,30,11.93,3.2
"FLA","2016-2017",41,218.34,6,42,192,2.5,80,17.5,0.03,102,138,42.5,26,34,7.14,9.34,25,15,10,6.87,4.12
"L.A","2016-2017",41,234.27,14,26,181,6.33,81.9,11.76,0.07,84,137,38.01,19,31,4.87,7.94,59,20,39,15.11,5.12
"MIN","2016-2017",41,189.9,8,34,176,3.67,80.73,15.6,0.04,100,118,45.87,12,25,3.79,7.9,14,18,-4,4.42,5.69
"MTL","2016-2017",41,188.83,13,31,188,5.6,81.03,13.36,0.06,96,136,41.38,16,20,5.08,6.35,30,14,16,9.53,4.45
"N.J","2016-2017",41,240.63,10,44,210,3.79,79.55,16.67,0.05,118,146,44.7,20,21,4.99,5.24,34,14,20,8.48,3.49
"NSH","2016-2017",41,198.77,14,44,174,6.03,75,18.97,0.07,116,116,50,13,29,3.92,8.75,23,20,3,6.94,6.04
"NYI","2016-2017",41,193.34,7,31,163,3.48,81.09,15.42,0.04,89,112,44.28,15,23,4.66,7.14,52,10,42,16.14,3.1
"NYR","2016-2017",41,195.19,14,38,170,6.31,76.58,17.12,0.08,87,135,39.19,10,27,3.07,8.3,31,11,20,9.53,3.38
"OTT","2016-2017",41,208.23,9,42,178,3.93,77.73,18.34,0.05,104,125,45.41,30,27,8.64,7.78,34,14,20,9.8,4.03
"PHI","2016-2017",41,229.35,8,39,194,3.32,80.5,16.18,0.04,110,131,45.64,25,22,6.54,5.76,45,16,29,11.77,4.19
"PIT","2016-2017",41,221.35,21,40,188,8.43,75.5,16.06,0.1,97,152,38.96,30,40,8.13,10.84,35,17,18,9.49,4.61
"S.J","2016-2017",41,190.82,9,29,155,4.66,80.31,15.03,0.05,79,114,40.93,29,22,9.12,6.92,28,15,13,8.8,4.72
"STL","2016-2017",41,215.76,13,30,188,5.63,81.39,12.99,0.06,103,128,44.59,22,24,6.12,6.67,26,19,7,7.23,5.28
"T.B","2016-2017",41,219.87,10,39,211,3.85,81.15,15,0.05,100,160,38.46,27,31,7.37,8.46,34,14,20,9.28,3.82
"TOR","2016-2017",41,217.15,10,37,184,4.33,79.65,16.02,0.05,90,141,38.96,22,20,6.08,5.53,39,20,19,10.78,5.53
"VAN","2016-2017",41,204.27,19,32,181,8.19,78.02,13.79,0.1,110,122,47.41,15,22,4.41,6.46,26,12,14,7.64,3.52
"WPG","2016-2017",41,223.1,10,52,205,3.75,76.78,19.48,0.05,96,171,35.96,22,32,5.92,8.61,51,16,35,13.72,4.3
"WSH","2016-2017",41,238.12,14,46,204,5.3,77.27,17.42,0.06,122,142,46.21,20,30,5.04,7.56,52,22,30,13.1,5.54
