"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",41,258.09,41,414,-373,9.01,9.53,96.25,4,23,-19,14.81,0.93,5.35,3.91,32.05,-28.14,10.87,0.91,7.45,6,9,3,12.5,90.09,102.59
"ARI","2016-2017",41,217.34,50,391,-341,11.34,13.8,107.94,4,30,-26,11.76,1.1,8.28,4.54,25.4,-20.86,15.16,1.25,7.01,5,9,4,11.43,84.13,95.56
"BOS","2016-2017",41,234.95,45,366,-321,10.95,11.49,93.47,4,23,-19,14.81,1.02,5.87,3.42,26.09,-22.67,11.59,0.87,6.66,5,8,3,13.79,87.83,101.62
"BUF","2016-2017",41,207.03,44,409,-365,9.71,12.75,118.53,1,29,-28,3.33,0.29,8.4,2.69,29.5,-26.81,8.36,0.78,8.55,3,6,3,3.45,87.82,91.26
"CAR","2016-2017",41,186.08,55,230,-175,19.3,17.73,74.16,7,17,-10,29.17,2.26,5.48,5.07,15.28,-10.21,24.91,1.63,4.93,4,6,2,16.67,83.96,100.63
"CBJ","2016-2017",41,207.66,45,342,-297,11.63,13,98.82,7,21,-14,25,2.02,6.07,4.58,23.04,-18.46,16.58,1.32,6.66,7,7,0,22.58,88.4,110.98
"CGY","2016-2017",41,240.27,60,388,-328,13.39,14.98,96.89,4,24,-20,14.29,1,5.99,3.97,24.99,-21.02,13.71,0.99,6.24,6,3,-3,10,88,98
"CHI","2016-2017",41,181.56,23,357,-334,6.05,7.6,117.98,0,24,-24,0,0,7.93,1.36,24.19,-22.83,5.32,0.45,7.99,3,4,1,0,86.89,86.89
"COL","2016-2017",40,215.95,38,378,-340,9.13,10.56,105.02,2,35,-33,5.41,0.56,9.72,2.55,27.57,-25.02,8.47,0.71,7.66,3,7,4,9.09,83.01,92.1
"DAL","2016-2017",41,208.56,41,380,-339,9.74,11.8,109.32,3,36,-33,7.69,0.86,10.36,3.73,28.69,-24.96,11.51,1.07,8.25,7,8,1,10.71,83.1,93.81
"DET","2016-2017",41,199.1,44,377,-333,10.45,13.26,113.61,2,24,-22,7.69,0.6,7.23,2.72,27.33,-24.61,9.05,0.82,8.24,4,8,4,7.69,88.12,95.81
"EDM","2016-2017",41,206.19,40,370,-330,9.76,11.64,107.67,3,23,-20,11.54,0.87,6.69,2.64,25.8,-23.16,9.28,0.77,7.51,3,4,1,12,87.15,99.15
"FLA","2016-2017",41,218.34,52,312,-260,14.29,14.29,85.74,5,18,-13,21.74,1.37,4.95,3.17,20.58,-17.41,13.35,0.87,5.66,7,10,3,14.71,89.66,104.36
"L.A","2016-2017",41,234.27,58,344,-286,14.43,14.85,88.1,0,15,-15,0,0,3.84,3.12,21.87,-18.75,12.48,0.8,5.6,7,13,6,0,91.23,91.23
"MIN","2016-2017",41,189.9,35,337,-302,9.41,11.06,106.48,5,22,-17,18.52,1.58,6.95,1.88,25.12,-23.24,6.96,0.59,7.94,2,2,0,20,87.64,107.64
"MTL","2016-2017",41,188.83,27,312,-285,7.96,8.58,99.14,1,29,-28,3.33,0.32,9.21,1.94,24.21,-22.27,7.42,0.62,7.69,8,6,-2,5.26,83.43,88.69
"N.J","2016-2017",41,240.63,27,418,-391,6.07,6.73,104.23,4,23,-19,14.81,1,5.73,2.07,27.47,-25.4,7.01,0.52,6.85,9,10,1,21.05,89,110.05
"NSH","2016-2017",41,198.77,38,335,-297,10.19,11.47,101.12,5,20,-15,20,1.51,6.04,2.52,21.74,-19.22,10.39,0.76,6.56,6,8,2,20.83,89.42,110.25
"NYI","2016-2017",41,193.34,36,370,-334,8.87,11.17,114.82,2,19,-17,9.52,0.62,5.9,3.1,22.78,-19.68,11.98,0.96,7.07,2,6,4,7.69,89.95,97.64
"NYR","2016-2017",41,195.19,63,289,-226,17.9,19.37,88.84,8,22,-14,26.67,2.46,6.76,3.95,18.58,-14.63,17.53,1.21,5.71,3,8,5,19.05,85.62,104.67
"OTT","2016-2017",41,208.23,53,381,-328,12.21,15.27,109.78,2,32,-30,5.88,0.58,9.22,2.51,24.82,-22.31,9.18,0.72,7.15,2,6,4,6.67,84.16,90.83
"PHI","2016-2017",41,229.35,43,344,-301,11.11,11.25,89.99,2,31,-29,6.06,0.52,8.11,2.88,22.17,-19.29,11.5,0.75,5.8,4,7,3,5.41,82.18,87.59
"PIT","2016-2017",41,221.35,58,347,-289,14.32,15.72,94.06,3,32,-29,8.57,0.81,8.67,3.62,25.13,-21.51,12.59,0.98,6.81,7,9,2,9.09,83.25,92.34
"S.J","2016-2017",41,190.82,35,340,-305,9.33,11.01,106.91,1,20,-19,4.76,0.31,6.29,2.19,22.17,-19.98,8.99,0.69,6.97,4,5,1,3.7,88.44,92.14
"STL","2016-2017",41,215.76,35,336,-301,9.43,9.73,93.44,2,20,-18,9.09,0.56,5.56,2.81,23.18,-20.37,10.81,0.78,6.45,7,7,0,7.41,88.95,96.36
"T.B","2016-2017",41,219.87,31,388,-357,7.4,8.46,105.88,2,26,-24,7.14,0.55,7.1,3.84,26.48,-22.64,12.66,1.05,7.23,6,7,1,8,88.5,96.5
"TOR","2016-2017",41,217.15,28,391,-363,6.68,7.74,108.04,2,16,-14,11.11,0.55,4.42,2.81,24.19,-21.38,10.41,0.78,6.68,6,7,1,8,91.67,99.67
"VAN","2016-2017",41,204.27,32,334,-302,8.74,9.4,98.11,1,27,-26,3.57,0.29,7.93,1.8,22.91,-21.11,7.28,0.53,6.73,2,7,5,4,86.15,90.15
"WPG","2016-2017",41,223.1,39,388,-349,9.13,10.49,104.35,4,27,-23,12.9,1.08,7.26,2.94,22.18,-19.24,11.7,0.79,5.97,5,8,3,13.79,86.15,99.95
"WSH","2016-2017",41,238.12,47,348,-301,11.9,11.84,87.69,3,26,-23,10.34,0.76,6.55,4,27.3,-23.3,12.78,1.01,6.88,3,13,10,7.89,84.62,92.51
