"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2016-2017",41,258.09,12.5,90.09,11.11,92.99,10.86,90.23,0.25,2.76,102.59,101.09,1.5,19,240,49,6.17,77.92,15.91,0.07,50.32
"ARI","2016-2017",41,217.34,11.43,84.13,9.3,89.4,10.56,91.02,-1.26,-1.63,95.56,101.58,-6.03,7,168,45,3.18,76.36,20.45,0.04,42.27
"BOS","2016-2017",41,234.95,13.79,87.83,10.53,91.42,9,90.26,1.53,1.15,101.62,99.26,2.36,14,206,30,5.6,82.4,12,0.06,42.8
"BUF","2016-2017",41,207.03,3.45,87.82,2.63,91.34,7.08,91.19,-4.45,0.15,91.26,98.27,-7.01,9,195,33,3.8,82.28,13.92,0.04,48.1
"CAR","2016-2017",41,186.08,16.67,83.96,14.29,89.38,10.35,90.45,3.94,-1.08,100.63,100.8,-0.17,9,135,37,4.97,74.59,20.44,0.06,49.17
"CBJ","2016-2017",41,207.66,22.58,88.4,17.5,91.67,11.45,90.86,6.05,0.81,110.98,102.31,8.67,14,179,42,5.96,76.17,17.87,0.07,44.26
"CGY","2016-2017",41,240.27,10,88,7.69,91.72,7.63,91.38,0.06,0.34,98,99.02,-1.02,17,216,39,6.25,79.41,14.34,0.07,42.65
"CHI","2016-2017",41,181.56,0,86.89,0,90.8,7.16,90.73,-7.16,0.07,86.89,97.89,-11,10,155,33,5.05,78.28,16.67,0.06,36.36
"COL","2016-2017",40,215.95,9.09,83.01,6.06,87.93,7.73,90.49,-1.67,-2.56,92.1,98.22,-6.12,13,212,47,4.78,77.94,17.28,0.06,39.71
"DAL","2016-2017",41,208.56,10.71,83.1,8.11,87.76,10.08,90.24,-1.97,-2.49,93.81,100.32,-6.51,9,181,31,4.07,81.9,14.03,0.05,42.53
"DET","2016-2017",41,199.1,7.69,88.12,5.56,91.61,7.56,90.44,-2,1.16,95.81,98,-2.19,15,176,36,6.61,77.53,15.86,0.08,44.49
"EDM","2016-2017",41,206.19,12,87.15,8.57,91.25,7.54,90.19,1.03,1.06,99.15,97.73,1.42,9,174,34,4.15,80.18,15.67,0.05,40.55
"FLA","2016-2017",41,218.34,14.71,89.66,11.9,92.8,7.55,91.77,4.36,1.03,104.36,99.32,5.05,6,192,42,2.5,80,17.5,0.03,42.5
"L.A","2016-2017",41,234.27,0,91.23,0,93.9,6.93,91.11,-6.93,2.79,91.23,98.04,-6.82,14,181,26,6.33,81.9,11.76,0.07,38.01
"MIN","2016-2017",41,189.9,20,87.64,17.24,91.76,6.48,90.59,10.76,1.17,107.64,97.07,10.57,8,176,34,3.67,80.73,15.6,0.04,45.87
"MTL","2016-2017",41,188.83,5.26,83.43,3.85,88.11,7.46,90.08,-3.62,-1.96,88.69,97.54,-8.85,13,188,31,5.6,81.03,13.36,0.06,41.38
"N.J","2016-2017",41,240.63,21.05,89,17.39,92.86,9,91.47,8.39,1.39,110.05,100.47,9.58,10,210,44,3.79,79.55,16.67,0.05,44.7
"NSH","2016-2017",41,198.77,20.83,89.42,14.71,92.19,7.41,91.51,7.29,0.68,110.25,98.92,11.33,14,174,44,6.03,75,18.97,0.07,50
"NYI","2016-2017",41,193.34,7.69,89.95,6.45,92.83,10,91.4,-3.55,1.43,97.64,101.4,-3.76,7,163,31,3.48,81.09,15.42,0.04,44.28
"NYR","2016-2017",41,195.19,19.05,85.62,15.69,90.22,7.75,91.74,7.94,-1.52,104.67,99.49,5.18,14,170,38,6.31,76.58,17.12,0.08,39.19
"OTT","2016-2017",41,208.23,6.67,84.16,4.76,88.69,5.98,91.23,-1.21,-2.54,90.83,97.21,-6.38,9,178,42,3.93,77.73,18.34,0.05,45.41
"PHI","2016-2017",41,229.35,5.41,82.18,4.76,87.84,6.86,91.31,-2.1,-3.46,87.59,98.16,-10.57,8,194,39,3.32,80.5,16.18,0.04,45.64
"PIT","2016-2017",41,221.35,9.09,83.25,6,87.25,7.24,89.99,-1.24,-2.74,92.34,97.23,-4.89,21,188,40,8.43,75.5,16.06,0.1,38.96
"S.J","2016-2017",41,190.82,3.7,88.44,3.33,92.13,7.3,91.27,-3.97,0.85,92.14,98.57,-6.43,9,155,29,4.66,80.31,15.03,0.05,40.93
"STL","2016-2017",41,215.76,7.41,88.95,6.25,92.25,8.78,91.02,-2.53,1.23,96.36,99.8,-3.44,13,188,30,5.63,81.39,12.99,0.06,44.59
"T.B","2016-2017",41,219.87,8,88.5,6.9,90.94,13.24,90.77,-6.34,0.17,96.5,104.01,-7.52,10,211,39,3.85,81.15,15,0.05,38.46
"TOR","2016-2017",41,217.15,8,91.67,7.69,94.37,10.81,91.48,-3.12,2.88,99.67,102.29,-2.62,10,184,37,4.33,79.65,16.02,0.05,38.96
"VAN","2016-2017",41,204.27,4,86.15,3.45,89.77,6.21,91.32,-2.76,-1.55,90.15,97.53,-7.38,19,181,32,8.19,78.02,13.79,0.1,47.41
"WPG","2016-2017",41,223.1,13.79,86.15,12.12,90.46,8.91,92.16,3.21,-1.7,99.95,101.07,-1.12,10,205,52,3.75,76.78,19.48,0.05,35.96
"WSH","2016-2017",41,238.12,7.89,84.62,6.82,89.96,9.09,89.46,-2.27,0.5,92.51,98.55,-6.04,14,204,46,5.3,77.27,17.42,0.06,46.21
