"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",41,204.11,190.17,139.14,51.03,57.75,55.9,40.9,7.76,9.79,-2.03,44.22,2.28,2.88,9.16,5.6,3.56,62.06,2.69,1.65,5,6,1,7.66,86.13,93.79
"ARI","2016-2017",41,188.24,116.35,158.84,-42.49,42.28,37.09,50.63,4.77,9.6,-4.83,33.19,1.52,3.06,4.88,7.51,-2.63,39.39,1.56,2.39,11,6,-5,7.92,89.27,97.19
"BOS","2016-2017",41,171.78,150.03,87.3,62.73,63.22,52.4,30.49,7.59,0,7.59,100,2.65,0,6.52,5.29,1.23,55.21,2.28,1.85,6,3,-3,8.77,100,108.77
"BUF","2016-2017",41,171.05,131.09,144.74,-13.65,47.53,45.98,50.77,7.43,4.62,2.81,61.66,2.61,1.62,6.31,6.84,-0.53,47.98,2.21,2.4,5,4,-1,10.84,95.04,105.87
"CAR","2016-2017",41,183.44,139.45,75.3,64.15,64.94,45.61,24.63,7.3,2.94,4.36,71.29,2.39,0.96,6.13,4.44,1.69,57.99,2.01,1.45,3,3,0,10,91.71,101.71
"CBJ","2016-2017",41,163.63,118.9,83.59,35.31,58.72,43.6,30.65,6.27,0,6.27,100,2.3,0,5.68,3.62,2.06,61.08,2.08,1.33,7,7,0,9.66,100,109.66
"CGY","2016-2017",41,193.63,155.67,118.83,36.84,56.71,48.24,36.82,7.57,5.27,2.3,58.96,2.35,1.63,6.52,6.29,0.23,50.9,2.02,1.95,5,6,1,8.94,91.84,100.78
"CHI","2016-2017",41,186.01,135.97,156.55,-20.58,46.48,43.86,50.5,5.9,10.27,-4.37,36.49,1.9,3.31,6.91,6.34,0.57,52.15,2.23,2.05,9,4,-5,7.11,89.48,96.59
"COL","2016-2017",40,178.67,121.54,138.87,-17.33,46.67,40.81,46.63,4.51,2.48,2.03,64.52,1.51,0.83,5.26,5.64,-0.38,48.26,1.77,1.89,5,5,0,7.56,96.9,104.46
"DAL","2016-2017",41,189.47,149.56,149.91,-0.35,49.94,47.36,47.47,7.57,17.07,-9.5,30.72,2.4,5.41,7.41,9.18,-1.77,44.67,2.35,2.91,8,4,-4,8.82,81.87,90.69
"DET","2016-2017",41,195.56,141.44,113.83,27.61,55.41,43.4,34.92,4.28,5.19,-0.91,45.2,1.31,1.59,6.03,4.79,1.24,55.73,1.85,1.47,5,5,0,6.19,92.16,98.35
"EDM","2016-2017",41,186.3,155.91,118.64,37.27,56.79,50.21,38.21,8.91,5.58,3.33,61.49,2.87,1.8,7.69,6.38,1.31,54.66,2.48,2.05,9,7,-2,10.03,91.45,101.48
"FLA","2016-2017",41,213.42,176.31,139.11,37.2,55.9,49.57,39.11,7.68,10.64,-2.96,41.92,2.16,2.99,8.23,11.41,-3.18,41.9,2.31,3.21,4,5,1,7.38,88.87,96.25
"L.A","2016-2017",41,189.99,176.8,116.52,60.28,60.28,55.83,36.8,6.02,0,6.02,100,1.9,0,6.44,5.54,0.9,53.76,2.03,1.75,8,3,-5,6.9,100,106.9
"MIN","2016-2017",41,194.44,151.37,107.57,43.8,58.46,46.71,33.19,5.01,4.98,0.03,50.15,1.55,1.54,6.56,3.1,3.46,67.91,2.02,0.96,11,4,-7,6.26,91.43,97.69
"MTL","2016-2017",41,174.91,119.54,131.2,-11.66,47.67,41.01,45.01,7.35,5.22,2.13,58.47,2.52,1.79,4.55,5.48,-0.93,45.36,1.56,1.88,8,3,-5,11.34,93.13,104.48
"N.J","2016-2017",41,198.18,158.22,181.2,-22.98,46.61,47.9,54.86,5.66,12.98,-7.32,30.36,1.71,3.93,6.97,12.13,-5.16,36.49,2.11,3.67,8,5,-3,6.44,88.96,95.4
"NSH","2016-2017",41,215.8,174.14,172.65,1.49,50.21,48.42,48,5.93,6.91,-0.98,46.18,1.65,1.92,6.69,8.73,-2.04,43.39,1.86,2.43,9,9,0,6.38,92.9,99.28
"NYI","2016-2017",41,179.75,149.32,155.61,-6.29,48.97,49.84,51.94,5.89,7.64,-1.75,43.53,1.97,2.55,6.92,6.96,-0.04,49.86,2.31,2.32,12,9,-3,7.09,90.61,97.7
"NYR","2016-2017",41,195,168.04,136.02,32.02,55.27,51.7,41.85,8.73,11.66,-2.93,42.82,2.69,3.59,8.05,9.6,-1.55,45.61,2.48,2.95,5,3,-2,8.87,86.5,95.37
"OTT","2016-2017",41,206.58,158.82,166.9,-8.08,48.76,46.13,48.48,7.68,5.47,2.21,58.4,2.23,1.59,7.11,8.54,-1.43,45.43,2.07,2.48,13,8,-5,8.87,94.92,103.79
"PHI","2016-2017",41,213.56,177.77,169.02,8.75,51.26,49.94,47.49,6.63,9.79,-3.16,40.38,1.86,2.75,9.18,8.46,0.72,52.04,2.58,2.38,9,6,-3,6.18,89.85,96.04
"PIT","2016-2017",41,212.61,157.41,225.61,-68.2,41.1,44.42,63.67,8.04,8.23,-0.19,49.42,2.27,2.32,7.96,15.41,-7.45,34.06,2.25,4.35,8,3,-5,9.01,94.14,103.16
"S.J","2016-2017",41,201.95,169.98,170.51,-0.53,49.92,50.5,50.66,5.39,7.46,-2.07,41.95,1.6,2.22,7.53,7.87,-0.34,48.9,2.24,2.34,10,6,-4,6.06,91.13,97.19
"STL","2016-2017",41,186.13,147.17,110.78,36.39,57.05,47.44,35.71,8.18,5.02,3.16,61.97,2.64,1.62,6.27,4.31,1.96,59.26,2.02,1.39,8,6,-2,9.38,90.85,100.22
"T.B","2016-2017",41,205.8,163.24,138.88,24.36,54.03,47.59,40.49,8.78,8.21,0.57,51.68,2.56,2.39,7.33,6.53,0.8,52.89,2.14,1.9,6,4,-2,9.27,90.36,99.63
"TOR","2016-2017",41,187.29,172.72,132.42,40.3,56.6,55.33,42.42,11.1,5.12,5.98,68.43,3.56,1.64,8.76,5.43,3.33,61.73,2.81,1.74,7,8,1,10.97,93.47,104.44
