"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2016-2017",41,204.11,7.66,86.13,5.52,89.77,6.51,94.15,-1,-4.38,93.79,100.66,-6.87,173,17,45,73.62,7.23,19.15,0.91,60.43
"ARI","2016-2017",41,188.24,7.92,89.27,5.78,92.36,5.91,94.02,-0.13,-1.66,97.19,99.94,-2.75,147,11,45,72.41,5.42,22.17,0.93,44.33
"BOS","2016-2017",41,171.78,8.77,100,6.54,100,5.62,91.69,0.92,8.31,108.77,97.31,11.46,147,7,30,79.89,3.8,16.3,0.95,54.89
"BUF","2016-2017",41,171.05,10.84,95.04,7.61,95.8,6.46,93.79,1.15,2.02,105.87,100.25,5.63,154,13,28,78.97,6.67,14.36,0.92,55.9
"CAR","2016-2017",41,183.44,10,91.71,7.09,94.41,5.95,91.56,1.14,2.85,101.71,97.51,4.2,158,8,34,79,4,17,0.95,60.5
"CBJ","2016-2017",41,163.63,9.66,100,7.15,100,6.47,94.18,0.67,5.82,109.66,100.65,9.01,127,9,28,77.44,5.49,17.07,0.93,52.44
"CGY","2016-2017",41,193.63,8.94,91.84,6.45,94.45,5.56,93.38,0.89,1.07,100.78,98.93,1.84,172,10,27,82.3,4.78,12.92,0.95,53.11
"CHI","2016-2017",41,186.01,7.11,89.48,5.7,91.71,6.68,94.88,-0.98,-3.17,96.59,101.56,-4.97,142,12,24,79.78,6.74,13.48,0.92,47.19
"COL","2016-2017",40,178.67,7.56,96.9,5.04,97.73,5.88,94.84,-0.84,2.89,104.46,100.72,3.74,128,14,36,71.91,7.87,20.22,0.9,58.43
"DAL","2016-2017",41,189.47,8.82,81.87,6.48,85.53,6.34,92.22,0.14,-6.69,90.69,98.56,-7.86,146,17,34,74.11,8.63,17.26,0.9,57.36
"DET","2016-2017",41,195.56,6.19,92.16,4.14,94.02,5.83,94.48,-1.69,-0.46,98.35,100.31,-1.96,142,11,42,72.82,5.64,21.54,0.93,56.92
"EDM","2016-2017",41,186.3,10.03,91.45,7.4,94.33,6.39,93.51,1.01,0.81,101.48,99.9,1.58,152,13,31,77.55,6.63,15.82,0.92,45.41
"FLA","2016-2017",41,213.42,7.38,88.87,5.5,90.89,5.9,90.23,-0.39,0.66,96.25,96.13,0.11,182,12,37,78.79,5.19,16.02,0.94,47.19
"L.A","2016-2017",41,189.99,6.9,100,4.78,100,5.11,93.52,-0.33,6.48,106.9,98.64,8.27,168,9,39,77.78,4.17,18.06,0.95,50.93
"MIN","2016-2017",41,194.44,6.26,91.43,4.5,93.4,5.9,95.89,-1.39,-2.49,97.69,101.79,-4.09,152,6,35,78.76,3.11,18.13,0.96,55.44
"MTL","2016-2017",41,174.91,11.34,93.13,7.72,94.85,4.78,94.59,2.94,0.26,104.48,99.37,5.11,138,7,35,76.67,3.89,19.44,0.95,51.11
"N.J","2016-2017",41,198.18,6.44,88.96,4.8,91.05,5.91,91.64,-1.11,-0.59,95.4,97.55,-2.15,166,17,42,73.78,7.56,18.67,0.91,53.33
"NSH","2016-2017",41,215.8,6.38,92.9,4.51,94.89,5.08,93.54,-0.58,1.35,99.28,98.63,0.65,187,13,33,80.26,5.58,14.16,0.94,57.08
"NYI","2016-2017",41,179.75,7.09,90.61,5.03,93.5,5.91,94.08,-0.88,-0.58,97.7,99.99,-2.29,159,12,27,80.3,6.06,13.64,0.93,53.54
"NYR","2016-2017",41,195,8.87,86.5,6.51,88.99,6,90.94,0.51,-1.95,95.37,96.94,-1.57,160,13,29,79.21,6.44,14.36,0.92,50
"OTT","2016-2017",41,206.58,8.87,94.92,6.19,96.06,5.73,93.85,0.46,2.21,103.79,99.58,4.21,196,13,31,81.67,5.42,12.92,0.94,48.75
"PHI","2016-2017",41,213.56,6.18,89.85,4.54,91.88,6.29,92.98,-1.75,-1.1,96.04,99.27,-3.23,190,12,42,77.87,4.92,17.21,0.94,52.05
"PIT","2016-2017",41,212.61,9.01,94.14,6.67,95.5,6.6,91.57,0.07,3.93,103.16,98.16,4.99,170,18,45,72.96,7.73,19.31,0.9,50.64
"S.J","2016-2017",41,201.95,6.06,91.13,4.29,94.23,6,93.92,-1.7,0.32,97.19,99.91,-2.72,174,11,48,74.68,4.72,20.6,0.94,53.22
"STL","2016-2017",41,186.13,9.38,90.85,7.21,94,5.52,94.85,1.68,-0.85,100.22,100.37,-0.15,149,11,34,76.8,5.67,17.53,0.93,59.28
"T.B","2016-2017",41,205.8,9.27,90.36,6.94,93.01,5.79,94.44,1.15,-1.43,99.63,100.23,-0.6,169,13,39,76.47,5.88,17.65,0.93,52.94
"TOR","2016-2017",41,187.29,10.97,93.47,8.24,94.97,6.5,94.66,1.74,0.3,104.44,101.16,3.27,170,7,33,80.95,3.33,15.71,0.96,54.29
"VAN","2016-2017",41,196.41,7.48,91.19,5.31,92.73,5.21,91.21,0.1,1.52,98.66,96.42,2.25,163,10,35,78.37,4.81,16.83,0.94,56.25
"WPG","2016-2017",41,178.79,7.68,94.72,5.83,95.65,5.85,93.31,-0.02,2.34,102.4,99.16,3.24,147,13,39,73.87,6.53,19.6,0.92,46.23
"WSH","2016-2017",41,179.8,10.88,96.36,8.05,96.94,5.78,91.69,2.27,5.25,107.25,97.47,9.78,167,17,19,82.27,8.37,9.36,0.91,52.71
