"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2016-2017",41,204.11,173,45,17,73.62,7.23,19.15,0.91,142,93,60.43,24,3,7.06,0.88,13,37,-24,3.82,10.88
"ARI","2016-2017",41,188.24,147,45,11,72.41,5.42,22.17,0.93,90,113,44.33,36,11,11.47,3.51,13,30,-17,4.14,9.56
"BOS","2016-2017",41,171.78,147,30,7,79.89,3.8,16.3,0.95,101,83,54.89,27,10,9.43,3.49,12,32,-20,4.19,11.18
"BUF","2016-2017",41,171.05,154,28,13,78.97,6.67,14.36,0.92,109,86,55.9,24,4,8.42,1.4,14,29,-15,4.91,10.17
"CAR","2016-2017",41,183.44,158,34,8,79,4,17,0.95,121,79,60.5,27,8,8.83,2.62,11,32,-21,3.6,10.47
"CBJ","2016-2017",41,163.63,127,28,9,77.44,5.49,17.07,0.93,86,78,52.44,21,1,7.7,0.37,11,24,-13,4.03,8.8
"CGY","2016-2017",41,193.63,172,27,10,82.3,4.78,12.92,0.95,111,98,53.11,26,9,8.06,2.79,18,23,-5,5.58,7.13
"CHI","2016-2017",41,186.01,142,24,12,79.78,6.74,13.48,0.92,84,94,47.19,23,5,7.42,1.61,13,26,-13,4.19,8.39
"COL","2016-2017",40,178.67,128,36,14,71.91,7.87,20.22,0.9,104,74,58.43,22,7,7.39,2.35,20,30,-10,6.72,10.07
"DAL","2016-2017",41,189.47,146,34,17,74.11,8.63,17.26,0.9,113,84,57.36,24,5,7.6,1.58,16,28,-12,5.07,8.87
"DET","2016-2017",41,195.56,142,42,11,72.82,5.64,21.54,0.93,111,84,56.92,21,10,6.44,3.07,13,33,-20,3.99,10.12
"EDM","2016-2017",41,186.3,152,31,13,77.55,6.63,15.82,0.92,89,107,45.41,21,10,6.76,3.22,15,18,-3,4.83,5.8
"FLA","2016-2017",41,213.42,182,37,12,78.79,5.19,16.02,0.94,109,122,47.19,39,5,10.96,1.41,16,41,-25,4.5,11.53
"L.A","2016-2017",41,189.99,168,39,9,77.78,4.17,18.06,0.95,110,106,50.93,20,6,6.32,1.89,17,34,-17,5.37,10.74
"MIN","2016-2017",41,194.44,152,35,6,78.76,3.11,18.13,0.96,107,86,55.44,16,5,4.94,1.54,10,39,-29,3.09,12.03
"MTL","2016-2017",41,174.91,138,35,7,76.67,3.89,19.44,0.95,92,88,51.11,26,5,8.92,1.72,19,41,-22,6.52,14.06
"N.J","2016-2017",41,198.18,166,42,17,73.78,7.56,18.67,0.91,120,105,53.33,24,6,7.27,1.82,25,46,-21,7.57,13.93
"NSH","2016-2017",41,215.8,187,33,13,80.26,5.58,14.16,0.94,133,100,57.08,26,11,7.23,3.06,14,41,-27,3.89,11.4
"NYI","2016-2017",41,179.75,159,27,12,80.3,6.06,13.64,0.93,106,92,53.54,15,5,5.01,1.67,19,38,-19,6.34,12.68
"NYR","2016-2017",41,195,160,29,13,79.21,6.44,14.36,0.92,101,101,50,26,8,8,2.46,15,39,-24,4.62,12
"OTT","2016-2017",41,206.58,196,31,13,81.67,5.42,12.92,0.94,117,123,48.75,31,11,9,3.19,10,34,-24,2.9,9.88
"PHI","2016-2017",41,213.56,190,42,12,77.87,4.92,17.21,0.94,127,117,52.05,33,3,9.27,0.84,15,44,-29,4.21,12.36
"PIT","2016-2017",41,212.61,170,45,18,72.96,7.73,19.31,0.9,118,115,50.64,36,9,10.16,2.54,15,25,-10,4.23,7.06
"S.J","2016-2017",41,201.95,174,48,11,74.68,4.72,20.6,0.94,124,109,53.22,30,7,8.91,2.08,9,28,-19,2.67,8.32
"STL","2016-2017",41,186.13,149,34,11,76.8,5.67,17.53,0.93,115,79,59.28,19,7,6.12,2.26,9,32,-23,2.9,10.32
"T.B","2016-2017",41,205.8,169,39,13,76.47,5.88,17.65,0.93,117,104,52.94,30,8,8.75,2.33,15,34,-19,4.37,9.91
"TOR","2016-2017",41,187.29,170,33,7,80.95,3.33,15.71,0.96,114,96,54.29,28,11,8.97,3.52,9,28,-19,2.88,8.97
"VAN","2016-2017",41,196.41,163,35,10,78.37,4.81,16.83,0.94,117,91,56.25,18,7,5.5,2.14,12,34,-22,3.67,10.39
"WPG","2016-2017",41,178.79,147,39,13,73.87,6.53,19.6,0.92,92,107,46.23,15,3,5.03,1.01,16,36,-20,5.37,12.08
"WSH","2016-2017",41,179.8,167,19,17,82.27,8.37,9.36,0.91,107,96,52.71,30,10,10.01,3.34,14,31,-17,4.67,10.34
