"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",41,204.11,379,43,336,89.81,111.41,12.64,23,4,19,85.19,6.76,1.18,27.57,2.26,25.31,92.42,8.1,0.66,5,6,1,11.68,84,95.68
"ARI","2016-2017",41,188.24,236,46,190,83.69,75.22,14.66,15,4,11,78.95,4.78,1.27,14.68,2.88,11.8,83.6,4.68,0.92,11,6,-5,12.93,86.67,99.6
"BOS","2016-2017",41,171.78,301,27,274,91.77,105.13,9.43,23,0,23,100,8.03,0,19.73,2.04,17.69,90.63,6.89,0.71,6,3,-3,13.77,100,113.77
"BUF","2016-2017",41,171.05,269,43,226,86.22,94.36,15.08,22,2,20,91.67,7.72,0.7,19.66,2.79,16.87,87.57,6.9,0.98,5,4,-1,16.3,93.94,110.24
"CAR","2016-2017",41,183.44,286,23,263,92.56,93.55,7.52,23,1,22,95.83,7.52,0.33,18.5,1.65,16.85,91.81,6.05,0.54,3,3,0,16.08,91.67,107.75
"CBJ","2016-2017",41,163.63,236,26,210,90.08,86.54,9.53,19,0,19,100,6.97,0,17.39,1.46,15.93,92.25,6.38,0.54,7,7,0,14.96,100,114.96
"CGY","2016-2017",41,193.63,319,36,283,89.86,98.85,11.16,22,2,20,91.67,6.82,0.62,19.91,2.4,17.51,89.24,6.17,0.74,5,6,1,13.1,90.91,104
"CHI","2016-2017",41,186.01,277,50,227,84.71,89.35,16.13,18,4,14,81.82,5.81,1.29,21.18,2.51,18.67,89.4,6.83,0.81,9,4,-5,10.98,88.57,99.55
"COL","2016-2017",40,178.67,252,41,211,86.01,84.63,13.77,14,1,13,93.33,4.7,0.34,16.32,2.27,14.05,87.79,5.48,0.76,5,5,0,11.67,96.3,107.96
"DAL","2016-2017",41,189.47,307,46,261,86.97,97.22,14.57,23,7,16,76.67,7.28,2.22,23.57,3.68,19.89,86.5,7.46,1.17,8,4,-4,13.53,78.79,92.32
"DET","2016-2017",41,195.56,285,35,250,89.06,87.44,10.74,13,2,11,86.67,3.99,0.61,18.72,1.95,16.77,90.57,5.74,0.6,5,5,0,9.63,91.3,100.93
"EDM","2016-2017",41,186.3,314,37,277,89.46,101.13,11.92,28,2,26,93.33,9.02,0.64,24.41,2.53,21.88,90.61,7.86,0.81,9,7,-2,16.09,91.3,107.4
"FLA","2016-2017",41,213.42,361,42,319,89.58,101.49,11.81,22,4,18,84.62,6.18,1.12,25.37,4.49,20.88,84.96,7.13,1.26,4,5,1,10.68,87.88,98.56
"L.A","2016-2017",41,189.99,354,35,319,91,111.8,11.05,16,0,16,100,5.05,0,18.77,2.19,16.58,89.55,5.93,0.69,8,3,-5,9.47,100,109.47
"MIN","2016-2017",41,194.44,294,33,261,89.91,90.72,10.18,15,2,13,88.24,4.63,0.62,20.01,1.2,18.81,94.34,6.17,0.37,11,4,-7,9.87,90,99.87
"MTL","2016-2017",41,174.91,239,40,199,85.66,81.99,13.72,22,2,20,91.67,7.55,0.69,13.82,2.12,11.7,86.7,4.74,0.73,8,3,-5,17.46,92.31,109.77
"N.J","2016-2017",41,198.18,323,55,268,85.45,97.79,16.65,18,5,13,78.26,5.45,1.51,21.25,4.67,16.58,81.98,6.43,1.41,8,5,-3,10.53,87.8,98.33
"NSH","2016-2017",41,215.8,356,53,303,87.04,98.98,14.74,20,3,17,86.96,5.56,0.83,21.58,3.53,18.05,85.94,6,0.98,9,9,0,10.81,91.18,101.99
"NYI","2016-2017",41,179.75,298,48,250,86.13,99.47,16.02,18,3,15,85.71,6.01,1,22.39,2.66,19.73,89.38,7.47,0.89,12,9,-3,11.18,89.66,100.84
"NYR","2016-2017",41,195,335,43,292,88.62,103.08,13.23,27,5,22,84.38,8.31,1.54,25.75,3.96,21.79,86.67,7.92,1.22,5,3,-2,14.14,83.87,98.01
"OTT","2016-2017",41,206.58,328,50,278,86.77,95.27,14.52,24,2,22,92.31,6.97,0.58,22.27,3.38,18.89,86.82,6.47,0.98,13,8,-5,13.87,94.59,108.47
"PHI","2016-2017",41,213.56,372,51,321,87.94,104.51,14.33,21,4,17,84,5.9,1.12,29,3.46,25.54,89.34,8.15,0.97,9,6,-3,9.68,87.88,97.56
"PIT","2016-2017",41,212.61,312,69,243,81.89,88.05,19.47,25,3,22,89.29,7.06,0.85,23.88,5.75,18.13,80.59,6.74,1.62,8,3,-5,14.53,93.62,108.15
"S.J","2016-2017",41,201.95,336,53,283,86.38,99.83,15.75,17,3,14,85,5.05,0.89,23.07,3.12,19.95,88.09,6.85,0.93,10,6,-4,9.94,89.66,99.6
"STL","2016-2017",41,186.13,295,34,261,89.67,95.09,10.96,25,2,23,92.59,8.06,0.64,18.97,1.7,17.27,91.78,6.12,0.55,8,6,-2,14.79,89.47,104.27
"T.B","2016-2017",41,205.8,322,45,277,87.74,93.88,13.12,26,3,23,89.66,7.58,0.87,22.72,2.52,20.2,90.02,6.62,0.73,6,4,-2,14.36,90,104.36
"TOR","2016-2017",41,187.29,347,41,306,89.43,111.16,13.13,33,2,31,94.29,10.57,0.64,26.79,2.12,24.67,92.67,8.58,0.68,7,8,1,16.84,92.86,109.69
