"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2016-2017",41,204.11,11.68,84,8.3,87.5,9.95,92.94,-1.65,-5.44,95.68,102.89,-7.22,173,17,45,73.62,7.23,19.15,0.91,60.43
"ARI","2016-2017",41,188.24,12.93,86.67,9.15,89.74,8.95,92.62,0.2,-2.87,99.6,101.57,-1.97,147,11,45,72.41,5.42,22.17,0.93,44.33
"BOS","2016-2017",41,171.78,13.77,100,10.18,100,8.73,90.29,1.45,9.71,113.77,99.02,14.76,147,7,30,79.89,3.8,16.3,0.95,54.89
"BUF","2016-2017",41,171.05,16.3,93.94,11.11,94.59,9.93,92.46,1.18,2.14,110.24,102.39,7.85,154,13,28,78.97,6.67,14.36,0.92,55.9
"CAR","2016-2017",41,183.44,16.08,91.67,11.22,94.12,9.02,90.29,2.2,3.82,107.75,99.32,8.43,158,8,34,79,4,17,0.95,60.5
"CBJ","2016-2017",41,163.63,14.96,100,11.05,100,10.11,93.05,0.94,6.95,114.96,103.16,11.8,127,9,28,77.44,5.49,17.07,0.93,52.44
"CGY","2016-2017",41,193.63,13.1,90.91,9.36,93.55,8.47,92.26,0.89,1.29,104,100.73,3.27,172,10,27,82.3,4.78,12.92,0.95,53.11
"CHI","2016-2017",41,186.01,10.98,88.57,8.65,90.48,10.18,94.02,-1.53,-3.55,99.55,104.21,-4.66,142,12,24,79.78,6.74,13.48,0.92,47.19
"COL","2016-2017",40,178.67,11.67,96.3,7.69,97.14,8.97,93.51,-1.27,3.63,107.96,102.48,5.48,128,14,36,71.91,7.87,20.22,0.9,58.43
"DAL","2016-2017",41,189.47,13.53,78.79,9.75,82.05,9.99,90.56,-0.24,-8.51,92.32,100.55,-8.23,146,17,34,74.11,8.63,17.26,0.9,57.36
"DET","2016-2017",41,195.56,9.63,91.3,6.37,93.1,9.18,93.28,-2.8,-0.17,100.93,102.45,-1.52,142,11,42,72.82,5.64,21.54,0.93,56.92
"EDM","2016-2017",41,186.3,16.09,91.3,11.67,93.94,10.17,92.33,1.5,1.61,107.4,102.5,4.89,152,13,31,77.55,6.63,15.82,0.92,45.41
"FLA","2016-2017",41,213.42,10.68,87.88,7.86,89.47,9.06,88.18,-1.2,1.29,98.56,97.24,1.31,182,12,37,78.79,5.19,16.02,0.94,47.19
"L.A","2016-2017",41,189.99,9.47,100,6.48,100,7.6,92.18,-1.12,7.82,109.47,99.78,9.69,168,9,39,77.78,4.17,18.06,0.95,50.93
"MIN","2016-2017",41,194.44,9.87,90,7.01,92,9.35,95.2,-2.34,-3.2,99.87,104.55,-4.68,152,6,35,78.76,3.11,18.13,0.96,55.44
"MTL","2016-2017",41,174.91,17.46,92.31,11.76,93.94,7.39,93.58,4.37,0.36,109.77,100.97,8.8,138,7,35,76.67,3.89,19.44,0.95,51.11
"N.J","2016-2017",41,198.18,10.53,87.8,7.69,89.58,9.08,90.27,-1.39,-0.69,98.33,99.35,-1.02,166,17,42,73.78,7.56,18.67,0.91,53.33
"NSH","2016-2017",41,215.8,10.81,91.18,7.58,93.33,8.17,92.16,-0.6,1.18,101.99,100.33,1.66,187,13,33,80.26,5.58,14.16,0.94,57.08
"NYI","2016-2017",41,179.75,11.18,89.66,7.83,92.31,9.73,93.18,-1.91,-0.87,100.84,102.91,-2.08,159,12,27,80.3,6.06,13.64,0.93,53.54
"NYR","2016-2017",41,195,14.14,83.87,10.23,86.11,9.75,89,0.47,-2.89,98.01,98.75,-0.75,160,13,29,79.21,6.44,14.36,0.92,50
"OTT","2016-2017",41,206.58,13.87,94.59,9.56,95.56,8.87,92.49,0.69,3.07,108.47,101.36,7.11,196,13,31,81.67,5.42,12.92,0.94,48.75
"PHI","2016-2017",41,213.56,9.68,87.88,7,89.74,9.67,91.13,-2.67,-1.38,97.56,100.79,-3.24,190,12,42,77.87,4.92,17.21,0.94,52.05
"PIT","2016-2017",41,212.61,14.53,93.62,10.59,94.92,10.12,90.25,0.47,4.66,108.15,100.37,7.78,170,18,45,72.96,7.73,19.31,0.9,50.64
"S.J","2016-2017",41,201.95,9.94,89.66,6.97,93.02,9.45,92.74,-2.49,0.28,99.6,102.2,-2.6,174,11,48,74.68,4.72,20.6,0.94,53.22
"STL","2016-2017",41,186.13,14.79,89.47,11.16,92.86,8.47,93.93,2.69,-1.07,104.27,102.4,1.87,149,11,34,76.8,5.67,17.53,0.93,59.28
"T.B","2016-2017",41,205.8,14.36,90,10.57,92.68,9.24,93.85,1.33,-1.17,104.36,103.09,1.28,169,13,39,76.47,5.88,17.65,0.93,52.94
"TOR","2016-2017",41,187.29,16.84,92.86,12.45,94.12,10.11,93.76,2.34,0.35,109.69,103.87,5.82,170,7,33,80.95,3.33,15.71,0.96,54.29
"VAN","2016-2017",41,196.41,12.06,90.91,8.46,92.11,8.01,89.58,0.45,2.53,102.97,97.59,5.38,163,10,35,78.37,4.81,16.83,0.94,56.25
"WPG","2016-2017",41,178.79,12.5,94.12,9.35,95,9.01,92.22,0.33,2.78,106.62,101.24,5.38,147,13,39,73.87,6.53,19.6,0.92,46.23
"WSH","2016-2017",41,179.8,16.86,96,12.13,96.43,8.72,90.11,3.42,6.32,112.86,98.82,14.04,167,17,19,82.27,8.37,9.36,0.91,52.71
