"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",41,1949.68,1700.94,1495.49,205.45,53.21,52.35,46.02,76.68,52.25,24.43,59.47,2.36,1.61,86.18,67.87,18.31,55.94,2.65,2.09,142,138,-4,8.45,93.35,101.8
"ARI","2016-2017",41,1994.17,1624.41,1767.95,-143.54,47.88,48.87,53.19,66.15,66.37,-0.22,49.92,1.99,2,67.4,74.52,-7.12,47.49,2.03,2.24,122,126,4,7.56,93.03,100.59
"BOS","2016-2017",41,1922.85,1725.75,1298.09,427.66,57.07,53.85,40.51,67.42,67.71,-0.29,49.89,2.1,2.11,72.94,56.97,15.97,56.15,2.28,1.78,146,144,-2,7.18,90.66,97.84
"BUF","2016-2017",41,2009.33,1492.73,1592.19,-99.46,48.39,44.57,47.54,56.34,67.71,-11.37,45.42,1.68,2.02,64.29,64.08,0.21,50.08,1.92,1.91,109,124,15,6.27,92.89,99.16
"CAR","2016-2017",41,2019.18,1750.98,1576.97,174.01,52.61,52.03,46.86,73.77,68.65,5.12,51.8,2.19,2.04,86.74,79.7,7.04,52.11,2.58,2.37,71,104,33,8.1,91.89,99.99
"CBJ","2016-2017",41,2009,1769.74,1553.89,215.85,53.25,52.85,46.41,88.92,57.47,31.45,60.74,2.66,1.72,87.95,85.13,2.82,50.81,2.63,2.54,108,116,8,8.83,93.64,102.47
"CGY","2016-2017",41,1917.98,1564.86,1413.8,151.06,52.54,48.95,44.23,80.78,64.4,16.38,55.64,2.53,2.01,69.19,68.32,0.87,50.32,2.16,2.14,140,141,1,9.42,91.89,101.31
"CHI","2016-2017",41,2025.5,1733.44,1535.06,198.38,53.03,51.35,45.47,79.93,54.27,25.66,59.56,2.37,1.61,77.6,72.85,4.75,51.58,2.3,2.16,90,107,17,8.3,94.02,102.32
"COL","2016-2017",41,1952.92,1499.97,1537.7,-37.73,49.38,46.08,47.24,65.06,89.84,-24.78,42,2,2.76,57.76,60.5,-2.74,48.84,1.77,1.86,128,121,-7,7.97,90.16,98.13
"DAL","2016-2017",41,1991.77,1803.91,1733.16,70.75,51,54.34,52.21,89.89,73.33,16.56,55.07,2.71,2.21,83.39,80.53,2.86,50.87,2.51,2.43,115,137,22,9.74,91.67,101.41
"DET","2016-2017",41,1978.53,1404.19,1388.28,15.91,50.28,42.58,42.1,69.31,65.62,3.69,51.37,2.1,1.99,69.22,65.29,3.93,51.46,2.1,1.98,119,148,29,8.44,91.97,100.41
"EDM","2016-2017",41,2015.48,1754.89,1590.74,164.15,52.45,52.24,47.36,78.31,62,16.31,55.81,2.33,1.85,90.63,80.85,9.78,52.85,2.7,2.41,122,132,10,8.2,92.86,101.06
"FLA","2016-2017",41,1936.77,1587.28,1422.16,165.12,52.74,49.17,44.06,69.26,74.71,-5.45,48.11,2.15,2.31,67.77,66.15,1.62,50.6,2.1,2.05,139,151,12,7.15,91.78,98.93
"L.A","2016-2017",41,2009.95,1748.66,1349.57,399.09,56.44,52.2,40.29,61.98,64.27,-2.29,49.09,1.85,1.92,79.54,59.41,20.13,57.24,2.37,1.77,116,128,12,6.79,90.91,97.7
"MIN","2016-2017",41,2040.05,1605.98,1483.15,122.83,51.99,47.23,43.62,90.54,64.31,26.23,58.47,2.66,1.89,70.01,50.73,19.28,57.98,2.06,1.49,113,127,14,10.11,91.68,101.79
"MTL","2016-2017",41,1991.6,1858.4,1501.64,356.76,55.31,55.99,45.24,89.95,51.86,38.09,63.43,2.71,1.56,80.54,64.52,16.02,55.52,2.43,1.94,129,124,-5,9.42,93.74,103.16
"N.J","2016-2017",41,1985.6,1374.64,1353.08,21.56,50.4,41.54,40.89,55.99,64.55,-8.56,46.45,1.69,1.95,69.43,63.85,5.58,52.09,2.1,1.93,127,144,17,6.76,92.21,98.97
"NSH","2016-2017",41,1966.8,1669.26,1456.51,212.75,53.4,50.92,44.43,85.55,53.71,31.84,61.43,2.61,1.64,69.43,61.27,8.16,53.12,2.12,1.87,133,128,-5,9.29,93.3,102.58
"NYI","2016-2017",41,2007.65,1656.43,1667.24,-10.81,49.84,49.5,49.83,94.6,77.21,17.39,55.06,2.83,2.31,89.78,79.8,9.98,52.94,2.68,2.38,128,125,-3,10.32,91.23,101.55
"NYR","2016-2017",41,2011.75,1597.91,1604.46,-6.55,49.9,47.66,47.85,88,82.48,5.52,51.62,2.62,2.46,82.88,77.15,5.73,51.79,2.47,2.3,101,110,9,10.14,90.32,100.46
"OTT","2016-2017",41,1981.8,1599.84,1619.69,-19.85,49.69,48.44,49.04,66.79,67.76,-0.97,49.64,2.02,2.05,74.84,66.29,8.55,53.03,2.27,2.01,132,129,-3,7.48,92.06,99.54
"PHI","2016-2017",41,1960.77,1756.18,1590.28,165.9,52.48,53.74,48.66,65.9,66.32,-0.42,49.84,2.02,2.03,72.99,69.51,3.48,51.22,2.23,2.13,128,156,28,7.28,92.03,99.31
"PIT","2016-2017",41,1991.83,1745.97,1653.02,92.95,51.37,52.59,49.79,99.82,69.83,29.99,58.84,3.01,2.1,85.84,77.22,8.62,52.64,2.59,2.33,109,135,26,9.51,92.86,102.37
"S.J","2016-2017",40,1966.5,1799.27,1508.83,290.44,54.39,54.9,46.04,66.17,51.7,14.47,56.14,2.02,1.58,82.34,63.85,18.49,56.32,2.51,1.95,104,111,7,7.46,92.85,100.31
"STL","2016-2017",41,1951.98,1466.11,1336.29,129.82,52.32,45.07,41.07,87.02,67.33,19.69,56.38,2.67,2.07,61.41,55.43,5.98,52.56,1.89,1.7,136,130,-6,10.8,91.18,101.99
"T.B","2016-2017",41,1934.98,1567.19,1419.98,147.21,52.46,48.6,44.03,68.28,74.52,-6.24,47.82,2.12,2.31,58.24,55.78,2.46,51.08,1.81,1.73,148,158,10,8.14,91.24,99.38
"TOR","2016-2017",41,1970.03,1855.51,1577.06,278.45,54.06,56.51,48.03,79.32,66.81,12.51,54.28,2.42,2.03,92.78,77.37,15.41,54.53,2.83,2.36,142,133,-9,8.27,92.45,100.72
"VAN","2016-2017",41,2049.08,1448.63,1503.11,-54.48,49.08,42.42,44.01,58.83,68.43,-9.6,46.23,1.72,2,61.48,66.88,-5.4,47.9,1.8,1.96,91,108,17,7.22,92.5,99.71
"WPG","2016-2017",41,1906.13,1538.08,1470.89,67.19,51.12,48.41,46.3,77.41,71.16,6.25,52.1,2.44,2.24,76.16,68.2,7.96,52.76,2.4,2.15,133,156,23,8.91,91.55,100.46
"WSH","2016-2017",41,1936.1,1682.87,1372.37,310.5,55.08,52.15,42.53,89.48,40.48,49,68.85,2.77,1.25,71.3,59.2,12.1,54.64,2.21,1.83,130,122,-8,9.92,94.43,104.35
