"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2017-2018",24,1116.35,8.66,92.91,5.83,95.06,5.99,93.96,-0.16,1.11,101.58,99.95,1.63,334,358,403,30.5,32.69,36.8,0.48,52.97
"ARI","2017-2018",22,1061.93,6.21,91.35,4.17,94.28,5.49,94.58,-1.32,-0.3,97.56,100.07,-2.51,287,384,339,28.42,38.02,33.56,0.43,50.5
"BOS","2017-2018",24,1136.05,8.71,92.42,6.26,94.46,5.69,94.26,0.57,0.2,101.13,99.95,1.17,444,315,419,37.69,26.74,35.57,0.58,53.82
"BUF","2017-2018",21,1004.88,6.17,91.29,4.79,93.26,4.73,94.83,0.06,-1.57,97.46,99.56,-2.1,336,323,346,33.43,32.14,34.43,0.51,52.34
"CAR","2017-2018",21,1015.57,6.43,91.03,4.49,93.8,6.78,94.09,-2.28,-0.29,97.46,100.86,-3.41,364,266,347,37.26,27.23,35.52,0.58,54.04
"CBJ","2017-2018",24,1164.28,6.1,93.22,4.55,95.06,6.54,93.37,-1.99,1.69,99.32,99.92,-0.6,383,379,385,33.39,33.04,33.57,0.5,47.17
"CGY","2017-2018",24,1155.38,7.69,91.89,5.38,94.28,5.78,94.56,-0.39,-0.28,99.58,100.33,-0.75,402,349,419,34.36,29.83,35.81,0.54,50
"CHI","2017-2018",23,1076.95,9.07,92.77,7,94.24,6.09,94.08,0.91,0.16,101.85,100.17,1.68,391,322,381,35.74,29.43,34.83,0.55,50.46
"COL","2017-2018",26,1193.27,9.92,92.64,7.48,94.38,5.02,94.64,2.47,-0.26,102.56,99.66,2.9,352,404,452,29.14,33.44,37.42,0.47,45.94
"DAL","2017-2018",23,1094.32,9.78,93.04,6.91,94.94,6.78,94.1,0.13,0.83,102.82,100.89,1.93,297,358,426,27.47,33.12,39.41,0.45,55.78
"DET","2017-2018",25,1218.05,9.07,91.6,6.57,93.52,6.04,93.94,0.53,-0.43,100.67,99.98,0.69,368,396,425,30.95,33.31,35.74,0.48,49.2
"EDM","2017-2018",23,1112.58,6.76,92.26,4.9,94.29,7.02,93.42,-2.12,0.87,99.03,100.43,-1.41,406,338,396,35.61,29.65,34.74,0.55,50
"FLA","2017-2018",21,996.18,9.71,91.12,7.54,93.11,6.06,94.09,1.48,-0.99,100.83,100.16,0.68,276,350,387,27.25,34.55,38.2,0.44,51.92
"L.A","2017-2018",24,1133.72,7.35,92.94,4.94,94.99,5.49,94.17,-0.55,0.82,100.29,99.66,0.63,364,350,395,32.82,31.56,35.62,0.51,49.41
"MIN","2017-2018",24,1150.13,8.92,93.64,6.84,95.48,5.51,95.34,1.33,0.15,102.56,100.85,1.72,341,387,389,30.53,34.65,34.83,0.47,49.78
"MTL","2017-2018",25,1205.08,7,91.87,5.3,93.85,6.22,94.38,-0.92,-0.54,98.87,100.61,-1.74,396,355,447,33.06,29.63,37.31,0.53,49.25
