"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",41,1949.68,1888,1791,97,51.32,58.1,55.12,79,56,23,58.52,2.43,1.72,89.54,73.93,15.61,54.77,2.76,2.28,142,138,-4,7.99,93.78,101.77
"ARI","2016-2017",41,1994.17,1823,2099,-276,46.48,54.85,63.15,66,73,-7,47.48,1.99,2.2,68.53,81.28,-12.75,45.74,2.06,2.45,122,126,4,6.95,93.3,100.25
"BOS","2016-2017",41,1922.85,1933,1533,400,55.77,60.32,47.84,70,74,-4,48.61,2.18,2.31,74.77,61.29,13.48,54.95,2.33,1.91,146,144,-2,6.85,91.05,97.9
"BUF","2016-2017",41,2009.33,1683,1884,-201,47.18,50.26,56.26,59,74,-15,44.36,1.76,2.21,65.72,68.94,-3.22,48.8,1.96,2.06,109,124,15,6.01,93.22,99.23
"CAR","2016-2017",41,2019.18,1978,1824,154,52.03,58.78,54.2,77,75,2,50.66,2.29,2.23,89.96,84.48,5.48,51.57,2.67,2.51,71,104,33,7.69,92.11,99.8
"CBJ","2016-2017",41,2009,1961,1870,91,51.19,58.57,55.85,92,63,29,59.35,2.75,1.88,90.54,91.41,-0.87,49.76,2.7,2.73,108,116,8,8.51,93.99,102.5
"CGY","2016-2017",41,1917.98,1756,1682,74,51.08,54.93,52.62,82,71,11,53.59,2.57,2.22,70.47,73.38,-2.91,48.99,2.2,2.3,140,141,1,8.82,92.15,100.97
"CHI","2016-2017",41,2025.5,1925,1804,121,51.62,57.02,53.44,81,58,23,58.27,2.4,1.72,79.31,78.39,0.92,50.29,2.35,2.32,90,107,17,7.79,94.38,102.17
"COL","2016-2017",41,1952.92,1727,1779,-52,49.26,53.06,54.66,68,98,-30,40.96,2.09,3.01,59.28,65.45,-6.17,47.53,1.82,2.01,128,121,-7,7.49,90.39,97.88
"DAL","2016-2017",41,1991.77,2027,2058,-31,49.62,61.06,62,91,77,14,54.17,2.74,2.32,84.72,86.23,-1.51,49.56,2.55,2.6,115,137,22,9.09,92.35,101.44
"DET","2016-2017",41,1978.53,1600,1611,-11,49.83,48.52,48.85,73,70,3,51.05,2.21,2.12,71.13,69.67,1.46,50.52,2.16,2.11,119,148,29,8.03,92.37,100.41
"EDM","2016-2017",41,2015.48,1944,1898,46,50.6,57.87,56.5,80,67,13,54.42,2.38,1.99,92.7,86.8,5.9,51.64,2.76,2.58,122,132,10,7.77,93.25,101.02
"FLA","2016-2017",41,1936.77,1789,1661,128,51.86,55.42,51.46,71,80,-9,47.02,2.2,2.48,69.63,70.9,-1.27,49.55,2.16,2.2,139,151,12,6.69,92.22,98.91
"L.A","2016-2017",41,2009.95,2015,1571,444,56.19,60.15,46.9,65,69,-4,48.51,1.94,2.06,82.05,63.6,18.45,56.33,2.45,1.9,116,128,12,6.39,91.31,97.7
"MIN","2016-2017",41,2040.05,1777,1786,-9,49.87,52.26,52.53,94,70,24,57.32,2.76,2.06,72.33,54.45,17.88,57.05,2.13,1.6,113,127,14,9.74,92.23,101.97
"MTL","2016-2017",41,1991.6,2042,1807,235,53.05,61.52,54.44,91,55,36,62.33,2.74,1.66,83.05,69.09,13.96,54.59,2.5,2.08,129,124,-5,8.9,94.25,103.16
"N.J","2016-2017",41,1985.6,1544,1577,-33,49.47,46.66,47.65,56,69,-13,44.8,1.69,2.09,70.65,69.27,1.38,50.49,2.13,2.09,127,144,17,6.19,92.64,98.84
"NSH","2016-2017",41,1966.8,1864,1734,130,51.81,56.86,52.9,88,57,31,60.69,2.68,1.74,71.26,65.66,5.6,52.04,2.17,2,133,128,-5,8.8,93.8,102.6
"NYI","2016-2017",41,2007.65,1845,1958,-113,48.51,55.14,58.52,97,81,16,54.49,2.9,2.42,91.31,85.28,6.03,51.71,2.73,2.55,128,125,-3,9.76,91.88,101.63
"NYR","2016-2017",41,2011.75,1812,1871,-59,49.2,54.04,55.8,91,88,3,50.84,2.71,2.62,85.42,82.22,3.2,50.95,2.55,2.45,101,110,9,9.55,90.84,100.39
"OTT","2016-2017",41,1981.8,1821,1922,-101,48.65,55.13,58.19,69,71,-2,49.29,2.09,2.15,77.1,70.71,6.39,52.16,2.33,2.14,132,129,-3,7.03,92.7,99.74
"PHI","2016-2017",41,1960.77,1976,1873,103,51.34,60.47,57.31,69,72,-3,48.94,2.11,2.2,75.66,74.86,0.8,50.27,2.32,2.29,128,156,28,6.97,92.39,99.36
"PIT","2016-2017",41,1991.83,1924,1931,-7,49.91,57.96,58.17,102,76,26,57.3,3.07,2.29,87.52,81.74,5.78,51.71,2.64,2.46,109,135,26,9.03,93.08,102.11
"S.J","2016-2017",40,1966.5,2008,1769,239,53.16,61.27,53.97,70,55,15,56,2.14,1.68,85.5,67.53,17.97,55.87,2.61,2.06,104,111,7,7.27,93.24,100.51
"STL","2016-2017",41,1951.98,1645,1557,88,51.37,50.56,47.86,90,72,18,55.56,2.77,2.21,63.07,59.44,3.63,51.48,1.94,1.83,136,130,-6,10.22,91.59,101.8
"T.B","2016-2017",41,1934.98,1768,1645,123,51.8,54.82,51.01,72,78,-6,48,2.23,2.42,59.62,60.24,-0.62,49.74,1.85,1.87,148,158,10,7.87,91.84,99.71
"TOR","2016-2017",41,1970.03,2065,1858,207,52.64,62.89,56.59,81,70,11,53.64,2.47,2.13,94.82,82.79,12.03,53.39,2.89,2.52,142,133,-9,7.82,92.99,100.8
"VAN","2016-2017",41,2049.08,1668,1734,-66,49.03,48.84,50.77,59,75,-16,44.03,1.73,2.2,63.2,72.4,-9.2,46.61,1.85,2.12,91,108,17,6.56,92.63,99.2
"WPG","2016-2017",41,1906.13,1727,1702,25,50.36,54.36,53.57,79,76,3,50.97,2.49,2.39,78.41,73.42,4.99,51.64,2.47,2.31,133,156,23,8.32,92.03,100.35
"WSH","2016-2017",41,1936.1,1841,1660,181,52.58,57.05,51.44,93,43,50,68.38,2.88,1.33,74.16,63.94,10.22,53.7,2.3,1.98,130,122,-8,9.69,94.92,104.6
