"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2016-2017",41,1949.68,7.99,93.78,5.37,95.81,6.09,94.47,-0.72,1.34,101.77,100.55,1.21,596,601,627,32.68,32.95,34.38,0.5,55.26
"ARI","2016-2017",41,1994.17,6.95,93.3,4.74,95.51,4.92,95,-0.18,0.51,100.25,99.92,0.33,599,747,682,29.54,36.83,33.63,0.45,50.15
"BOS","2016-2017",41,1922.85,6.85,91.05,4.74,93.54,5.06,94.65,-0.32,-1.11,97.9,99.71,-1.81,624,549,664,33.97,29.89,36.15,0.53,54.33
"BUF","2016-2017",41,2009.33,6.01,93.22,4.43,94.99,4.93,95.33,-0.5,-0.34,99.23,100.27,-1.03,604,646,709,30.83,32.98,36.19,0.48,50.23
"CAR","2016-2017",41,2019.18,7.69,92.11,5.37,94.53,6.27,93.84,-0.9,0.69,99.8,100.12,-0.32,638,510,642,35.64,28.49,35.87,0.56,55.81
"CBJ","2016-2017",41,2009,8.51,93.99,6.33,95.49,6.23,93.46,0.1,2.03,102.5,99.69,2.81,700,649,663,34.79,32.26,32.95,0.52,51.69
"CGY","2016-2017",41,1917.98,8.82,92.15,6.44,94.36,5.54,94.17,0.91,0.19,100.97,99.71,1.26,626,646,675,32.15,33.18,34.67,0.49,48.95
"CHI","2016-2017",41,2025.5,7.79,94.38,5.91,95.56,5.79,93.99,0.12,1.56,102.17,99.78,2.39,637,588,669,33.63,31.05,35.32,0.52,50.32
"COL","2016-2017",41,1952.92,7.49,90.39,5.34,92.75,4.66,95.16,0.68,-2.41,97.88,99.81,-1.93,622,596,650,33.3,31.91,34.8,0.51,58.94
"DAL","2016-2017",41,1991.77,9.09,92.35,6.1,94.81,5.68,94.19,0.42,0.62,101.44,99.87,1.58,598,684,735,29.65,33.91,36.44,0.47,51.36
"DET","2016-2017",41,1978.53,8.03,92.37,5.82,94.39,5.67,94.42,0.15,-0.03,100.41,100.09,0.32,643,563,666,34.35,30.07,35.58,0.53,53.58
"EDM","2016-2017",41,2015.48,7.77,93.25,5.66,94.94,6.56,93.44,-0.9,1.5,101.02,100,1.02,643,588,687,33.52,30.66,35.82,0.52,49.27
"FLA","2016-2017",41,1936.77,6.69,92.22,4.96,94.03,4.86,94.71,0.1,-0.68,98.91,99.57,-0.66,642,578,664,34.08,30.68,35.24,0.53,48.35
"L.A","2016-2017",41,2009.95,6.39,91.31,4.28,94.1,5.41,94.56,-1.12,-0.46,97.7,99.97,-2.27,727,582,699,36.21,28.98,34.81,0.56,53.19
"MIN","2016-2017",41,2040.05,9.74,92.23,6.99,94.54,5.38,95.76,1.61,-1.21,101.97,101.13,0.84,610,595,712,31.82,31.04,37.14,0.51,52.32
"MTL","2016-2017",41,1991.6,8.9,94.25,6.48,95.64,5.91,94.52,0.57,1.12,103.16,100.43,2.72,618,642,714,31.31,32.52,36.17,0.49,52.74
"N.J","2016-2017",41,1985.6,6.19,92.64,4.48,94.49,5.65,94.47,-1.17,0.02,98.84,100.12,-1.28,533,645,660,29,35.09,35.91,0.45,50.27
"NSH","2016-2017",41,1966.8,8.8,93.8,6.33,95.63,5.12,94.96,1.2,0.66,102.6,100.09,2.52,656,643,711,32.64,31.99,35.37,0.51,51.89
"NYI","2016-2017",41,2007.65,9.76,91.88,7.24,94.23,6.82,93.93,0.42,0.3,101.63,100.75,0.88,598,597,678,31.93,31.87,36.2,0.5,48.59
"NYR","2016-2017",41,2011.75,9.55,90.84,6.7,93.47,6.29,93.9,0.41,-0.43,100.39,100.19,0.21,627,594,714,32.4,30.7,36.9,0.51,49.04
"OTT","2016-2017",41,1981.8,7.03,92.7,5.23,94.81,5.84,94.83,-0.61,-0.02,99.74,100.68,-0.94,651,607,641,34.28,31.96,33.75,0.52,54.19
"PHI","2016-2017",41,1960.77,6.97,92.39,4.95,94.52,5.43,94.3,-0.48,0.22,99.36,99.73,-0.38,605,545,673,33.19,29.9,36.92,0.53,54.74
"PIT","2016-2017",41,1991.83,9.03,93.08,7.05,94.52,6.05,94.11,1,0.41,102.11,100.16,1.95,688,555,743,34.64,27.95,37.41,0.55,48.89
"S.J","2016-2017",40,1966.5,7.27,93.24,4.87,95.41,5.95,94.36,-1.08,1.05,100.51,100.32,0.2,629,528,678,34.28,28.77,36.95,0.54,50.79
"STL","2016-2017",41,1951.98,10.22,91.59,7.33,93.76,5.14,94.84,2.19,-1.09,101.8,99.98,1.82,588,565,686,31.97,30.72,37.3,0.51,52.69
"T.B","2016-2017",41,1934.98,7.87,91.84,5.47,93.91,4.53,95.29,0.94,-1.39,99.71,99.82,-0.11,610,593,703,32,31.11,36.88,0.51,49.06
"TOR","2016-2017",41,1970.03,7.82,92.99,5.22,95.09,6.11,94.2,-0.89,0.9,100.8,100.3,0.5,640,620,699,32.67,31.65,35.68,0.51,52.78
"VAN","2016-2017",41,2049.08,6.56,92.63,4.89,94.31,5.24,94.51,-0.35,-0.2,99.2,99.75,-0.55,654,634,695,32.98,31.97,35.05,0.51,52.04
"WPG","2016-2017",41,1906.13,8.32,92.03,6.07,94.06,6.03,94.26,0.05,-0.2,100.35,100.29,0.06,594,550,656,33,30.56,36.44,0.52,50.94
"WSH","2016-2017",41,1936.1,9.69,94.92,6.82,96.5,5.44,94.8,1.38,1.7,104.6,100.24,4.37,633,500,618,36.15,28.56,35.29,0.56,50.2
