"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2016-2017",41,1949.68,596,627,601,32.68,32.95,34.38,0.5,1008,816,55.26,378,157,11.63,4.83,1014,813,201,31.21,25.02
"ARI","2016-2017",41,1994.17,599,682,747,29.54,36.83,33.63,0.45,1017,1011,50.15,197,150,5.93,4.51,1054,765,289,31.71,23.02
"BOS","2016-2017",41,1922.85,624,664,549,33.97,29.89,36.15,0.53,998,839,54.33,317,294,9.89,9.17,869,920,-51,27.12,28.71
"BUF","2016-2017",41,2009.33,604,709,646,30.83,32.98,36.19,0.48,984,975,50.23,257,210,7.67,6.27,845,610,235,25.23,18.22
"CAR","2016-2017",41,2019.18,638,642,510,35.64,28.49,35.87,0.56,999,791,55.81,361,479,10.73,14.23,814,910,-96,24.19,27.04
"CBJ","2016-2017",41,2009,700,663,649,34.79,32.26,32.95,0.52,1040,972,51.69,192,209,5.73,6.24,676,521,155,20.19,15.56
"CGY","2016-2017",41,1917.98,626,675,646,32.15,33.18,34.67,0.49,953,994,48.95,399,319,12.48,9.98,584,446,138,18.27,13.95
"CHI","2016-2017",41,2025.5,637,669,588,33.63,31.05,35.32,0.52,953,941,50.32,324,323,9.6,9.57,647,1120,-473,19.17,33.18
"COL","2016-2017",41,1952.92,622,650,596,33.3,31.91,34.8,0.51,1101,767,58.94,219,309,6.73,9.49,693,517,176,21.29,15.88
"DAL","2016-2017",41,1991.77,598,735,684,29.65,33.91,36.44,0.47,1036,981,51.36,430,232,12.95,6.99,723,611,112,21.78,18.41
"DET","2016-2017",41,1978.53,643,666,563,34.35,30.07,35.58,0.53,1003,869,53.58,296,167,8.98,5.06,779,847,-68,23.62,25.69
"EDM","2016-2017",41,2015.48,643,687,588,33.52,30.66,35.82,0.52,945,973,49.27,517,345,15.39,10.27,1014,785,229,30.19,23.37
"FLA","2016-2017",41,1936.77,642,664,578,34.08,30.68,35.24,0.53,911,973,48.35,330,297,10.22,9.2,727,611,116,22.52,18.93
"L.A","2016-2017",41,2009.95,727,699,582,36.21,28.98,34.81,0.56,1068,940,53.19,354,98,10.57,2.93,1126,1032,94,33.61,30.81
"MIN","2016-2017",41,2040.05,610,712,595,31.82,31.04,37.14,0.51,1003,914,52.32,170,255,5,7.5,552,651,-99,16.23,19.15
"MTL","2016-2017",41,1991.6,618,714,642,31.31,32.52,36.17,0.49,1041,933,52.74,524,246,15.79,7.41,933,1260,-327,28.11,37.96
"N.J","2016-2017",41,1985.6,533,660,645,29,35.09,35.91,0.45,924,914,50.27,249,182,7.52,5.5,717,719,-2,21.67,21.73
"NSH","2016-2017",41,1966.8,656,711,643,32.64,31.99,35.37,0.51,1043,967,51.89,338,261,10.31,7.96,672,697,-25,20.5,21.26
"NYI","2016-2017",41,2007.65,598,678,597,31.93,31.87,36.2,0.5,910,963,48.59,426,274,12.73,8.19,915,741,174,27.35,22.15
"NYR","2016-2017",41,2011.75,627,714,594,32.4,30.7,36.9,0.51,949,986,49.04,451,310,13.45,9.25,815,800,15,24.31,23.86
"OTT","2016-2017",41,1981.8,651,641,607,34.28,31.96,33.75,0.52,1029,870,54.19,378,221,11.44,6.69,1026,824,202,31.06,24.95
"PHI","2016-2017",41,1960.77,605,673,545,33.19,29.9,36.92,0.53,998,825,54.74,340,177,10.4,5.42,1057,1103,-46,32.34,33.75
"PIT","2016-2017",41,1991.83,688,743,555,34.64,27.95,37.41,0.55,971,1015,48.89,204,214,6.15,6.45,1139,1307,-168,34.31,39.37
"S.J","2016-2017",40,1966.5,629,678,528,34.28,28.77,36.95,0.54,932,903,50.79,643,368,19.62,11.23,819,886,-67,24.99,27.03
"STL","2016-2017",41,1951.98,588,686,565,31.97,30.72,37.3,0.51,969,870,52.69,123,234,3.78,7.19,824,849,-25,25.33,26.1
"T.B","2016-2017",41,1934.98,610,703,593,32,31.11,36.88,0.51,935,971,49.06,251,182,7.78,5.64,833,813,20,25.83,25.21
"TOR","2016-2017",41,1970.03,640,699,620,32.67,31.65,35.68,0.51,1034,925,52.78,407,387,12.4,11.79,977,1187,-210,29.76,36.15
"VAN","2016-2017",41,2049.08,654,695,634,32.98,31.97,35.05,0.51,1032,951,52.04,271,215,7.94,6.3,698,771,-73,20.44,22.58
"WPG","2016-2017",41,1906.13,594,656,550,33,30.56,36.44,0.52,917,883,50.94,381,272,11.99,8.56,754,565,189,23.73,17.78
"WSH","2016-2017",41,1936.1,633,618,500,36.15,28.56,35.29,0.56,879,872,50.2,431,287,13.36,8.89,790,731,59,24.48,22.65
