"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",41,205.65,201.19,162.6,38.59,55.3,58.7,47.44,8.49,4.73,3.76,64.22,2.48,1.38,10.04,9.03,1.01,52.65,2.93,2.63,8,2,-6,8.52,93.16,101.69
"ARI","2016-2017",41,202.19,162.85,122.37,40.48,57.1,48.33,36.31,7.24,4.79,2.45,60.18,2.15,1.42,7.46,4.82,2.64,60.75,2.21,1.43,10,6,-4,7.91,93.69,101.6
"BOS","2016-2017",41,227.81,220.12,181.41,38.71,54.82,57.97,47.78,9.85,11.5,-1.65,46.14,2.59,3.03,9.36,7.13,2.23,56.76,2.47,1.88,6,7,1,8.08,90.29,98.37
"BUF","2016-2017",41,208.07,201.8,130.69,71.11,60.69,58.19,37.69,12.25,4.88,7.37,71.51,3.53,1.41,9.55,5.01,4.54,65.59,2.75,1.44,4,5,1,9.67,94.71,104.38
"CAR","2016-2017",41,197.69,182.57,106.27,76.3,63.21,55.41,32.25,6.35,9.51,-3.16,40.04,1.93,2.89,9.64,7.24,2.4,57.11,2.93,2.2,9,1,-8,6.54,82.43,88.97
"CBJ","2016-2017",41,189.33,150.96,119.22,31.74,55.87,47.84,37.78,8.01,4.76,3.25,62.73,2.54,1.51,8.96,8.39,0.57,51.64,2.84,2.66,6,1,-5,9.57,93.43,103
"CGY","2016-2017",41,232.2,204.64,151.38,53.26,57.48,52.88,39.12,9.61,6.49,3.12,59.69,2.48,1.68,9.47,6.83,2.64,58.1,2.45,1.76,9,5,-4,8.75,92.72,101.47
"CHI","2016-2017",41,196.92,157.62,126.91,30.71,55.4,48.03,38.67,7.77,6.94,0.83,52.82,2.37,2.11,5.81,5.79,0.02,50.09,1.77,1.76,4,2,-2,8.94,90.22,99.15
"COL","2016-2017",41,220.95,158.27,124.3,33.97,56.01,42.98,33.75,5.15,2.32,2.83,68.94,1.4,0.63,6.75,5.67,1.08,54.35,1.83,1.54,4,5,1,5.72,97.6,103.33
"DAL","2016-2017",41,219.48,204.23,187.29,16.94,52.16,55.83,51.2,8.56,9.14,-0.58,48.36,2.34,2.5,10.12,10.6,-0.48,48.84,2.77,2.9,10,5,-5,8.41,91.31,99.72
"DET","2016-2017",41,223.82,167.92,162.4,5.52,50.84,45.01,43.53,8.62,17.18,-8.56,33.41,2.31,4.61,8.76,9.86,-1.1,47.05,2.35,2.64,14,7,-7,9.66,82.83,92.5
"EDM","2016-2017",41,218.15,218.86,96.28,122.58,69.45,60.2,26.48,9.7,7.33,2.37,56.96,2.67,2.02,10.36,6.92,3.44,59.95,2.85,1.9,1,5,4,8.61,87.54,96.15
"FLA","2016-2017",41,233.58,213.96,134.02,79.94,61.49,54.96,34.43,7.87,9.59,-1.72,45.07,2.02,2.46,9.03,8.3,0.73,52.11,2.32,2.13,14,8,-6,6.26,89.47,95.74
"L.A","2016-2017",41,217.14,201.87,129.17,72.7,60.98,55.78,35.69,10.93,6.94,3.99,61.16,3.02,1.92,9.37,6.91,2.46,57.56,2.59,1.91,4,2,-2,10.12,90.12,100.24
"MIN","2016-2017",41,188.5,180.09,100.47,79.62,64.19,57.32,31.98,11.36,2.25,9.11,83.47,3.62,0.72,8.05,5.45,2.6,59.63,2.56,1.73,5,2,-3,11.8,96.47,108.27
"MTL","2016-2017",41,199.05,141.97,155.24,-13.27,47.77,42.79,46.79,7.77,9.45,-1.68,45.12,2.34,2.85,5.7,5.99,-0.29,48.76,1.72,1.81,8,1,-7,10.87,89.29,100.17
"N.J","2016-2017",41,223.23,152.73,125.08,27.65,54.98,41.05,33.62,9.85,16.75,-6.9,37.03,2.65,4.5,8.66,10.18,-1.52,45.97,2.33,2.74,10,7,-3,10.4,79.33,89.73
"NSH","2016-2017",41,207.82,169.15,81.9,87.25,67.38,48.84,23.65,9.14,4.08,5.06,69.14,2.64,1.18,8.19,4.87,3.32,62.71,2.36,1.41,9,4,-5,9.8,92.62,102.42
