"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2016-2017",41,205.65,8.52,93.16,5.59,96.06,6.61,92.49,-1.02,3.58,101.69,99.1,2.59,179,17,37,76.82,7.3,15.88,0.91,65.24
"ARI","2016-2017",41,202.19,7.91,93.69,5.49,95.49,5.66,95.46,-0.17,0.03,101.6,101.12,0.47,171,11,30,80.66,5.19,14.15,0.94,58.96
"BOS","2016-2017",41,227.81,8.08,90.29,5.82,92.13,5.53,95.12,0.29,-2.99,98.37,100.65,-2.27,203,9,52,76.89,3.41,19.7,0.96,59.85
"BUF","2016-2017",41,208.07,9.67,94.71,7.73,95.62,6.03,95.5,1.7,0.12,104.38,101.53,2.84,191,14,35,79.58,5.83,14.58,0.93,64.17
"CAR","2016-2017",41,197.69,6.54,82.43,4.61,89.06,7,91.67,-2.39,-2.61,88.97,98.67,-9.7,174,3,37,81.31,1.4,17.29,0.98,64.02
"CBJ","2016-2017",41,189.33,9.57,93.43,6.95,94.71,7.77,90.68,-0.82,4.03,103,98.45,4.55,138,9,18,83.64,5.45,10.91,0.94,52.73
"CGY","2016-2017",41,232.2,8.75,92.72,6.35,94.7,6.26,94.42,0.09,0.28,101.47,100.68,0.78,202,11,38,80.48,4.38,15.14,0.95,54.98
"CHI","2016-2017",41,196.92,8.94,90.22,7,92.56,5.23,93.79,1.77,-1.23,99.15,99.02,0.13,173,13,20,83.98,6.31,9.71,0.93,54.85
"COL","2016-2017",41,220.95,5.72,97.6,4.42,97.9,5.8,94.88,-1.37,3.03,103.33,100.67,2.65,183,18,32,78.54,7.73,13.73,0.91,63.52
"DAL","2016-2017",41,219.48,8.41,91.31,5.3,93.98,6.27,93.02,-0.97,0.96,99.72,99.29,0.43,200,16,43,77.22,6.18,16.6,0.93,53.28
"DET","2016-2017",41,223.82,9.66,82.83,6.81,85.86,6.93,91.88,-0.11,-6.03,92.5,98.81,-6.31,206,10,31,83.4,4.05,12.55,0.95,57.89
"EDM","2016-2017",41,218.15,8.61,87.54,6.32,91.16,6.75,91.66,-0.43,-0.49,96.15,98.4,-2.25,179,11,40,77.83,4.78,17.39,0.94,56.52
"FLA","2016-2017",41,233.58,6.26,89.47,4.59,91.17,5.26,92.35,-0.68,-1.19,95.74,97.62,-1.88,232,9,52,79.18,3.07,17.75,0.96,55.29
"L.A","2016-2017",41,217.14,10.12,90.12,7.09,93,6.08,93.03,1.01,-0.03,100.24,99.11,1.13,201,18,39,77.91,6.98,15.12,0.92,55.43
"MIN","2016-2017",41,188.5,11.8,96.47,8.78,97.23,6.22,93.28,2.56,3.94,108.27,99.51,8.76,173,10,31,80.84,4.67,14.49,0.95,56.07
"MTL","2016-2017",41,199.05,10.87,89.29,7.3,91.23,5.35,94.44,1.94,-3.21,100.17,99.79,0.37,149,7,43,74.87,3.52,21.61,0.96,47.74
"N.J","2016-2017",41,223.23,10.4,79.33,7.77,83.77,6.83,90.14,0.94,-6.37,89.73,96.97,-7.24,197,6,37,82.08,2.5,15.42,0.97,58.75
"NSH","2016-2017",41,207.82,9.8,92.62,7.3,94.4,6.54,93.32,0.76,1.08,102.42,99.86,2.56,166,12,29,80.19,5.8,14.01,0.93,53.62
"NYI","2016-2017",41,198.87,5.95,90.28,4.28,93.11,6.31,89.69,-2.03,3.42,96.23,96,0.23,170,14,27,80.57,6.64,12.8,0.92,58.77
"NYR","2016-2017",41,196.21,8.8,100,5.92,100,6.95,93.18,-1.03,6.82,108.8,100.13,8.67,171,16,40,75.33,7.05,17.62,0.91,52.86
"OTT","2016-2017",41,202.9,6.9,97.11,4.82,97.43,5.02,92.55,-0.2,4.87,104.02,97.58,6.44,176,11,40,77.53,4.85,17.62,0.94,55.07
"PHI","2016-2017",41,239.63,8.79,88.02,6,90.67,6.28,93.75,-0.28,-3.09,96.81,100.03,-3.23,223,9,45,80.51,3.25,16.25,0.96,56.68
"PIT","2016-2017",41,208.87,9.49,90.87,7.51,92.54,6.92,92.24,0.59,0.3,100.36,99.16,1.2,206,7,42,80.78,2.75,16.47,0.97,58.43
"S.J","2016-2017",40,209.53,7.08,94.99,5.26,95.74,5.96,93.13,-0.7,2.61,102.07,99.09,2.98,181,11,37,79.04,4.8,16.16,0.94,56.33
"STL","2016-2017",41,212.05,9.58,90.98,7.07,93.53,5.44,94.5,1.63,-0.96,100.57,99.94,0.63,173,14,45,74.57,6.03,19.4,0.93,51.72
"T.B","2016-2017",41,228.65,10.86,90.69,7.94,91.99,5.28,94.91,2.66,-2.93,101.54,100.19,1.35,213,8,45,80.08,3.01,16.92,0.96,53.76
"TOR","2016-2017",41,209.58,8.07,92.18,5.56,94.2,7.5,93.02,-1.94,1.19,100.25,100.52,-0.27,180,7,45,77.59,3.02,19.4,0.96,55.17
"VAN","2016-2017",41,202.53,6.95,94.24,4.7,95.22,5.88,94.41,-1.18,0.81,101.19,100.28,0.91,155,16,32,76.35,7.88,15.76,0.91,64.04
"WPG","2016-2017",41,249.58,6.65,90.28,4.78,92.43,6.39,94.86,-1.61,-2.44,96.93,101.25,-4.32,223,17,53,76.11,5.8,18.09,0.93,55.29
"WSH","2016-2017",41,220.1,9.01,92.95,5.79,95.74,5.34,93.26,0.45,2.47,101.96,98.61,3.35,191,20,37,77.02,8.06,14.92,0.91,56.05
