"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2016-2017",41,205.65,179,37,17,76.82,7.3,15.88,0.91,152,81,65.24,50,7,14.59,2.04,18,48,-30,5.25,14
"ARI","2016-2017",41,202.19,171,30,11,80.66,5.19,14.15,0.94,125,87,58.96,41,5,12.17,1.48,18,28,-10,5.34,8.31
"BOS","2016-2017",41,227.81,203,52,9,76.89,3.41,19.7,0.96,158,106,59.85,43,8,11.33,2.11,15,36,-21,3.95,9.48
"BUF","2016-2017",41,208.07,191,35,14,79.58,5.83,14.58,0.93,154,86,64.17,36,6,10.38,1.73,12,22,-10,3.46,6.34
"CAR","2016-2017",41,197.69,174,37,3,81.31,1.4,17.29,0.98,137,77,64.02,53,27,16.09,8.19,15,45,-30,4.55,13.66
"CBJ","2016-2017",41,189.33,138,18,9,83.64,5.45,10.91,0.94,87,78,52.73,19,6,6.02,1.9,14,14,0,4.44,4.44
"CGY","2016-2017",41,232.2,202,38,11,80.48,4.38,15.14,0.95,138,113,54.98,57,14,14.73,3.62,12,22,-10,3.1,5.68
"CHI","2016-2017",41,196.92,173,20,13,83.98,6.31,9.71,0.93,113,93,54.85,21,12,6.4,3.66,14,40,-26,4.27,12.19
"COL","2016-2017",41,220.95,183,32,18,78.54,7.73,13.73,0.91,148,85,63.52,32,8,8.69,2.17,14,29,-15,3.8,7.88
"DAL","2016-2017",41,219.48,200,43,16,77.22,6.18,16.6,0.93,138,121,53.28,40,8,10.93,2.19,11,22,-11,3.01,6.01
"DET","2016-2017",41,223.82,206,31,10,83.4,4.05,12.55,0.95,143,104,57.89,51,8,13.67,2.14,14,37,-23,3.75,9.92
"EDM","2016-2017",41,218.15,179,40,11,77.83,4.78,17.39,0.94,130,100,56.52,50,17,13.75,4.68,22,37,-15,6.05,10.18
"FLA","2016-2017",41,233.58,232,52,9,79.18,3.07,17.75,0.96,162,131,55.29,49,5,12.59,1.28,13,40,-27,3.34,10.27
"L.A","2016-2017",41,217.14,201,39,18,77.91,6.98,15.12,0.92,143,115,55.43,36,2,9.95,0.55,19,39,-20,5.25,10.78
"MIN","2016-2017",41,188.5,173,31,10,80.84,4.67,14.49,0.95,120,94,56.07,23,11,7.32,3.5,12,29,-17,3.82,9.23
"MTL","2016-2017",41,199.05,149,43,7,74.87,3.52,21.61,0.96,95,104,47.74,14,12,4.22,3.62,20,49,-29,6.03,14.77
"N.J","2016-2017",41,223.23,197,37,6,82.08,2.5,15.42,0.97,141,99,58.75,39,6,10.48,1.61,22,43,-21,5.91,11.56
"NSH","2016-2017",41,207.82,166,29,12,80.19,5.8,14.01,0.93,111,96,53.62,61,12,17.61,3.46,8,35,-27,2.31,10.1
"NYI","2016-2017",41,198.87,170,27,14,80.57,6.64,12.8,0.92,124,87,58.77,49,10,14.78,3.02,9,33,-24,2.72,9.96
"NYR","2016-2017",41,196.21,171,40,16,75.33,7.05,17.62,0.91,120,107,52.86,67,11,20.49,3.36,11,20,-9,3.36,6.12
"OTT","2016-2017",41,202.9,176,40,11,77.53,4.85,17.62,0.94,125,102,55.07,55,9,16.26,2.66,10,30,-20,2.96,8.87
"PHI","2016-2017",41,239.63,223,45,9,80.51,3.25,16.25,0.96,157,120,56.68,46,10,11.52,2.5,29,51,-22,7.26,12.77
"PIT","2016-2017",41,208.87,206,42,7,80.78,2.75,16.47,0.97,149,106,58.43,34,6,9.77,1.72,21,41,-20,6.03,11.78
"S.J","2016-2017",40,209.53,181,37,11,79.04,4.8,16.16,0.94,129,100,56.33,74,21,21.19,6.01,7,34,-27,2,9.74
"STL","2016-2017",41,212.05,173,45,14,74.57,6.03,19.4,0.93,120,112,51.72,10,9,2.83,2.55,13,34,-21,3.68,9.62
"T.B","2016-2017",41,228.65,213,45,8,80.08,3.01,16.92,0.96,143,123,53.76,56,9,14.69,2.36,20,38,-18,5.25,9.97
"TOR","2016-2017",41,209.58,180,45,7,77.59,3.02,19.4,0.96,128,104,55.17,51,6,14.6,1.72,14,50,-36,4.01,14.31
"VAN","2016-2017",41,202.53,155,32,16,76.35,7.88,15.76,0.91,130,73,64.04,26,1,7.7,0.3,11,29,-18,3.26,8.59
"WPG","2016-2017",41,249.58,223,53,17,76.11,5.8,18.09,0.93,162,131,55.29,41,16,9.86,3.85,17,26,-9,4.09,6.25
"WSH","2016-2017",41,220.1,191,37,20,77.02,8.06,14.92,0.91,139,109,56.05,39,31,10.63,8.45,17,21,-4,4.63,5.72
