"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2016-2017",41,205.65,385,51,334,88.3,112.33,14.88,23,2,21,92,6.71,0.58,28.45,3.82,24.63,88.16,8.3,1.11,8,2,-6,12.3,91.67,103.97
"ARI","2016-2017",41,202.19,312,38,274,89.14,92.59,11.28,21,2,19,91.3,6.23,0.59,20.68,2.1,18.58,90.78,6.14,0.62,10,6,-4,12.43,92.59,105.02
"BOS","2016-2017",41,227.81,420,56,364,88.24,110.62,14.75,29,5,24,85.29,7.64,1.32,26.39,3.07,23.32,89.58,6.95,0.81,6,7,1,12.95,87.8,100.75
"BUF","2016-2017",41,208.07,396,39,357,91.03,114.19,11.25,35,2,33,94.59,10.09,0.58,26.99,2.04,24.95,92.97,7.78,0.59,4,5,1,14.58,93.55,108.13
"CAR","2016-2017",41,197.69,352,33,319,91.43,106.83,10.02,18,4,14,81.82,5.46,1.21,26.81,2.99,23.82,89.97,8.14,0.91,9,1,-8,9.84,78.95,88.78
"CBJ","2016-2017",41,189.33,271,39,232,87.42,85.88,12.36,22,2,20,91.67,6.97,0.63,24.22,3.68,20.54,86.81,7.68,1.17,6,1,-5,14.97,92.59,107.56
"CGY","2016-2017",41,232.2,396,47,349,89.39,102.33,12.14,28,3,25,90.32,7.24,0.78,27.21,2.97,24.24,90.16,7.03,0.77,9,5,-4,13.53,90.32,103.85
"CHI","2016-2017",41,196.92,304,41,263,88.12,92.63,12.49,21,3,18,87.5,6.4,0.91,16.43,2.39,14.04,87.3,5.01,0.73,4,2,-2,12.88,88.46,101.34
"COL","2016-2017",41,220.95,312,37,275,89.4,84.73,10.05,15,1,14,93.75,4.07,0.27,19.16,2.36,16.8,89.03,5.2,0.64,4,5,1,8.72,96.97,105.69
"DAL","2016-2017",41,219.48,392,58,334,87.11,107.16,15.86,24,4,20,85.71,6.56,1.09,27.82,4.58,23.24,85.86,7.61,1.25,10,5,-5,12.63,89.19,101.82
