"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2016-2017",41,205.65,12.3,91.67,7.96,95,9.84,90.45,-1.89,4.55,103.97,100.29,3.67,179,17,37,76.82,7.3,15.88,0.91,65.24
"ARI","2016-2017",41,202.19,12.43,92.59,8.43,94.44,8.31,94.17,0.13,0.28,105.02,102.47,2.55,171,11,30,80.66,5.19,14.15,0.94,58.96
"BOS","2016-2017",41,227.81,12.95,87.8,9.06,89.8,8.25,93.73,0.82,-3.94,100.75,101.98,-1.23,203,9,52,76.89,3.41,19.7,0.96,59.85
"BUF","2016-2017",41,208.07,14.58,93.55,11.4,94.44,8.79,94.33,2.61,0.11,108.13,103.12,5.01,191,14,35,79.58,5.83,14.58,0.93,64.17
"CAR","2016-2017",41,197.69,9.84,78.95,6.82,86.21,10.16,89.69,-3.34,-3.48,88.78,99.84,-11.06,174,3,37,81.31,1.4,17.29,0.98,64.02
"CBJ","2016-2017",41,189.33,14.97,92.59,10.58,93.75,11.64,88.5,-1.07,5.25,107.56,100.14,7.41,138,9,18,83.64,5.45,10.91,0.94,52.73
"CGY","2016-2017",41,232.2,13.53,90.32,9.62,92.68,9.35,92.76,0.27,-0.07,103.85,102.11,1.74,202,11,38,80.48,4.38,15.14,0.95,54.98
"CHI","2016-2017",41,196.92,12.88,88.46,9.86,90.91,7.71,92.76,2.15,-1.85,101.34,100.47,0.87,173,13,20,83.98,6.31,9.71,0.93,54.85
"COL","2016-2017",41,220.95,8.72,96.97,6.64,97.22,8.48,93.44,-1.84,3.78,105.69,101.92,3.77,183,18,32,78.54,7.73,13.73,0.91,63.52
"DAL","2016-2017",41,219.48,12.63,89.19,7.77,92.16,9,91.02,-1.24,1.14,101.82,100.02,1.8,200,16,43,77.22,6.18,16.6,0.93,53.28
"DET","2016-2017",41,223.82,14.46,80,9.88,82.93,10.14,89.9,-0.26,-6.98,94.46,100.04,-5.58,206,10,31,83.4,4.05,12.55,0.95,57.89
"EDM","2016-2017",41,218.15,13.59,85.71,9.72,89.29,10.06,89.79,-0.34,-0.5,99.31,99.84,-0.54,179,11,40,77.83,4.78,17.39,0.94,56.52
"FLA","2016-2017",41,233.58,9.24,87.1,6.63,88.57,7.8,90.06,-1.17,-1.49,96.34,97.86,-1.51,232,9,52,79.18,3.07,17.75,0.96,55.29
"L.A","2016-2017",41,217.14,14.49,87.5,9.9,90.91,8.79,91.27,1.11,-0.36,101.99,100.06,1.93,201,18,39,77.91,6.98,15.12,0.92,55.43
"MIN","2016-2017",41,188.5,17.51,95.65,12.97,96.43,9.06,91.86,3.91,4.57,113.17,100.92,12.25,173,10,31,80.84,4.67,14.49,0.95,56.07
"MTL","2016-2017",41,199.05,16.67,87.1,11.06,88.89,7.91,93.14,3.14,-4.25,103.76,101.05,2.71,149,7,43,74.87,3.52,21.61,0.96,47.74
"N.J","2016-2017",41,223.23,14.61,75,10.7,79.41,9.79,87.47,0.91,-8.06,89.61,97.26,-7.65,197,6,37,82.08,2.5,15.42,0.97,58.75
"NSH","2016-2017",41,207.82,15.79,90.48,11.59,92.31,9.72,91.73,1.87,0.58,106.27,101.45,4.81,166,12,29,80.19,5.8,14.01,0.93,53.62
"NYI","2016-2017",41,198.87,8.72,88,6.12,90.91,9.49,86.27,-3.37,4.64,96.72,95.76,0.96,170,14,27,80.57,6.64,12.8,0.92,58.77
"NYR","2016-2017",41,196.21,12.99,100,8.62,100,10.11,91.65,-1.49,8.35,112.99,101.76,11.23,171,16,40,75.33,7.05,17.62,0.91,52.86
"OTT","2016-2017",41,202.9,10.43,96.77,7.17,96.97,7.47,90.48,-0.3,6.48,107.2,97.95,9.25,176,11,40,77.53,4.85,17.62,0.94,55.07
"PHI","2016-2017",41,239.63,12.97,84.85,8.76,87.5,9.24,91.88,-0.48,-4.38,97.82,101.11,-3.29,223,9,45,80.51,3.25,16.25,0.96,56.68
"PIT","2016-2017",41,208.87,14.71,88.89,11.4,90.48,10.21,90.14,1.19,0.33,103.59,100.35,3.24,206,7,42,80.78,2.75,16.47,0.97,58.43
"S.J","2016-2017",40,209.53,11.06,93.55,8.06,94.29,9.12,91.4,-1.06,2.89,104.6,100.52,4.09,181,11,37,79.04,4.8,16.16,0.94,56.33
"STL","2016-2017",41,212.05,14.2,89.29,10.26,91.89,7.82,93.14,2.43,-1.24,103.49,100.96,2.53,173,14,45,74.57,6.03,19.4,0.93,51.72
"T.B","2016-2017",41,228.65,16.02,88,11.38,89.29,7.62,93.61,3.76,-4.32,104.02,101.23,2.79,213,8,45,80.08,3.01,16.92,0.96,53.76
"TOR","2016-2017",41,209.58,13.02,90.48,8.77,92.59,11.11,91.31,-2.33,1.28,103.5,102.42,1.08,180,7,45,77.59,3.02,19.4,0.96,55.17
"VAN","2016-2017",41,202.53,10,92.86,6.76,93.75,8.5,93.09,-1.74,0.66,102.86,101.59,1.26,155,16,32,76.35,7.88,15.76,0.91,64.04
"WPG","2016-2017",41,249.58,10.31,88.1,7.14,90.38,9.27,93.71,-2.12,-3.33,98.41,102.98,-4.57,223,17,53,76.11,5.8,18.09,0.93,55.29
"WSH","2016-2017",41,220.1,14.58,91.67,9.15,94.74,8.05,91.92,1.1,2.82,106.25,99.97,6.28,191,20,37,77.02,8.06,14.92,0.91,56.05
