"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2013-2014",41,2001.36,11.09,91,8.25,93.76,6.16,93.91,2.09,-0.15,102.09,100.07,2.02,652,666,759,31.39,32.07,36.54,0.49,47.38
"ARI","2013-2014",41,2011.07,7.57,92.08,5.56,94.13,5.39,93.45,0.17,0.67,99.65,98.85,0.8,600,612,736,30.8,31.42,37.78,0.5,51.54
"BOS","2013-2014",41,2057.23,8.76,92.32,6.42,94.3,5.48,94.16,0.94,0.14,101.08,99.64,1.45,684,606,728,33.89,30.03,36.08,0.53,48.71
"BUF","2013-2014",41,1985.67,5.13,92.32,3.82,94.39,5.78,93.68,-1.96,0.72,97.45,99.45,-2,522,715,639,27.83,38.11,34.06,0.42,45.04
"CAR","2013-2014",41,2042.47,7.34,91.83,5.43,93.96,5.44,94.14,0,-0.17,99.17,99.57,-0.4,654,659,705,32.41,32.66,34.94,0.5,49.8
"CBJ","2013-2014",41,2009.74,7.88,92.56,5.74,94.5,5.81,94.31,-0.06,0.18,100.44,100.12,0.32,560,639,682,29.77,33.97,36.26,0.47,51.25
"CGY","2013-2014",41,2045.86,8.39,91.54,5.95,93.95,5.55,93.97,0.39,-0.02,99.93,99.52,0.42,592,637,722,30.34,32.65,37.01,0.48,44.49
"CHI","2013-2014",41,2048.88,8.65,89.79,6.36,92.49,5.69,93.75,0.67,-1.25,98.45,99.44,-0.99,630,542,712,33.44,28.77,37.79,0.54,49.2
"COL","2013-2014",41,2053.9,9.35,92.14,6.85,94.5,5.85,93.9,1.01,0.6,101.49,99.75,1.75,612,673,693,30.94,34.02,35.04,0.48,48.79
"DAL","2013-2014",41,2024.9,8.25,91.13,6.05,93.43,5.77,93.99,0.28,-0.56,99.38,99.76,-0.38,660,665,760,31.65,31.89,36.45,0.5,47.63
"DET","2013-2014",41,1971.45,8.58,91.92,6.26,93.98,5.46,93.92,0.8,0.06,100.5,99.37,1.13,610,544,697,32.96,29.39,37.66,0.53,48.51
"EDM","2013-2014",41,1994.5,9.11,91.01,6.76,93.5,6.01,94.04,0.75,-0.54,100.12,100.05,0.08,515,627,698,27.99,34.08,37.93,0.45,47.55
"FLA","2013-2014",41,1975.05,8.67,90.5,6.16,92.96,5.87,93.64,0.29,-0.68,99.17,99.5,-0.34,573,618,714,30.08,32.44,37.48,0.48,46.14
"L.A","2013-2014",41,1998.72,6.87,93.78,4.88,95.36,5.66,94.2,-0.77,1.16,100.65,99.86,0.79,624,590,647,33.53,31.7,34.77,0.51,52.39
"MIN","2013-2014",41,2022.17,6.91,92.98,4.98,94.99,5.34,94.26,-0.36,0.73,99.89,99.6,0.29,561,603,661,30.74,33.04,36.22,0.48,48.16
"MTL","2013-2014",41,1983.77,8.5,91.2,6.08,93.75,5.82,94.15,0.26,-0.39,99.7,99.97,-0.27,573,660,761,28.74,33.1,38.16,0.46,47.89
"N.J","2013-2014",41,2045.85,6.69,90.45,4.71,92.9,6.19,94.24,-1.48,-1.34,97.14,100.43,-3.29,631,523,729,33.51,27.77,38.71,0.55,45.83
"NSH","2013-2014",41,2056.45,8.55,90.5,6.26,93.13,5.59,94.69,0.68,-1.56,99.05,100.27,-1.22,607,691,695,30.46,34.67,34.87,0.47,52.13
"NYI","2013-2014",41,2034.32,8.21,91.2,6.04,93.69,5.77,94.21,0.27,-0.52,99.41,99.98,-0.57,607,622,711,31.29,32.06,36.65,0.49,45.88
"NYR","2013-2014",41,1993.77,7.11,91.86,5.2,94.1,5.7,94.2,-0.5,-0.1,98.96,99.9,-0.94,614,590,703,32.2,30.94,36.86,0.51,46.83
"OTT","2013-2014",41,2003.2,7.62,93.07,5.38,94.74,5.02,94.05,0.36,0.7,100.69,99.07,1.62,642,671,742,31.24,32.65,36.11,0.49,49.15
"PHI","2013-2014",41,1972.35,7.74,91.22,5.55,93.52,5.43,94.61,0.12,-1.09,98.96,100.03,-1.07,619,603,743,31.5,30.69,37.81,0.51,47.53
"PIT","2013-2014",41,1999.47,8.08,90.41,5.78,93.33,5.55,94.49,0.23,-1.16,98.49,100.04,-1.55,550,557,734,29.88,30.26,39.87,0.5,48.13
"S.J","2013-2014",41,2091.7,7.04,91.39,5.11,93.75,5.59,94.66,-0.48,-0.92,98.43,100.25,-1.82,675,681,749,32.07,32.35,35.58,0.5,50.5
"STL","2013-2014",41,2017.89,7.46,91.96,5.28,94.2,5.73,94.1,-0.45,0.1,99.41,99.82,-0.41,656,597,681,33.92,30.87,35.21,0.52,50.21
"T.B","2013-2014",41,2017.95,7.89,92.48,5.76,94.66,5.7,93.77,0.06,0.88,100.38,99.48,0.9,621,596,674,32.84,31.52,35.64,0.51,47.44
"TOR","2013-2014",41,1974.74,7.78,93.32,5.94,95.14,5.88,94.09,0.06,1.05,101.1,99.97,1.13,555,820,736,26.29,38.84,34.86,0.4,46.19
"VAN","2013-2014",41,2023.98,7.41,90.62,5.24,93.25,5.59,94.02,-0.35,-0.76,98.03,99.61,-1.58,589,635,710,30.46,32.83,36.71,0.48,50.62
"WPG","2013-2014",41,2050.11,8.01,91.69,5.74,93.97,5.38,94.37,0.36,-0.4,99.7,99.75,-0.06,580,593,729,30.49,31.18,38.33,0.49,44.37
"WSH","2013-2014",41,2032.57,7.98,91.24,5.83,93.59,5.78,94.19,0.05,-0.6,99.22,99.97,-0.76,572,594,704,30.59,31.76,37.65,0.49,44.33
