"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2014-2015",41,2032.89,655,733,638,32.33,31.49,36.18,0.51,1027,999,50.69,261,225,7.7,6.64,1037,1071,-34,30.61,31.61
"ARI","2014-2015",41,2040.58,639,802,651,30.54,31.12,38.34,0.5,1061,1031,50.72,246,191,7.23,5.62,962,983,-21,28.29,28.9
"BOS","2014-2015",41,2050.66,592,691,638,30.82,33.21,35.97,0.48,969,952,50.44,228,176,6.67,5.15,1022,1120,-98,29.9,32.77
"BUF","2014-2015",41,2063.97,487,671,762,25.36,39.69,34.95,0.39,851,1069,44.32,266,193,7.73,5.61,1131,918,213,32.88,26.69
"CAR","2014-2015",41,2047.95,609,725,597,31.54,30.92,37.55,0.5,990,941,51.27,219,216,6.42,6.33,753,860,-107,22.06,25.2
"CBJ","2014-2015",41,1988.65,613,680,689,30.93,34.76,34.31,0.47,933,1049,47.07,214,190,6.46,5.73,1082,923,159,32.65,27.85
"CGY","2014-2015",41,2087.71,616,731,757,29.28,35.98,34.74,0.45,932,1172,44.3,258,169,7.41,4.86,925,865,60,26.58,24.86
"CHI","2014-2015",41,2027.22,682,695,597,34.55,30.24,35.21,0.53,994,980,50.35,254,234,7.52,6.93,587,1036,-449,17.37,30.66
"COL","2014-2015",41,2063.1,599,671,724,30.04,36.31,33.65,0.45,981,1013,49.2,264,179,7.68,5.21,952,857,95,27.69,24.92
"DAL","2014-2015",41,2022.83,664,803,647,31.41,30.61,37.98,0.51,1065,1049,50.38,249,204,7.39,6.05,706,883,-177,20.94,26.19
"DET","2014-2015",41,1982.07,650,706,567,33.8,29.49,36.71,0.53,997,926,51.85,221,196,6.69,5.93,722,917,-195,21.86,27.76
"EDM","2014-2015",41,2114.95,660,779,663,31.4,31.54,37.06,0.5,966,1136,45.96,266,221,7.55,6.27,900,1038,-138,25.53,29.45
"FLA","2014-2015",41,2054.61,647,753,678,31.14,32.63,36.24,0.49,953,1125,45.86,247,225,7.21,6.57,923,956,-33,26.95,27.92
"L.A","2014-2015",41,2080.81,711,713,600,35.13,29.64,35.23,0.54,1009,1015,49.85,212,184,6.11,5.31,1188,1078,110,34.26,31.08
"MIN","2014-2015",41,2062.95,655,702,657,32.52,32.62,34.86,0.5,926,1088,45.98,221,219,6.43,6.37,728,924,-196,21.17,26.87
"MTL","2014-2015",41,2039.98,645,730,745,30.42,35.14,34.43,0.46,1046,1074,49.34,232,202,6.82,5.94,767,1057,-290,22.56,31.09
"N.J","2014-2015",41,2011.54,530,685,621,28.87,33.82,37.31,0.46,828,1008,45.1,254,184,7.58,5.49,857,914,-57,25.56,27.26
"NSH","2014-2015",41,2013.63,663,693,680,32.56,33.4,34.04,0.49,954,1082,46.86,195,200,5.81,5.96,881,918,-37,26.25,27.35
"NYI","2014-2015",41,2063.47,664,721,578,33.83,29.44,36.73,0.53,927,1036,47.22,239,187,6.95,5.44,1167,984,183,33.93,28.61
"NYR","2014-2015",41,2056.76,619,726,642,31.15,32.31,36.54,0.49,896,1091,45.09,270,226,7.88,6.59,913,991,-78,26.63,28.91
"OTT","2014-2015",41,2035.89,621,682,666,31.54,33.82,34.64,0.48,910,1059,46.22,248,233,7.31,6.87,963,996,-33,28.38,29.35
"PHI","2014-2015",41,2024.86,702,683,588,35.58,29.8,34.62,0.54,976,997,49.47,231,189,6.84,5.6,1022,1087,-65,30.28,32.21
"PIT","2014-2015",41,2031.55,684,717,542,35.2,27.9,36.9,0.56,923,1020,47.5,246,220,7.27,6.5,1049,1087,-38,30.98,32.1
"S.J","2014-2015",41,2021.16,644,705,736,30.89,35.3,33.81,0.47,1035,1050,49.64,213,174,6.32,5.17,765,979,-214,22.71,29.06
"STL","2014-2015",41,2057.49,660,715,693,31.91,33.51,34.57,0.49,1070,998,51.74,212,217,6.18,6.33,923,1086,-163,26.92,31.67
"T.B","2014-2015",41,1997.64,583,738,520,31.67,28.25,40.09,0.53,881,960,47.85,251,209,7.54,6.28,824,925,-101,24.75,27.78
"TOR","2014-2015",41,2013.67,610,699,711,30.2,35.2,34.6,0.46,972,1048,48.12,218,173,6.5,5.15,1039,954,85,30.96,28.43
"VAN","2014-2015",41,1972.42,602,709,635,30.94,32.63,36.43,0.49,895,1051,45.99,281,190,8.55,5.78,806,936,-130,24.52,28.47
"WPG","2014-2015",41,1951.52,637,667,608,33.32,31.8,34.88,0.51,869,1043,45.45,204,214,6.27,6.58,1094,964,130,33.64,29.64
"WSH","2014-2015",41,2020.64,604,716,547,32.35,29.3,38.35,0.52,920,947,49.28,223,213,6.62,6.32,1107,1107,0,32.87,32.87
