"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2014-2015",41,2032.89,1812,1799,13,50.18,53.48,53.1,86,73,13,54.09,2.54,2.15,74.68,72.29,2.39,50.81,2.2,2.13,146,130,-16,9.01,92.24,101.25
"ARI","2014-2015",41,2040.58,1806,1969,-163,47.84,53.1,57.9,58,100,-42,36.71,1.71,2.94,68.08,88.11,-20.03,43.59,2,2.59,141,129,-12,6.17,90.67,96.84
"BOS","2014-2015",41,2050.66,1853,1886,-33,49.56,54.22,55.18,78,81,-3,49.06,2.28,2.37,69.09,73.01,-3.92,48.62,2.02,2.14,145,122,-23,8.19,91.91,100.1
"BUF","2014-2015",41,2063.97,1368,2363,-995,36.67,39.77,68.69,54,95,-41,36.24,1.57,2.76,58.25,96.45,-38.2,37.65,1.69,2.8,133,117,-16,7.01,92.26,99.28
"CAR","2014-2015",41,2047.95,1772,1824,-52,49.28,51.92,53.44,67,107,-40,38.51,1.96,3.13,68.05,79.93,-11.88,45.99,1.99,2.34,95,123,28,6.66,89.14,95.8
"CBJ","2014-2015",41,1988.65,1657,1995,-338,45.37,49.99,60.19,76,80,-4,48.72,2.29,2.41,69.49,84.96,-15.47,44.99,2.1,2.56,170,128,-42,8.37,92.71,101.08
"CGY","2014-2015",41,2087.71,1732,2283,-551,43.14,49.78,65.61,77,77,0,50,2.21,2.21,68.95,88.87,-19.92,43.69,1.98,2.55,112,123,11,8.61,93.04,101.66
"CHI","2014-2015",41,2027.22,1869,1774,95,51.3,55.32,52.51,73,66,7,52.52,2.16,1.95,75.34,81.36,-6.02,48.08,2.23,2.41,114,121,7,7.37,93.17,100.53
"COL","2014-2015",41,2063.1,1539,2214,-675,41.01,44.76,64.39,61,86,-25,41.5,1.77,2.5,65.58,97,-31.42,40.34,1.91,2.82,111,117,6,7,92.59,99.59
"DAL","2014-2015",41,2022.83,1930,1871,59,50.78,57.25,55.5,86,95,-9,47.51,2.55,2.82,77.78,78.22,-0.44,49.86,2.31,2.32,133,130,-3,8.45,90.65,99.1
"DET","2014-2015",41,1982.07,1826,1618,208,53.02,55.28,48.98,72,66,6,52.17,2.18,2,68.41,66.45,1.96,50.73,2.07,2.01,135,136,1,7.73,92.68,100.42
"EDM","2014-2015",41,2114.95,1870,2018,-148,48.1,53.05,57.25,69,120,-51,36.51,1.96,3.4,75.02,89.5,-14.48,45.6,2.13,2.54,125,119,-6,6.85,88.65,95.49
