"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2014-2015",41,2032.89,9.01,92.24,6.36,94.38,5.52,94.44,0.84,-0.05,101.25,99.96,1.28,655,638,733,32.33,31.49,36.18,0.51,50.69
"ARI","2014-2015",41,2040.58,6.17,90.67,4.48,93.3,5.26,94.09,-0.78,-0.8,96.84,99.36,-2.51,639,651,802,30.54,31.12,38.34,0.5,50.72
"BOS","2014-2015",41,2050.66,8.19,91.91,5.83,94.31,5.16,94.87,0.67,-0.56,100.1,100.03,0.07,592,638,691,30.82,33.21,35.97,0.48,50.44
"BUF","2014-2015",41,2063.97,7.01,92.26,5.16,94.51,5.57,94.42,-0.41,0.08,99.28,99.99,-0.72,487,762,671,25.36,39.69,34.95,0.39,44.32
"CAR","2014-2015",41,2047.95,6.66,89.14,4.98,92.17,5.06,94.15,-0.08,-1.98,95.8,99.21,-3.41,609,597,725,31.54,30.92,37.55,0.5,51.27
"CBJ","2014-2015",41,1988.65,8.37,92.71,6.11,94.69,5.59,94.36,0.52,0.33,101.08,99.95,1.13,613,689,680,30.93,34.76,34.31,0.47,47.07
"CGY","2014-2015",41,2087.71,8.61,93.04,6.2,95.15,5.55,94.4,0.65,0.75,101.66,99.95,1.71,616,757,731,29.28,35.98,34.74,0.45,44.3
"CHI","2014-2015",41,2027.22,7.37,93.17,5.31,95.08,5.48,93.94,-0.17,1.14,100.53,99.41,1.12,682,597,695,34.55,30.24,35.21,0.53,50.35
"COL","2014-2015",41,2063.1,7,92.59,5.32,94.8,5.72,94.14,-0.4,0.66,99.59,99.86,-0.27,599,724,671,30.04,36.31,33.65,0.45,49.2
"DAL","2014-2015",41,2022.83,8.45,90.65,6.07,93.19,5.49,94.39,0.58,-1.2,99.1,99.89,-0.79,664,647,803,31.41,30.61,37.98,0.51,50.38
"DET","2014-2015",41,1982.07,7.73,92.68,5.46,94.63,5.19,94.59,0.27,0.04,100.42,99.78,0.64,650,567,706,33.8,29.49,36.71,0.53,51.85
"EDM","2014-2015",41,2114.95,6.85,88.65,4.99,92.09,5.42,94.1,-0.44,-2.01,95.49,99.52,-4.03,660,663,779,31.4,31.54,37.06,0.5,45.96
"FLA","2014-2015",41,2054.61,6.52,92.93,4.78,94.94,5.36,94.79,-0.58,0.15,99.45,100.14,-0.69,647,678,753,31.14,32.63,36.24,0.49,45.86
"L.A","2014-2015",41,2080.81,7.31,91.66,5.38,93.94,5.18,94.73,0.2,-0.79,98.97,99.91,-0.93,711,600,713,35.13,29.64,35.23,0.54,49.85
"MIN","2014-2015",41,2062.95,8.12,92.89,6,94.79,5.82,94.98,0.19,-0.19,101.02,100.8,0.22,655,657,702,32.52,32.62,34.86,0.5,45.98
"MTL","2014-2015",41,2039.98,7.37,93.46,5.28,95.3,5.4,94.48,-0.12,0.82,100.83,99.89,0.94,645,745,730,30.42,35.14,34.43,0.46,49.34
"N.J","2014-2015",41,2011.54,7.01,92.21,4.95,94.26,5.47,94.49,-0.52,-0.24,99.22,99.97,-0.75,530,621,685,28.87,33.82,37.31,0.46,45.1
"NSH","2014-2015",41,2013.63,8.05,93.19,5.75,95.26,5.3,94.91,0.46,0.35,101.23,100.21,1.02,663,680,693,32.56,33.4,34.04,0.49,46.86
"NYI","2014-2015",41,2063.47,7.81,91.04,5.45,93.8,5.59,94.38,-0.14,-0.58,98.85,99.97,-1.12,664,578,721,33.83,29.44,36.73,0.53,47.22
"NYR","2014-2015",41,2056.76,9.06,93.28,6.73,95.22,5.76,94.14,0.96,1.08,102.34,99.9,2.43,619,642,726,31.15,32.31,36.54,0.49,45.09
"OTT","2014-2015",41,2035.89,7,93.8,5.03,95.45,5.24,94.7,-0.21,0.75,100.8,99.94,0.86,621,666,682,31.54,33.82,34.64,0.48,46.22
"PHI","2014-2015",41,2024.86,7.08,91.4,5.13,93.8,5.15,94.46,-0.02,-0.65,98.48,99.6,-1.12,702,588,683,35.58,29.8,34.62,0.54,49.47
"PIT","2014-2015",41,2031.55,6.91,91.97,4.98,94.08,5.46,94.36,-0.48,-0.27,98.88,99.81,-0.94,684,542,717,35.2,27.9,36.9,0.56,47.5
"S.J","2014-2015",41,2021.16,7.07,92.3,5.05,94.46,5.48,94.62,-0.44,-0.16,99.37,100.1,-0.73,644,736,705,30.89,35.3,33.81,0.47,49.64
"STL","2014-2015",41,2057.49,7.38,92.45,5.41,94.5,5.34,94.17,0.07,0.32,99.83,99.51,0.32,660,693,715,31.91,33.51,34.57,0.49,51.74
"T.B","2014-2015",41,1997.64,8.7,90.19,6.27,93.19,6.08,94.33,0.19,-1.14,98.89,100.41,-1.52,583,520,738,31.67,28.25,40.09,0.53,47.85
"TOR","2014-2015",41,2013.67,5.96,91.9,4.4,93.95,5.19,94.02,-0.79,-0.07,97.87,99.2,-1.34,610,711,699,30.2,35.2,34.6,0.46,48.12
"VAN","2014-2015",41,1972.42,8.49,91.72,6.16,94.1,5.27,94.34,0.89,-0.23,100.21,99.61,0.6,602,635,709,30.94,32.63,36.43,0.49,45.99
"WPG","2014-2015",41,1951.52,6.58,93.03,4.65,95.01,5.28,94.77,-0.62,0.24,99.61,100.04,-0.43,637,608,667,33.32,31.8,34.88,0.51,45.45
"WSH","2014-2015",41,2020.64,8.38,92.23,5.99,94.48,5.45,94.69,0.54,-0.21,100.61,100.14,0.47,604,547,716,32.35,29.3,38.35,0.52,49.28
