"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2015-2016",41,1999.64,579,689,614,30.77,32.62,36.61,0.49,927,955,49.26,238,173,7.14,5.19,1005,957,48,30.16,28.72
"ARI","2015-2016",41,1948,601,697,681,30.37,34.41,35.22,0.47,1067,912,53.92,217,195,6.68,6.01,755,840,-85,23.25,25.87
"BOS","2015-2016",41,2011.94,655,702,661,32.46,32.76,34.79,0.5,1009,1009,50,242,186,7.22,5.55,1029,931,98,30.69,27.76
"BUF","2015-2016",41,2053,574,685,681,29.59,35.1,35.31,0.46,943,997,48.61,207,193,6.05,5.64,1001,967,34,29.25,28.26
"CAR","2015-2016",41,2079.46,584,699,588,31.21,31.43,37.36,0.5,993,878,53.07,256,216,7.39,6.23,626,774,-148,18.06,22.33
"CBJ","2015-2016",41,1984.95,574,713,665,29.41,34.07,36.53,0.46,915,1037,46.88,236,202,7.13,6.11,1053,833,220,31.83,25.18
"CGY","2015-2016",41,2003.2,570,710,631,29.83,33.02,37.15,0.47,924,987,48.35,268,193,8.03,5.78,937,716,221,28.07,21.45
"CHI","2015-2016",41,2046.82,599,706,615,31.2,32.03,36.77,0.49,934,986,48.65,277,201,8.12,5.89,487,932,-445,14.28,27.32
"COL","2015-2016",41,1961.47,507,670,609,28.39,34.1,37.51,0.45,870,916,48.71,238,164,7.28,5.02,891,850,41,27.26,26
"DAL","2015-2016",41,2023.02,625,780,660,30.27,31.96,37.77,0.49,1008,1057,48.81,260,212,7.71,6.29,671,978,-307,19.9,29.01
"DET","2015-2016",41,2027.07,612,666,587,32.82,31.47,35.71,0.51,911,954,48.85,238,195,7.04,5.77,688,767,-79,20.36,22.7
"EDM","2015-2016",41,2068.74,586,724,701,29.14,34.86,36,0.46,935,1076,46.49,234,189,6.79,5.48,850,969,-119,24.65,28.1
"FLA","2015-2016",41,2009.53,594,713,684,29.83,34.35,35.81,0.46,984,1007,49.42,231,184,6.9,5.49,800,848,-48,23.89,25.32
"L.A","2015-2016",41,2041.54,712,704,589,35.51,29.38,35.11,0.55,977,1028,48.73,237,180,6.97,5.29,1165,1032,133,34.24,30.33
"MIN","2015-2016",41,2014.18,614,713,638,31.25,32.47,36.28,0.49,1035,930,52.67,248,168,7.39,5,717,888,-171,21.36,26.45
"MTL","2015-2016",40,1978.91,601,733,699,29.56,34.38,36.06,0.46,1013,1020,49.83,239,198,7.25,6,770,994,-224,23.35,30.14
"N.J","2015-2016",41,1992.61,504,660,645,27.86,35.66,36.48,0.44,802,1007,44.33,206,184,6.2,5.54,903,1043,-140,27.19,31.41
"NSH","2015-2016",41,2021.11,621,691,612,32.28,31.81,35.91,0.5,949,975,49.32,205,188,6.09,5.58,1018,874,144,30.22,25.95
"NYI","2015-2016",41,2106.6,592,716,594,31.13,31.23,37.64,0.5,933,969,49.05,291,180,8.29,5.13,1057,937,120,30.11,26.69
"NYR","2015-2016",41,2080.93,599,696,630,31.12,32.73,36.16,0.49,919,1006,47.74,257,190,7.41,5.48,1047,892,155,30.19,25.72
"OTT","2015-2016",41,2033.6,619,716,662,31,33.15,35.85,0.48,977,1020,48.92,238,224,7.02,6.61,967,887,80,28.53,26.17
"PHI","2015-2016",41,1982.25,589,693,639,30.66,33.26,36.07,0.48,931,990,48.46,204,188,6.17,5.69,889,929,-40,26.91,28.12
"PIT","2015-2016",41,2019.68,636,716,670,31.45,33.14,35.41,0.49,1003,1019,49.6,276,238,8.2,7.07,778,919,-141,23.11,27.3
"S.J","2015-2016",41,2048.67,564,761,652,28.53,32.98,38.49,0.46,962,1015,48.66,174,172,5.1,5.04,679,923,-244,19.89,27.03
"STL","2015-2016",41,2059.13,636,711,697,31.12,34.1,34.78,0.48,1043,1001,51.03,233,193,6.79,5.62,907,965,-58,26.43,28.12
"T.B","2015-2016",41,1978.2,590,700,565,31.81,30.46,37.74,0.51,932,923,50.24,235,187,7.13,5.67,736,996,-260,22.32,30.21
"TOR","2015-2016",41,1970.08,655,690,678,32.38,33.51,34.11,0.49,976,1047,48.25,219,208,6.67,6.33,879,890,-11,26.77,27.11
"VAN","2015-2016",41,2032.66,626,682,636,32.2,32.72,35.08,0.5,871,1073,44.8,275,181,8.12,5.34,771,897,-126,22.76,26.48
"WPG","2015-2016",41,2014.55,616,729,608,31.54,31.13,37.33,0.5,879,1074,45.01,243,238,7.24,7.09,971,842,129,28.92,25.08
"WSH","2015-2016",41,2043.93,581,686,598,31.15,32.06,36.78,0.49,904,961,48.47,219,197,6.43,5.78,945,972,-27,27.74,28.53
