"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2015-2016",41,2010.92,1840.77,1482.17,358.6,55.4,54.92,44.22,73.85,57.76,16.09,56.11,2.2,1.72,82.04,64.22,17.82,56.09,2.45,1.92,163,138,-25,7.82,92.5,100.32
"ARI","2015-2016",41,1939.05,1502.5,1614.87,-112.37,48.2,46.49,49.97,75.55,62.47,13.08,54.74,2.34,1.93,62.82,62.27,0.55,50.22,1.94,1.93,152,157,5,9.73,92.55,102.28
"BOS","2015-2016",41,2055.53,1698.24,1626.55,71.69,51.08,49.57,47.48,75.56,82.07,-6.51,47.94,2.21,2.4,70,66.53,3.47,51.27,2.04,1.94,153,138,-15,7.7,91.08,98.78
"BUF","2015-2016",41,2033.22,1478.76,1543.83,-65.07,48.92,43.64,45.56,54.12,74.58,-20.46,42.05,1.6,2.2,60.19,60.27,-0.08,49.97,1.78,1.78,107,138,31,6.37,91.41,97.78
"CAR","2015-2016",41,2093.51,1817.39,1575.81,241.58,53.56,52.09,45.16,69.77,79.24,-9.47,46.82,2,2.27,87.16,79.41,7.75,52.33,2.5,2.28,88,109,21,7.33,90.33,97.65
"CBJ","2015-2016",41,2040.8,1694.54,1601.42,93.12,51.41,49.82,47.08,78.92,78.95,-0.03,49.99,2.32,2.32,98.5,75.79,22.71,56.52,2.9,2.23,146,155,9,8.46,90.92,99.38
"CGY","2015-2016",41,2070.05,1659.82,1600.62,59.2,50.91,48.11,46.39,84.91,78.43,6.48,51.98,2.46,2.27,79.97,71.03,8.94,52.96,2.32,2.06,107,130,23,9.27,90.52,99.8
"CHI","2015-2016",41,2048.97,1755.8,1543.34,212.46,53.22,51.42,45.19,72.82,52.02,20.8,58.33,2.13,1.52,72.16,69.01,3.15,51.12,2.11,2.02,100,121,21,7.42,94.2,101.61
"COL","2015-2016",41,2015.67,1538.87,1782.06,-243.19,46.34,45.81,53.05,65.39,80.18,-14.79,44.92,1.95,2.39,61.28,76.43,-15.15,44.5,1.82,2.28,131,145,14,7.52,91.89,99.4
"DAL","2015-2016",41,2015.27,1943.06,1579,364.06,55.17,57.85,47.01,86.33,68,18.33,55.94,2.57,2.02,92.87,71.8,21.07,56.4,2.76,2.14,129,142,13,8.82,91.54,100.36
"DET","2015-2016",41,2001.73,1569.81,1226.83,342.98,56.13,47.05,36.77,68.16,61.12,7.04,52.72,2.04,1.83,76.87,63.32,13.55,54.83,2.3,1.9,135,141,6,7.29,92.34,99.62
"EDM","2015-2016",41,1947.62,1575,1557.79,17.21,50.27,48.52,47.99,71.82,74.41,-2.59,49.11,2.21,2.29,74.25,71.08,3.17,51.09,2.29,2.19,132,131,-1,8.36,91.22,99.59
"FLA","2015-2016",41,1998.13,1450.89,1324.66,126.23,52.27,43.57,39.78,81.74,54.47,27.27,60.01,2.45,1.64,69.59,58.65,10.94,54.27,2.09,1.76,144,154,10,8.98,93.31,102.28
"L.A","2015-2016",41,2023.25,1869.79,1307.24,562.55,58.85,55.45,38.77,69.34,58.6,10.74,54.2,2.06,1.74,81.32,58.13,23.19,58.31,2.41,1.72,152,145,-7,7.15,91.74,98.89
"MIN","2015-2016",41,2017.43,1517.01,1501.42,15.59,50.26,45.12,44.65,73.61,56.33,17.28,56.65,2.19,1.68,64.36,53.45,10.91,54.63,1.91,1.59,97,127,30,8.7,92.87,101.57
"MTL","2015-2016",41,2018.43,1733.75,1538.66,195.09,52.98,51.54,45.74,65.13,64.07,1.06,50.41,1.94,1.9,75.3,62.25,13.05,54.74,2.24,1.85,113,134,21,6.84,92.1,98.94
"N.J","2015-2016",41,2020.08,1154.89,1212.69,-57.8,48.78,34.3,36.02,57.95,61.35,-3.4,48.58,1.72,1.82,60.03,57.54,2.49,51.06,1.78,1.71,139,128,-11,8.06,92.05,100.1
"NSH","2015-2016",41,2019.85,1723.1,1405.79,317.31,55.07,51.18,41.76,85.84,57.67,28.17,59.81,2.55,1.71,74.47,56.71,17.76,56.77,2.21,1.68,119,128,9,9.06,92.62,101.68
"NYI","2015-2016",41,2067.15,1774.22,1566.43,207.79,53.11,51.5,45.47,82.95,63.09,19.86,56.8,2.41,1.83,87.97,79.75,8.22,52.45,2.55,2.31,127,141,14,8.71,92.64,101.35
"NYR","2015-2016",41,2041.35,1592.71,1572.46,20.25,50.32,46.81,46.22,87.18,59.66,27.52,59.37,2.56,1.75,80.48,77.97,2.51,50.79,2.37,2.29,118,130,12,10.26,92.67,102.93
"OTT","2015-2016",40,2010.45,1672.1,1609.15,62.95,50.96,49.9,48.02,83.6,57.05,26.55,59.44,2.49,1.7,71.53,63.81,7.72,52.85,2.13,1.9,130,141,11,9.41,93.62,103.03
"PHI","2015-2016",41,2039.36,1853.56,1724.13,129.43,51.81,54.53,50.73,66.99,55.95,11.04,54.49,1.97,1.65,81.21,76.73,4.48,51.42,2.39,2.26,146,165,19,6.98,93.88,100.86
"PIT","2015-2016",41,2041.89,1818.07,1461.05,357.02,55.44,53.42,42.93,91.03,68.72,22.31,56.98,2.67,2.02,88.87,61.17,27.7,59.23,2.61,1.8,121,133,12,8.32,92.14,100.46
"S.J","2015-2016",41,2007.38,1811.53,1456.14,355.39,55.44,54.15,43.52,69.66,63.97,5.69,52.13,2.08,1.91,85.61,57.39,28.22,59.87,2.56,1.72,119,147,28,7.31,90.86,98.17
"STL","2015-2016",41,2015.41,1621.78,1397.42,224.36,53.72,48.28,41.6,60.09,62.4,-2.31,49.06,1.79,1.86,66.31,59.44,6.87,52.73,1.97,1.77,136,134,-2,6.73,92.12,98.85
"T.B","2015-2016",41,1970.97,1663.22,1339.61,323.61,55.39,50.63,40.78,69.23,63.11,6.12,52.31,2.11,1.92,65.1,50.53,14.57,56.3,1.98,1.54,143,156,13,7.71,91.95,99.66
"TOR","2015-2016",41,2035.16,1865.78,1609.71,256.07,53.68,55.01,47.46,63.63,70.56,-6.93,47.42,1.88,2.08,76.08,70.64,5.44,51.85,2.24,2.08,125,129,4,6.82,92.06,98.88
"VAN","2015-2016",41,2047.16,1439.22,1558.18,-118.96,48.02,42.18,45.67,57.08,77.28,-20.2,42.48,1.67,2.26,62.58,71.42,-8.84,46.7,1.83,2.09,131,135,4,6.94,91.8,98.74
"WPG","2015-2016",41,1966.93,1656.55,1466.04,190.51,53.05,50.53,44.72,73.85,65.83,8.02,52.87,2.25,2.01,79.46,74.39,5.07,51.65,2.42,2.27,147,134,-13,7.97,92.15,100.12
"WSH","2015-2016",41,2022.73,1786.24,1585.73,200.51,52.97,52.99,47.04,82.09,62.86,19.23,56.63,2.44,1.86,71.87,60.44,11.43,54.32,2.13,1.79,116,135,19,8.43,92.35,100.77
