"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2015-2016",41,2010.92,7.82,92.5,5.23,94.8,5.81,94.22,-0.58,0.58,100.32,100.02,0.29,620,591,672,32.93,31.39,35.69,0.51,53.16
"ARI","2015-2016",41,1939.05,9.73,92.55,6.66,95.07,5.54,95.08,1.12,-0.02,102.28,100.62,1.66,590,612,703,30.97,32.13,36.9,0.49,54.44
"BOS","2015-2016",41,2055.53,7.7,91.08,5.76,93.5,5.33,94.73,0.42,-1.23,98.78,100.07,-1.28,680,647,758,32.61,31.03,36.35,0.51,49.98
"BUF","2015-2016",41,2033.22,6.37,91.41,4.68,93.82,5.21,95,-0.53,-1.19,97.78,100.21,-2.43,619,630,703,31.71,32.27,36.01,0.5,49.33
"CAR","2015-2016",41,2093.51,7.33,90.33,5.06,93.53,6.32,93.52,-1.26,0.01,97.65,99.84,-2.19,648,588,721,33.11,30.05,36.84,0.52,54.16
"CBJ","2015-2016",41,2040.8,8.46,90.92,6.18,93.33,7.71,93.6,-1.53,-0.27,99.38,101.3,-1.93,634,692,722,30.96,33.79,35.25,0.48,50.98
"CGY","2015-2016",41,2070.05,9.27,90.52,6.85,93.25,6.45,93.89,0.4,-0.64,99.8,100.34,-0.55,662,672,720,32.23,32.72,35.05,0.5,50.54
"CHI","2015-2016",41,2048.97,7.42,94.2,5.77,95.49,5.72,94.01,0.05,1.47,101.61,99.73,1.88,657,569,735,33.5,29.02,37.48,0.54,50.54
"COL","2015-2016",41,2015.67,7.52,91.89,5.62,94.05,5.27,94.32,0.35,-0.28,99.4,99.6,-0.19,584,639,706,30.27,33.13,36.6,0.48,51.48
"DAL","2015-2016",41,2015.27,8.82,91.54,5.94,94.14,6.4,93.81,-0.45,0.33,100.36,100.2,0.16,702,592,736,34.58,29.16,36.26,0.54,52.41
"DET","2015-2016",41,2001.73,7.29,92.34,5.44,94.07,6.14,93.85,-0.7,0.21,99.62,99.99,-0.37,662,517,690,35.42,27.66,36.92,0.56,51.69
"EDM","2015-2016",41,1947.62,8.36,91.22,6.24,93.63,6.45,93.92,-0.21,-0.29,99.59,100.37,-0.78,603,581,697,32.06,30.89,37.05,0.51,51.04
"FLA","2015-2016",41,1998.13,8.98,93.31,6.79,94.95,5.78,94.56,1.01,0.39,102.28,100.34,1.94,631,612,716,32.21,31.24,36.55,0.51,49.26
"L.A","2015-2016",41,2023.25,7.15,91.74,4.73,94.21,5.55,94.25,-0.82,-0.05,98.89,99.8,-0.91,768,559,650,38.85,28.28,32.88,0.58,51.49
"MIN","2015-2016",41,2017.43,8.7,92.87,6.29,94.97,5.5,95.22,0.79,-0.26,101.57,100.73,0.84,633,614,686,32.75,31.76,35.49,0.51,52.04
"MTL","2015-2016",41,2018.43,6.84,92.1,5.26,94.18,6.08,94.34,-0.82,-0.17,98.94,100.42,-1.48,685,663,745,32.73,31.68,35.59,0.51,50.65
"N.J","2015-2016",41,2020.08,8.06,92.05,6.05,93.76,6.26,94.15,-0.22,-0.39,100.1,100.41,-0.31,550,609,670,30.07,33.3,36.63,0.47,47.57
"NSH","2015-2016",41,2019.85,9.06,92.62,6.55,94.47,5.68,94.56,0.87,-0.09,101.68,100.24,1.44,665,607,713,33.5,30.58,35.92,0.52,50.18
"NYI","2015-2016",41,2067.15,8.71,92.64,6.31,94.52,6.7,93.07,-0.38,1.45,101.35,99.77,1.58,626,578,645,33.86,31.26,34.88,0.52,52.46
"NYR","2015-2016",41,2041.35,10.26,92.67,7.31,94.81,6.75,93.22,0.56,1.59,102.93,99.98,2.96,583,564,719,31.24,30.23,38.53,0.51,50.7
"OTT","2015-2016",40,2010.45,9.41,93.62,6.9,95.27,5.91,94.71,1,0.56,103.03,100.61,2.42,599,593,720,31.33,31.01,37.66,0.5,53.4
"PHI","2015-2016",41,2039.36,6.98,93.88,5.05,95.55,6.12,93.9,-1.07,1.65,100.86,100.02,0.84,648,592,703,33.35,30.47,36.18,0.52,52.55
"PIT","2015-2016",41,2041.89,8.32,92.14,6.55,93.94,6.39,94.6,0.16,-0.67,100.46,101,-0.54,730,622,753,34.68,29.55,35.77,0.54,51.88
"S.J","2015-2016",41,2007.38,7.31,90.86,5.21,93.52,6.41,94.19,-1.19,-0.67,98.17,100.6,-2.43,596,536,723,32.13,28.89,38.98,0.53,52.02
"STL","2015-2016",41,2015.41,6.73,92.12,4.89,94.15,5.4,94.42,-0.51,-0.28,98.85,99.82,-0.97,645,645,677,32.79,32.79,34.42,0.5,52.21
"T.B","2015-2016",41,1970.97,7.71,91.95,5.46,94.02,5.14,95.22,0.33,-1.19,99.66,100.35,-0.7,647,573,653,34.54,30.59,34.86,0.53,50.56
"TOR","2015-2016",41,2035.16,6.82,92.06,4.59,94.48,5.49,94.47,-0.9,0.01,98.88,99.96,-1.08,666,648,733,32.54,31.66,35.81,0.51,51.78
"VAN","2015-2016",41,2047.16,6.94,91.8,5.18,93.8,5.68,94.27,-0.5,-0.47,98.74,99.95,-1.21,639,609,683,33.09,31.54,35.37,0.51,45.99
"WPG","2015-2016",41,1966.93,7.97,92.15,5.86,94.05,6.3,93.28,-0.45,0.77,100.12,99.58,0.54,585,525,687,32.55,29.22,38.23,0.53,48.64
"WSH","2015-2016",41,2022.73,8.43,92.35,6.24,94.48,5.46,94.7,0.78,-0.21,100.77,100.16,0.61,632,536,712,33.62,28.51,37.87,0.54,50.21
