"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2014-2015",41,2008.23,626,727,650,31.25,32.45,36.3,0.49,1077,926,53.77,355,164,10.61,4.9,1099,930,169,32.83,27.79
"ARI","2014-2015",41,2038.28,650,664,676,32.66,33.97,33.37,0.49,1070,920,53.77,191,222,5.62,6.53,1350,1327,23,39.74,39.06
"BOS","2014-2015",41,2116.87,720,714,658,34.42,31.45,34.13,0.52,1164,928,55.64,298,242,8.45,6.86,937,1037,-100,26.56,29.39
"BUF","2014-2015",41,2038.34,550,664,761,27.85,38.53,33.62,0.42,912,1063,46.18,175,146,5.15,4.3,933,592,341,27.46,17.43
"CAR","2014-2015",41,2093.85,728,688,604,36.04,29.9,34.06,0.55,1097,923,54.31,374,422,10.72,12.09,1042,1267,-225,29.86,36.31
"CBJ","2014-2015",41,2008.43,576,729,635,29.69,32.73,37.58,0.48,988,952,50.93,192,214,5.74,6.39,1228,880,348,36.69,26.29
"CGY","2014-2015",41,2034.44,624,719,738,29.99,35.46,34.55,0.46,1063,1018,51.08,501,539,14.78,15.9,760,592,168,22.41,17.46
"CHI","2014-2015",41,2087.81,745,685,586,36.95,29.07,33.98,0.56,1070,946,53.08,288,281,8.28,8.08,702,1135,-433,20.17,32.62
"COL","2014-2015",41,1992.37,603,701,686,30.3,34.47,35.23,0.47,1042,948,52.36,196,385,5.9,11.59,884,703,181,26.62,21.17
"DAL","2014-2015",41,1966.4,692,801,652,32.26,30.4,37.34,0.51,1144,1001,53.33,436,342,13.3,10.44,818,797,21,24.96,24.32
"DET","2014-2015",41,2012.25,703,692,561,35.94,28.68,35.38,0.56,1028,928,52.56,257,149,7.66,4.44,714,862,-148,21.29,25.7
"EDM","2014-2015",41,2074.45,600,723,612,31.01,31.63,37.36,0.5,979,956,50.59,491,295,14.2,8.53,980,899,81,28.34,26
"FLA","2014-2015",41,2057.1,684,703,612,34.22,30.62,35.17,0.53,1011,988,50.58,151,198,4.4,5.78,1208,1152,56,35.23,33.6
"L.A","2014-2015",41,2005.64,659,715,555,34.16,28.77,37.07,0.54,1015,914,52.62,411,143,12.3,4.28,1242,1086,156,37.16,32.49
"MIN","2014-2015",41,1975.32,653,723,596,33.11,30.22,36.66,0.52,1047,925,53.09,214,289,6.5,8.78,503,578,-75,15.28,17.56
"MTL","2014-2015",41,2060.3,616,773,682,29.74,32.93,37.32,0.47,1124,947,54.27,456,182,13.28,5.3,828,1064,-236,24.11,30.99
"N.J","2014-2015",41,2067.1,529,694,619,28.72,33.6,37.68,0.46,908,934,49.29,251,202,7.29,5.86,683,772,-89,19.82,22.41
"NSH","2014-2015",41,2060.46,759,729,679,35.03,31.33,33.64,0.53,1105,1062,50.99,321,249,9.35,7.25,715,661,54,20.82,19.25
"NYI","2014-2015",41,2044.65,647,690,594,33.51,30.76,35.73,0.52,997,934,51.63,530,474,15.55,13.91,1366,1014,352,40.09,29.76
"NYR","2014-2015",41,2073.3,633,715,627,32.05,31.75,36.2,0.5,940,1035,47.59,375,328,10.85,9.49,881,839,42,25.5,24.28
"OTT","2014-2015",41,2016.07,634,729,594,32.4,30.35,37.25,0.52,1008,949,51.51,341,330,10.15,9.82,1123,978,145,33.42,29.11
"PHI","2014-2015",41,2058,626,709,679,31.08,33.71,35.2,0.48,1041,973,51.69,271,156,7.9,4.55,1323,1192,131,38.57,34.75
"PIT","2014-2015",41,2000.3,602,730,533,32.28,28.58,39.14,0.53,932,933,49.97,202,163,6.06,4.89,1247,1080,167,37.4,32.4
"S.J","2014-2015",41,2066.94,672,746,661,32.32,31.79,35.88,0.5,1116,963,53.68,571,360,16.58,10.45,1059,970,89,30.74,28.16
"STL","2014-2015",41,2042.11,664,711,645,32.87,31.93,35.2,0.51,1099,921,54.41,148,242,4.35,7.11,822,824,-2,24.15,24.21
"T.B","2014-2015",41,1972.18,646,682,523,34.9,28.25,36.84,0.55,956,895,51.65,273,235,8.31,7.15,818,767,51,24.89,23.33
"TOR","2014-2015",41,1990.05,569,746,727,27.86,35.6,36.53,0.44,1042,1000,51.03,357,467,10.76,14.08,1275,1212,63,38.44,36.54
"VAN","2014-2015",41,2043.35,640,717,611,32.52,31.05,36.43,0.51,953,1015,48.42,291,237,8.54,6.96,654,822,-168,19.2,24.14
"WPG","2014-2015",41,1976.46,639,712,583,33.04,30.14,36.81,0.52,1016,918,52.53,425,235,12.9,7.13,1131,807,324,34.33,24.5
"WSH","2014-2015",41,2052.13,688,710,608,34.3,30.31,35.39,0.53,1065,941,53.09,362,281,10.58,8.22,1089,956,133,31.84,27.95
