"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2014-2015",41,2008.23,1935,1798,137,51.83,57.81,53.72,85,78,7,52.15,2.54,2.33,80.2,70.03,10.17,53.38,2.4,2.09,122,125,3,8.63,91.76,100.39
"ARI","2014-2015",41,2038.28,1919,1996,-77,49.02,56.49,58.76,50,81,-31,38.17,1.47,2.38,69.46,76.39,-6.93,47.62,2.04,2.25,130,122,-8,5.09,92.39,97.47
"BOS","2014-2015",41,2116.87,2045,1713,332,54.42,57.96,48.55,73,63,10,53.68,2.07,1.79,75.03,62.22,12.81,54.67,2.13,1.76,115,113,-2,6.52,93.71,100.23
"BUF","2014-2015",41,2038.34,1374,2207,-833,38.37,40.44,64.96,56,84,-28,40,1.65,2.47,58.16,79.3,-21.14,42.31,1.71,2.33,130,132,2,6.86,92.74,99.6
"CAR","2014-2015",41,2093.85,2125,1764,361,54.64,60.89,50.55,60,61,-1,49.59,1.72,1.75,94.14,77.68,16.46,54.79,2.7,2.23,85,114,29,5.61,93.1,98.71
"CBJ","2014-2015",41,2008.43,1702,1735,-33,49.52,50.85,51.83,76,88,-12,46.34,2.27,2.63,70.13,69.87,0.26,50.09,2.1,2.09,155,154,-1,7.74,91.38,99.12
"CGY","2014-2015",41,2034.44,1704,2010,-306,45.88,50.25,59.28,85,85,0,50,2.51,2.51,69.73,72.33,-2.6,49.08,2.06,2.13,100,133,33,9.85,90.81,100.66
"CHI","2014-2015",41,2087.81,2286,1800,486,55.95,65.7,51.73,81,67,14,54.73,2.33,1.93,86.44,76.01,10.43,53.21,2.48,2.18,115,132,17,6.33,93.82,100.15
"COL","2014-2015",41,1992.37,1686,1987,-301,45.9,50.77,59.84,94,81,13,53.71,2.83,2.44,65.27,73.69,-8.42,46.97,1.97,2.22,140,137,-3,9.91,92.06,101.96
"DAL","2014-2015",41,1966.4,2163,1904,259,53.18,66,58.1,97,86,11,53.01,2.96,2.62,95.22,80.76,14.46,54.11,2.91,2.46,127,176,49,9.35,90.86,100.21
"DET","2014-2015",41,2012.25,1684,1427,257,54.13,50.21,42.55,69,65,4,51.49,2.06,1.94,72.83,65.79,7.04,52.54,2.17,1.96,126,145,19,7.25,92.54,99.79
"EDM","2014-2015",41,2074.45,1807,1957,-150,48.01,52.26,56.6,67,86,-19,43.79,1.94,2.49,69.02,86.75,-17.73,44.31,2,2.51,113,119,6,7.45,91.58,99.03
"FLA","2014-2015",41,2057.1,1819,1653,166,52.39,53.06,48.21,78,74,4,51.32,2.28,2.16,69.88,61.37,8.51,53.24,2.04,1.79,123,142,19,7.44,92.12,99.56
"L.A","2014-2015",41,2005.64,1999,1580,419,55.85,59.8,47.27,77,55,22,58.33,2.3,1.65,82.37,66.78,15.59,55.23,2.46,2,142,139,-3,7.64,93.35,100.99
"MIN","2014-2015",41,1975.32,1863,1612,251,53.61,56.59,48.96,90,80,10,52.94,2.73,2.43,73.04,55.4,17.64,56.87,2.22,1.68,117,132,15,8.91,90.31,99.23
"MTL","2014-2015",41,2060.3,1930,1963,-33,49.58,56.21,57.17,84,62,22,57.53,2.45,1.81,73.11,72.66,0.45,50.15,2.13,2.12,120,123,3,8.74,93.7,102.44
"N.J","2014-2015",41,2067.1,1405,1545,-140,47.63,40.78,44.85,58,53,5,52.25,1.68,1.54,61.09,66.52,-5.43,47.87,1.77,1.93,126,114,-12,7.12,94.34,101.46
"NSH","2014-2015",41,2060.46,2031,1694,337,54.52,59.14,49.33,91,65,26,58.33,2.65,1.89,80.12,59.14,20.98,57.53,2.33,1.72,105,119,14,8.18,93.02,101.19
"NYI","2014-2015",41,2044.65,2158,1866,292,53.63,63.33,54.76,91,75,16,54.82,2.67,2.2,120.52,87.15,33.37,58.03,3.54,2.56,112,143,31,7.61,92.32,99.92
"NYR","2014-2015",41,2073.3,1906,1910,-4,49.95,55.16,55.27,93,70,23,57.06,2.69,2.03,92.59,88.52,4.07,51.12,2.68,2.56,113,118,5,8.77,93.12,101.9
"OTT","2014-2015",41,2016.07,1961,1826,135,51.78,58.36,54.34,94,86,8,52.22,2.8,2.56,87.16,72.26,14.9,54.67,2.59,2.15,133,151,18,8.99,91.84,100.83
"PHI","2014-2015",41,2058,1956,2009,-53,49.33,57.03,58.57,72,62,10,53.73,2.1,1.81,70.79,78.98,-8.19,47.27,2.06,2.3,141,126,-15,7.29,94.11,101.4
"PIT","2014-2015",41,2000.3,1851,1704,147,52.07,55.52,51.11,81,70,11,53.64,2.43,2.1,75.7,69.69,6.01,52.07,2.27,2.09,170,150,-20,7.86,92.62,100.48
"S.J","2014-2015",41,2066.94,2098,1911,187,52.33,60.9,55.47,71,80,-9,47.02,2.06,2.32,85.71,77.8,7.91,52.42,2.49,2.26,117,139,22,7.04,91.44,98.48
"STL","2014-2015",41,2042.11,1863,1608,255,53.67,54.74,47.25,91,65,26,58.33,2.67,1.91,74.98,55.33,19.65,57.54,2.2,1.63,153,149,-4,9.12,92.12,101.24
"T.B","2014-2015",41,1972.18,1844,1617,227,53.28,56.1,49.19,97,57,40,62.99,2.95,1.73,66.61,54.87,11.74,54.83,2.03,1.67,139,146,7,9.33,93.61,102.94
"TOR","2014-2015",41,1990.05,1776,2132,-356,45.45,53.55,64.28,86,89,-3,49.14,2.59,2.68,73.81,90.05,-16.24,45.04,2.23,2.72,136,157,21,9.18,91.8,100.98
"VAN","2014-2015",41,2043.35,1823,1767,56,50.78,53.53,51.89,76,82,-6,48.1,2.23,2.41,74.86,81.26,-6.4,47.95,2.2,2.39,136,152,16,7.58,91.45,99.03
"WPG","2014-2015",41,1976.46,1952,1612,340,54.77,59.26,48.94,94,67,27,58.39,2.85,2.03,95.18,73.73,21.45,56.35,2.89,2.24,171,146,-25,9.23,92.25,101.48
"WSH","2014-2015",41,2052.13,1981,1793,188,52.49,57.92,52.42,79,64,15,55.24,2.31,1.87,76.45,64.18,12.27,54.36,2.24,1.88,149,137,-12,8.25,92.92,101.17
