"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2014-2015",41,2008.23,8.63,91.76,5.73,94.29,5.4,94.88,0.32,-0.58,100.39,100.28,0.11,626,650,727,31.25,32.45,36.3,0.49,53.77
"ARI","2014-2015",41,2038.28,5.09,92.39,3.5,94.56,4.86,94.87,-1.36,-0.31,97.47,99.73,-2.26,650,676,664,32.66,33.97,33.37,0.49,53.77
"BOS","2014-2015",41,2116.87,6.52,93.71,4.8,95.27,4.93,95.33,-0.13,-0.06,100.23,100.26,-0.03,720,658,714,34.42,31.45,34.13,0.52,55.64
"BUF","2014-2015",41,2038.34,6.86,92.74,5.23,94.78,5.44,95.07,-0.2,-0.29,99.6,100.51,-0.9,550,761,664,27.85,38.53,33.62,0.42,46.18
"CAR","2014-2015",41,2093.85,5.61,93.1,3.84,95.38,6.02,94.12,-2.18,1.26,98.71,100.14,-1.43,728,604,688,36.04,29.9,34.06,0.55,54.31
"CBJ","2014-2015",41,2008.43,7.74,91.38,5.81,93.52,5.37,94.85,0.45,-1.34,99.12,100.22,-1.1,576,635,729,29.69,32.73,37.58,0.48,50.93
"CGY","2014-2015",41,2034.44,9.85,90.81,6.92,93.64,5.68,94.59,1.24,-0.95,100.66,100.26,0.4,624,738,719,29.99,35.46,34.55,0.46,51.08
"CHI","2014-2015",41,2087.81,6.33,93.82,4.93,95.07,5.26,94.4,-0.33,0.66,100.15,99.66,0.49,745,586,685,36.95,29.07,33.98,0.56,53.08
"COL","2014-2015",41,1992.37,9.91,92.06,7.42,94.21,5.15,94.73,2.27,-0.52,101.96,99.88,2.08,603,686,701,30.3,34.47,35.23,0.47,52.36
"DAL","2014-2015",41,1966.4,9.35,90.86,6.06,93.72,5.95,94.1,0.11,-0.38,100.21,100.05,0.16,692,652,801,32.26,30.4,37.34,0.51,53.33
"DET","2014-2015",41,2012.25,7.25,92.54,5.41,94.32,5.71,94.25,-0.3,0.07,99.79,99.97,-0.18,703,561,692,35.94,28.68,35.38,0.56,52.56
"EDM","2014-2015",41,2074.45,7.45,91.58,5.18,94.01,5.34,93.95,-0.16,0.05,99.03,99.29,-0.26,600,612,723,31.01,31.63,37.36,0.5,50.59
"FLA","2014-2015",41,2057.1,7.44,92.12,5.53,94.29,4.95,95.26,0.58,-0.98,99.56,100.21,-0.65,684,612,703,34.22,30.62,35.17,0.53,50.58
"L.A","2014-2015",41,2005.64,7.64,93.35,5.04,95.5,5.39,94.54,-0.35,0.96,100.99,99.92,1.07,659,555,715,34.16,28.77,37.07,0.54,52.62
"MIN","2014-2015",41,1975.32,8.91,90.31,6.3,93.23,5.11,95.31,1.19,-2.08,99.23,100.42,-1.2,653,596,723,33.11,30.22,36.66,0.52,53.09
"MTL","2014-2015",41,2060.3,8.74,93.7,6.35,95.39,5.53,94.6,0.82,0.79,102.44,100.13,2.31,616,682,773,29.74,32.93,37.32,0.47,54.27
"N.J","2014-2015",41,2067.1,7.12,94.34,5.27,95.72,5.55,94.62,-0.28,1.09,101.46,100.17,1.29,529,619,694,28.72,33.6,37.68,0.46,49.29
"NSH","2014-2015",41,2060.46,8.18,93.02,5.95,94.77,5.24,95.24,0.71,-0.47,101.19,100.48,0.71,759,679,729,35.03,31.33,33.64,0.53,50.99
"NYI","2014-2015",41,2044.65,7.61,92.32,5.65,94.19,7.48,93.25,-1.83,0.94,99.92,100.73,-0.8,647,594,690,33.51,30.76,35.73,0.52,51.63
"NYR","2014-2015",41,2073.3,8.77,93.12,6.5,95.16,6.47,93.88,0.03,1.28,101.9,100.35,1.55,633,627,715,32.05,31.75,36.2,0.5,47.59
"OTT","2014-2015",41,2016.07,8.99,91.84,6.62,93.82,6.14,94.81,0.48,-0.99,100.83,100.95,-0.12,634,594,729,32.4,30.35,37.25,0.52,51.51
"PHI","2014-2015",41,2058,7.29,94.11,5.18,95.72,5.09,94.54,0.09,1.17,101.4,99.63,1.77,626,679,709,31.08,33.71,35.2,0.48,51.69
"PIT","2014-2015",41,2000.3,7.86,92.62,5.91,94.48,5.52,94.51,0.39,-0.02,100.48,100.03,0.45,602,533,730,32.28,28.58,39.14,0.53,49.97
"S.J","2014-2015",41,2066.94,7.04,91.44,4.78,94,5.78,94.17,-0.99,-0.16,98.48,99.94,-1.46,672,661,746,32.32,31.79,35.88,0.5,53.68
"STL","2014-2015",41,2042.11,9.12,92.12,6.37,94.43,5.25,95.25,1.12,-0.83,101.24,100.5,0.74,664,645,711,32.87,31.93,35.2,0.51,54.41
"T.B","2014-2015",41,1972.18,9.33,93.61,6.95,95.33,4.77,95.51,2.18,-0.17,102.94,100.28,2.66,646,523,682,34.9,28.25,36.84,0.55,51.65
"TOR","2014-2015",41,1990.05,9.18,91.8,6.36,94.44,5.46,94.38,0.9,0.07,100.98,99.83,1.15,569,727,746,27.86,35.6,36.53,0.44,51.03
"VAN","2014-2015",41,2043.35,7.58,91.45,5.6,93.62,5.51,93.68,0.08,-0.06,99.03,99.19,-0.16,640,611,717,32.52,31.05,36.43,0.51,48.42
"WPG","2014-2015",41,1976.46,9.23,92.25,6.66,94.35,6.75,93.78,-0.08,0.57,101.48,100.52,0.96,639,583,712,33.04,30.14,36.81,0.52,52.53
"WSH","2014-2015",41,2052.13,8.25,92.92,5.65,94.88,5.46,94.87,0.18,0.01,101.17,100.33,0.83,688,608,710,34.3,30.31,35.39,0.53,53.09
