"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2015-2016",41,2010.92,620,672,591,32.93,31.39,35.69,0.51,1001,882,53.16,434,175,12.95,5.22,1069,950,119,31.9,28.35
"ARI","2015-2016",41,1939.05,590,703,612,30.97,32.13,36.9,0.49,1037,868,54.44,141,204,4.36,6.31,896,915,-19,27.72,28.31
"BOS","2015-2016",41,2055.53,680,758,647,32.61,31.03,36.35,0.51,1042,1043,49.98,363,249,10.6,7.27,1000,930,70,29.19,27.15
"BUF","2015-2016",41,2033.22,619,703,630,31.71,32.27,36.01,0.5,963,989,49.33,211,182,6.23,5.37,825,599,226,24.35,17.68
"CAR","2015-2016",41,2093.51,648,721,588,33.11,30.05,36.84,0.52,1060,897,54.16,311,442,8.91,12.67,818,944,-126,23.44,27.06
"CBJ","2015-2016",41,2040.8,634,722,692,30.96,33.79,35.25,0.48,1044,1004,50.98,149,205,4.38,6.03,945,614,331,27.78,18.05
"CGY","2015-2016",41,2070.05,662,720,672,32.23,32.72,35.05,0.5,1038,1016,50.54,402,312,11.65,9.04,689,532,157,19.97,15.42
"CHI","2015-2016",41,2048.97,657,735,569,33.5,29.02,37.48,0.54,991,970,50.54,270,205,7.91,6,817,1342,-525,23.92,39.3
"COL","2015-2016",41,2015.67,584,706,639,30.27,33.13,36.6,0.48,993,936,51.48,178,225,5.3,6.7,822,581,241,24.47,17.29
"DAL","2015-2016",41,2015.27,702,736,592,34.58,29.16,36.26,0.54,1064,966,52.41,472,299,14.05,8.9,777,770,7,23.13,22.92
"DET","2015-2016",41,2001.73,662,690,517,35.42,27.66,36.92,0.56,966,903,51.69,248,162,7.43,4.86,799,803,-4,23.95,24.07
"EDM","2015-2016",41,1947.62,603,697,581,32.06,30.89,37.05,0.51,960,921,51.04,457,281,14.08,8.66,872,899,-27,26.86,27.7
"FLA","2015-2016",41,1998.13,631,716,612,32.21,31.24,36.55,0.51,965,994,49.26,244,248,7.33,7.45,991,1010,-19,29.76,30.33
"L.A","2015-2016",41,2023.25,768,650,559,38.85,28.28,32.88,0.58,1018,959,51.49,353,116,10.47,3.44,1136,1025,111,33.69,30.4
"MIN","2015-2016",41,2017.43,633,686,614,32.75,31.76,35.49,0.51,1006,927,52.04,210,259,6.25,7.7,590,607,-17,17.55,18.05
"MTL","2015-2016",41,2018.43,685,745,663,32.73,31.68,35.59,0.51,1060,1033,50.65,507,196,15.07,5.83,1018,1205,-187,30.26,35.82
"N.J","2015-2016",41,2020.08,550,670,609,30.07,33.3,36.63,0.47,870,959,47.57,202,196,6,5.82,805,683,122,23.91,20.29
"NSH","2015-2016",41,2019.85,665,713,607,33.5,30.58,35.92,0.52,996,989,50.18,312,215,9.27,6.39,770,688,82,22.87,20.44
"NYI","2015-2016",41,2067.15,626,645,578,33.86,31.26,34.88,0.52,970,879,52.46,421,360,12.22,10.45,1110,968,142,32.22,28.1
"NYR","2015-2016",41,2041.35,583,719,564,31.24,30.23,38.53,0.51,946,920,50.7,430,314,12.64,9.23,1003,852,151,29.48,25.04
"OTT","2015-2016",40,2010.45,599,720,593,31.33,31.01,37.66,0.5,1021,891,53.4,383,288,11.43,8.6,1106,912,194,33.01,27.22
"PHI","2015-2016",41,2039.36,648,703,592,33.35,30.47,36.18,0.52,1021,922,52.55,363,203,10.68,5.97,1170,1093,77,34.42,32.16
"PIT","2015-2016",41,2041.89,730,753,622,34.68,29.55,35.77,0.54,1092,1013,51.88,255,189,7.49,5.55,1037,1248,-211,30.47,36.67
"S.J","2015-2016",41,2007.38,596,723,536,32.13,28.89,38.98,0.53,965,890,52.02,607,339,18.14,10.13,884,937,-53,26.42,28.01
"STL","2015-2016",41,2015.41,645,677,645,32.79,32.79,34.42,0.5,1027,940,52.21,137,237,4.08,7.06,890,768,122,26.5,22.86
"T.B","2015-2016",41,1970.97,647,653,573,34.54,30.59,34.86,0.53,947,926,50.56,273,201,8.31,6.12,798,903,-105,24.29,27.49
"TOR","2015-2016",41,2035.16,666,733,648,32.54,31.66,35.81,0.51,1060,987,51.78,280,351,8.25,10.35,1070,1081,-11,31.55,31.87
"VAN","2015-2016",41,2047.16,639,683,609,33.09,31.54,35.37,0.51,888,1043,45.99,286,207,8.38,6.07,659,639,20,19.31,18.73
"WPG","2015-2016",41,1966.93,585,687,525,32.55,29.22,38.23,0.53,874,923,48.64,381,219,11.62,6.68,942,704,238,28.74,21.48
"WSH","2015-2016",41,2022.73,632,712,536,33.62,28.51,37.87,0.54,944,936,50.21,385,280,11.42,8.31,934,790,144,27.71,23.43
