"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2014-2015",41,219.85,223.25,186.42,36.83,54.5,60.93,50.88,12.07,10.52,1.55,53.43,3.29,2.87,12.75,7.69,5.06,62.38,3.48,2.1,7,6,-1,8.67,88.32,96.98
"ARI","2014-2015",41,238.52,118.12,253.17,-135.05,31.81,29.71,63.69,7.94,10.84,-2.9,42.28,2,2.73,6.31,12.61,-6.3,33.35,1.59,3.17,5,6,1,10.33,92.14,102.47
"BOS","2014-2015",41,227.47,161.31,202.58,-41.27,44.33,42.55,53.43,7.14,9.01,-1.87,44.21,1.88,2.38,8.07,9.47,-1.4,46.01,2.13,2.5,5,5,0,6.43,91.46,97.89
"BUF","2014-2015",41,216.93,88.46,226.2,-137.74,28.11,24.47,62.56,9.49,15.56,-6.07,37.88,2.62,4.3,4.67,10.14,-5.47,31.53,1.29,2.8,9,7,-2,17.1,86.77,103.87
"CAR","2014-2015",41,169.56,101.17,133.64,-32.47,43.09,35.8,47.29,2.54,4.86,-2.32,34.32,0.9,1.72,4.8,5.51,-0.71,46.56,1.7,1.95,5,6,1,4.1,93.04,97.14
"CBJ","2014-2015",41,276.83,183.19,243.58,-60.39,42.92,39.7,52.79,9.61,10.37,-0.76,48.1,2.08,2.25,10,12.68,-2.68,44.09,2.17,2.75,9,6,-3,9.8,93.1,102.9
"CGY","2014-2015",41,164.52,108.65,147.92,-39.27,42.35,39.62,53.95,4.97,7.25,-2.28,40.67,1.81,2.64,6.37,7.58,-1.21,45.66,2.32,2.76,3,8,5,6.94,90.54,97.48
"CHI","2014-2015",41,193.83,136.97,178.08,-41.11,43.48,42.4,55.12,0,8.6,-8.6,0,0,2.66,7.33,7.87,-0.54,48.22,2.27,2.44,5,5,0,0,91.24,91.24
"COL","2014-2015",41,185.94,95.93,173.21,-77.28,35.64,30.96,55.89,7.27,6.44,0.83,53.03,2.35,2.08,5.14,9.17,-4.03,35.92,1.66,2.96,1,5,4,11.09,93.47,104.55
"DAL","2014-2015",41,222.62,192.34,190.05,2.29,50.3,51.84,51.22,9.2,8.33,0.87,52.48,2.48,2.25,10.14,9.35,0.79,52.03,2.73,2.52,6,9,3,8.95,91.8,100.75
"DET","2014-2015",41,239.1,168.47,229.88,-61.41,42.29,42.28,57.69,6.79,11.16,-4.37,37.83,1.7,2.8,7.12,10.32,-3.2,40.83,1.79,2.59,8,9,1,7.25,91.22,98.47
"EDM","2014-2015",41,193.33,128.76,167.95,-39.19,43.4,39.96,52.12,9.72,9.08,0.64,51.7,3.02,2.82,6.6,7.48,-0.88,46.88,2.05,2.32,5,5,0,11.62,90.13,101.75
"FLA","2014-2015",41,213.58,113.27,196.3,-83.03,36.59,31.82,55.15,0,10.41,-10.41,0,0,2.92,5.67,8.84,-3.17,39.08,1.59,2.48,10,12,2,0,90.88,90.88
"L.A","2014-2015",41,173.71,140.65,148.23,-7.58,48.69,48.58,51.2,11.25,8.07,3.18,58.23,3.89,2.79,7.46,6.52,0.94,53.36,2.58,2.25,4,5,1,12.7,89.42,102.13
"MIN","2014-2015",41,184.31,94.29,148.19,-53.9,38.89,30.7,48.24,4.42,6.44,-2.02,40.7,1.44,2.1,3.73,6.15,-2.42,37.75,1.21,2,4,9,5,12.05,91.69,103.74
"MTL","2014-2015",41,217.09,147.38,160.72,-13.34,47.84,40.73,44.42,4.59,6.7,-2.11,40.66,1.27,1.85,9.17,7.2,1.97,56.02,2.53,1.99,6,7,1,5.25,92.32,97.57
"N.J","2014-2015",41,255.35,158.36,224.8,-66.44,41.33,37.21,52.82,9.37,10.71,-1.34,46.66,2.2,2.52,7.39,10.55,-3.16,41.19,1.74,2.48,7,4,-3,10.37,91.1,101.48
"NSH","2014-2015",41,204.1,127.74,162.75,-35.01,43.97,37.55,47.84,1.9,8.4,-6.5,18.45,0.56,2.47,4.06,8.03,-3.97,33.58,1.19,2.36,1,10,9,2.66,90.72,93.38
"NYI","2014-2015",41,170.77,146.99,145.27,1.72,50.29,51.64,51.04,5.01,7.07,-2.06,41.47,1.76,2.48,5.51,7.39,-1.88,42.71,1.94,2.6,4,4,0,5.58,90.44,96.01
"NYR","2014-2015",41,200.6,201.53,138.16,63.37,59.33,60.28,41.32,9.32,6.59,2.73,58.58,2.79,1.97,9.47,6.04,3.43,61.06,2.83,1.81,9,10,1,6.7,90.42,97.12
"OTT","2014-2015",41,234.68,198.77,182.06,16.71,52.19,50.82,46.55,4.82,7.97,-3.15,37.69,1.23,2.04,8.52,8.89,-0.37,48.94,2.18,2.27,4,11,7,4.95,92.67,97.62
"PHI","2014-2015",41,220.44,123.25,208.49,-85.24,37.15,33.55,56.75,2.3,12.27,-9.97,15.79,0.63,3.34,5.57,9.57,-4,36.79,1.52,2.6,6,5,-1,2.82,89.01,91.83
"PIT","2014-2015",41,231.68,122.93,226.3,-103.37,35.2,31.84,58.61,7.47,6.71,0.76,52.68,1.93,1.74,5.31,10.62,-5.31,33.33,1.38,2.75,0,5,5,8.8,94.75,103.55
"S.J","2014-2015",41,181.08,168.13,157.57,10.56,51.62,55.71,52.21,1.96,9.42,-7.46,17.22,0.65,3.12,8.68,8.46,0.22,50.64,2.88,2.8,3,2,-1,1.88,89.12,91
"STL","2014-2015",41,228.77,170.1,184.97,-14.87,47.91,44.61,48.51,1.93,8.2,-6.27,19.05,0.51,2.15,4.54,7.29,-2.75,38.38,1.19,1.91,4,10,6,1.82,91.49,93.31
"T.B","2014-2015",41,220.4,117.8,202.33,-84.53,36.8,32.07,55.08,7.47,9.21,-1.74,44.78,2.03,2.51,10.12,9.92,0.2,50.5,2.75,2.7,6,6,0,10.78,91.56,102.33
"TOR","2014-2015",41,219.33,198.66,197.24,1.42,50.18,54.35,53.96,7.32,9.37,-2.05,43.86,2,2.56,9.99,9.58,0.41,51.05,2.73,2.62,1,12,11,6.69,91.52,98.2
"VAN","2014-2015",41,248.47,198.58,196.75,1.83,50.23,47.95,47.51,11.87,6.64,5.23,64.13,2.87,1.6,11.73,9.76,1.97,54.58,2.83,2.36,6,10,4,8.78,93.89,102.67
"WPG","2014-2015",41,269.8,224.55,220.83,3.72,50.42,49.94,49.11,16.51,10.31,6.2,61.56,3.67,2.29,11.08,12.21,-1.13,47.57,2.46,2.72,8,6,-2,11.79,91.43,103.22
"WSH","2014-2015",41,215.44,117.92,201.39,-83.47,36.93,32.84,56.09,2.35,9.21,-6.86,20.33,0.65,2.56,3.27,9.91,-6.64,24.81,0.91,2.76,4,9,5,3.29,91.7,94.98
