"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2017-2018",24,160.17,7.52,94.23,5.68,95.66,6.89,93.71,-1.21,1.95,101.76,100.61,1.15,17,131,37,9.19,70.81,20,0.11,45.95
"ARI","2017-2018",26,115.67,0,91.94,0,94.57,5.19,93.84,-5.19,0.73,91.94,99.03,-7.09,9,101,17,7.09,79.53,13.39,0.08,45.67
"BOS","2017-2018",21,106.53,0,93.64,0,94.91,4.8,94.19,-4.8,0.71,93.64,98.99,-5.35,5,96,16,4.27,82.05,13.68,0.05,51.28
"BUF","2017-2018",25,134.78,15.47,89.25,9.37,92.34,10.51,93.57,-1.14,-1.23,104.72,104.08,0.64,6,101,22,4.65,78.29,17.05,0.06,45.74
"CAR","2017-2018",26,100.62,11.65,88.21,9.72,91.88,9.24,92.78,0.48,-0.9,99.86,102.02,-2.16,3,76,14,3.23,81.72,15.05,0.04,48.39
"CBJ","2017-2018",23,80,3.89,88.13,2.83,90.66,6.53,92.76,-3.71,-2.1,92.02,99.29,-7.27,4,75,21,4,75,21,0.05,46
"CGY","2017-2018",22,134.75,3.78,92.39,3.13,94.67,7.61,92.97,-4.48,1.69,96.18,100.59,-4.41,7,118,37,4.32,72.84,22.84,0.06,41.36
"CHI","2017-2018",23,136.93,3.93,91.99,3.13,94.48,6.86,93.74,-3.73,0.74,95.92,100.6,-4.68,9,118,22,6.04,79.19,14.77,0.07,46.98
"COL","2017-2018",19,129.27,19.66,90.95,14.95,93.58,7.43,93.49,7.53,0.09,110.61,100.92,9.69,5,113,27,3.45,77.93,18.62,0.04,33.79
"DAL","2017-2018",25,147.15,3.06,90.15,2.53,92.95,11.29,93.29,-8.76,-0.34,93.21,104.58,-11.37,5,118,33,3.21,75.64,21.15,0.04,44.23
"DET","2017-2018",19,95.18,11.02,90.2,8.08,93.22,5.64,93.83,2.44,-0.61,101.22,99.47,1.76,5,90,19,4.39,78.95,16.67,0.05,48.25
"EDM","2017-2018",24,139.42,16.65,92.92,14.66,95.14,7.49,93.11,7.17,2.03,109.57,100.6,8.97,5,110,23,3.62,79.71,16.67,0.04,39.86
"FLA","2017-2018",24,116.03,11.7,93.1,8.6,94.67,7.38,93.17,1.22,1.5,104.8,100.55,4.25,6,111,25,4.23,78.17,17.61,0.05,42.96
"L.A","2017-2018",23,132.33,3.85,95.23,2.86,96.55,5.23,93.35,-2.37,3.19,99.08,98.59,0.49,2,112,23,1.46,81.75,16.79,0.02,48.91
"MIN","2017-2018",23,156.93,9.9,91.43,7.57,93.65,6.53,94.69,1.04,-1.04,101.33,101.22,0.11,8,129,38,4.57,73.71,21.71,0.06,46.67
"MTL","2017-2018",22,133.85,8.22,88.9,7.02,91.8,6.57,93.26,0.45,-1.46,97.13,99.83,-2.7,12,114,26,7.89,75,17.11,0.1,43.42
"N.J","2017-2018",23,130.48,8.73,91.57,7.57,93.43,9.44,93.32,-1.86,0.11,100.3,102.75,-2.46,7,110,21,5.07,79.71,15.22,0.06,42.75
"NSH","2017-2018",23,154.72,9.46,93.3,7.71,95.15,6.29,94.28,1.42,0.87,102.76,100.57,2.2,6,137,27,3.53,80.59,15.88,0.04,42.94
