"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2013-2014",41,208.35,17,45,176,7.14,73.95,18.91,0.09,94,144,39.5,27,31,7.78,8.93,21,22,-1,6.05,6.34
"ARI","2013-2014",41,232.96,15,34,214,5.7,81.37,12.93,0.07,132,131,50.19,24,29,6.18,7.47,37,13,24,9.53,3.35
"BOS","2013-2014",41,206.65,17,54,179,6.8,71.6,21.6,0.09,120,130,48,19,22,5.52,6.39,44,23,21,12.78,6.68
"BUF","2013-2014",41,248.79,16,56,223,5.42,75.59,18.98,0.07,135,160,45.76,19,28,4.58,6.75,50,22,28,12.06,5.31
"CAR","2013-2014",41,199.65,15,48,173,6.36,73.31,20.34,0.08,113,123,47.88,13,24,3.91,7.21,24,19,5,7.21,5.71
"CBJ","2013-2014",41,217.99,15,42,192,6.02,77.11,16.87,0.07,92,157,36.95,18,26,4.95,7.16,55,28,27,15.14,7.71
"CGY","2013-2014",41,207.9,14,48,195,5.45,75.88,18.68,0.07,96,161,37.35,16,28,4.62,8.08,35,15,20,10.1,4.33
"CHI","2013-2014",41,225.95,12,48,184,4.92,75.41,19.67,0.06,108,136,44.26,24,31,6.37,8.23,26,19,7,6.9,5.05
"COL","2013-2014",41,223.55,14,54,176,5.74,72.13,22.13,0.07,105,139,43.03,16,16,4.29,4.29,42,19,23,11.27,5.1
"DAL","2013-2014",41,205.25,10,41,181,4.31,78.02,17.67,0.05,108,124,46.55,17,26,4.97,7.6,26,18,8,7.6,5.26
"DET","2013-2014",41,245.21,7,52,201,2.69,77.31,20,0.03,126,134,48.46,15,22,3.67,5.38,38,24,14,9.3,5.87
"EDM","2013-2014",41,245.12,13,47,214,4.74,78.1,17.15,0.06,108,166,39.42,23,26,5.63,6.36,46,17,29,11.26,4.16
"FLA","2013-2014",41,214.63,12,36,208,4.69,81.25,14.06,0.05,113,143,44.14,19,17,5.31,4.75,25,14,11,6.99,3.91
"L.A","2013-2014",41,251.96,13,48,223,4.58,78.52,16.9,0.06,135,149,47.54,18,16,4.29,3.81,74,32,42,17.62,7.62
"MIN","2013-2014",41,238.17,14,49,193,5.47,75.39,19.14,0.07,112,144,43.75,18,29,4.53,7.31,37,13,24,9.32,3.27
"MTL","2013-2014",41,255.84,12,46,233,4.12,80.07,15.81,0.05,129,162,44.33,16,28,3.75,6.57,43,26,17,10.08,6.1
"N.J","2013-2014",41,231.11,13,43,172,5.7,75.44,18.86,0.07,93,135,40.79,21,27,5.45,7.01,36,31,5,9.35,8.05
"NSH","2013-2014",41,204.22,6,44,166,2.78,76.85,20.37,0.03,101,115,46.76,20,21,5.88,6.17,32,11,21,9.4,3.23
"NYI","2013-2014",41,229.32,14,45,196,5.49,76.86,17.65,0.07,92,163,36.08,15,30,3.92,7.85,37,15,22,9.68,3.92
"NYR","2013-2014",41,212.52,16,28,179,7.17,80.27,12.56,0.08,99,124,44.39,21,24,5.93,6.78,23,8,15,6.49,2.26
"OTT","2013-2014",41,269.09,23,74,239,6.85,71.13,22.02,0.09,150,186,44.64,31,29,6.91,6.47,70,37,33,15.61,8.25
"PHI","2013-2014",41,279.44,19,70,230,5.96,72.1,21.94,0.08,160,159,50.16,19,19,4.08,4.08,43,26,17,9.23,5.58
"PIT","2013-2014",41,240.35,8,41,194,3.29,79.84,16.87,0.04,93,150,38.27,26,28,6.49,6.99,54,18,36,13.48,4.49
"S.J","2013-2014",41,157.89,8,34,130,4.65,75.58,19.77,0.06,72,100,41.86,10,19,3.8,7.22,13,16,-3,4.94,6.08
"STL","2013-2014",41,250.58,18,52,198,6.72,73.88,19.4,0.08,122,146,45.52,19,36,4.55,8.62,38,25,13,9.1,5.99
"T.B","2013-2014",41,226.36,13,56,192,4.98,73.56,21.46,0.06,116,145,44.44,22,18,5.83,4.77,36,21,15,9.54,5.57
"TOR","2013-2014",41,254.37,17,64,246,5.2,75.23,19.57,0.06,137,190,41.9,18,36,4.25,8.49,51,20,31,12.03,4.72
"VAN","2013-2014",41,248.8,11,39,195,4.49,79.59,15.92,0.05,116,129,47.35,28,31,6.75,7.48,48,21,27,11.58,5.06
"WPG","2013-2014",41,228.86,13,48,186,5.26,75.3,19.43,0.07,96,151,38.87,28,36,7.34,9.44,49,19,30,12.85,4.98
"WSH","2013-2014",41,234.04,15,35,207,5.84,80.54,13.62,0.07,113,144,43.97,15,21,3.85,5.38,27,23,4,6.92,5.9
