"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2017-2018",24,160.17,46,268,-222,14.65,17.23,100.4,3,14,-11,17.65,1.12,5.24,3.51,19.9,-16.4,14.98,1.31,7.46,7,4,-3,9.38,90.85,100.22
"ARI","2017-2018",26,115.67,24,184,-160,11.54,12.45,95.45,0,12,-12,0,0,6.22,1.28,13.28,-12,8.77,0.66,6.89,2,2,0,0,87.76,87.76
"BOS","2017-2018",21,106.53,22,182,-160,10.78,12.39,102.5,0,10,-10,0,0,5.63,1.15,10.94,-9.79,9.54,0.65,6.16,0,2,2,0,90.38,90.38
"BUF","2017-2018",25,134.78,38,244,-206,13.48,16.92,108.62,4,21,-17,16,1.78,9.35,4.49,18.09,-13.6,19.87,2,8.05,4,4,0,19.05,83.72,102.77
"CAR","2017-2018",26,100.62,19,167,-148,10.22,11.33,99.59,2,14,-12,12.5,1.19,8.35,1.96,12.45,-10.48,13.61,1.17,7.42,2,1,-1,14.29,82.5,96.79
"CBJ","2017-2018",23,80,30,150,-120,16.67,22.5,112.5,1,17,-16,5.56,0.75,12.75,2.2,12.86,-10.66,14.63,1.65,9.65,0,4,4,4.55,81.72,86.27
"CGY","2017-2018",22,134.75,28,249,-221,10.11,12.47,110.87,1,15,-14,6.25,0.45,6.68,2.34,19.97,-17.63,10.5,1.04,8.89,8,8,0,4.76,88.89,93.65
"CHI","2017-2018",23,136.93,32,257,-225,11.07,14.02,112.61,1,16,-15,5.88,0.44,7.01,2.4,18.61,-16.22,11.41,1.05,8.15,5,9,4,4.35,88.15,92.5
"COL","2017-2018",19,129.27,24,250,-226,8.76,11.14,116.04,4,18,-14,18.18,1.86,8.35,1.98,18.23,-16.25,9.79,0.92,8.46,0,1,1,23.53,86.15,109.68
"DAL","2017-2018",25,147.15,34,234,-200,12.69,13.86,95.41,1,18,-17,5.26,0.41,7.34,3.87,17.07,-13.2,18.49,1.58,6.96,5,8,3,3.7,85.6,89.3
"DET","2017-2018",19,95.18,33,174,-141,15.94,20.8,109.68,3,14,-11,17.65,1.89,8.83,1.98,11.91,-9.93,14.26,1.25,7.51,3,9,6,13.64,84.27,97.91
"EDM","2017-2018",24,139.42,35,208,-173,14.4,15.06,89.52,5,11,-6,31.25,2.15,4.73,2.56,15.41,-12.84,14.26,1.1,6.63,1,6,5,19.23,89.22,108.45
"FLA","2017-2018",24,116.03,31,221,-190,12.3,16.03,114.28,3,14,-11,17.65,1.55,7.24,2.47,18.09,-15.61,12.03,1.28,9.35,2,2,0,15,89.86,104.86
