"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2013-2014",41,208.35,8.33,83.73,6.67,89.24,10.23,90.36,-3.57,-1.12,92.07,100.59,-8.52,17,176,45,7.14,73.95,18.91,0.09,39.5
"ARI","2013-2014",41,232.96,9.09,88.19,7.14,91.17,6.14,90.5,1,0.67,97.28,96.64,0.63,15,214,34,5.7,81.37,12.93,0.07,50.19
"BOS","2013-2014",41,206.65,19.23,88.46,16.13,91.32,7.9,90.98,8.23,0.34,107.69,98.89,8.81,17,179,54,6.8,71.6,21.6,0.09,48
"BUF","2013-2014",41,248.79,7.69,88.93,6.52,91.74,5.74,90.9,0.78,0.84,96.63,96.64,-0.01,16,223,56,5.42,75.59,18.98,0.07,45.76
"CAR","2013-2014",41,199.65,22.86,88.4,17.78,91.18,8.47,90.58,9.31,0.59,111.25,99.05,12.2,15,173,48,6.36,73.31,20.34,0.08,47.88
"CBJ","2013-2014",41,217.99,10.26,86.22,8.16,90.25,9.71,91.73,-1.55,-1.48,96.48,101.45,-4.97,15,192,42,6.02,77.11,16.87,0.07,36.95
"CGY","2013-2014",41,207.9,14.81,83.77,10.53,88.85,9.89,90.42,0.63,-1.58,98.58,100.32,-1.73,14,195,48,5.45,75.88,18.68,0.07,37.35
"CHI","2013-2014",41,225.95,11.11,88.83,8.57,92.15,6.37,91.01,2.2,1.14,99.95,97.39,2.56,12,184,48,4.92,75.41,19.67,0.06,44.26
"COL","2013-2014",41,223.55,4.17,88.43,3.57,91.41,7.43,90.06,-3.86,1.35,92.59,97.49,-4.9,14,176,54,5.74,72.13,22.13,0.07,43.03
"DAL","2013-2014",41,205.25,3.33,87.04,2.63,90.24,7.26,89.61,-4.63,0.63,90.37,96.87,-6.5,10,181,41,4.31,78.02,17.67,0.05,46.55
"DET","2013-2014",41,245.21,9.68,87.36,8.57,91.45,9.8,91.16,-1.23,0.29,97.04,100.96,-3.92,7,201,52,2.69,77.31,20,0.03,48.46
"EDM","2013-2014",41,245.12,7.14,89.24,5.41,92.5,6.68,91.22,-1.27,1.28,96.38,97.9,-1.52,13,214,47,4.74,78.1,17.15,0.06,39.42
"FLA","2013-2014",41,214.63,16.67,83.72,12.2,87.46,8.07,90.53,4.12,-3.08,100.39,98.6,1.78,12,208,36,4.69,81.25,14.06,0.05,44.14
"L.A","2013-2014",41,251.96,7.89,88.65,6.12,92,7.73,90.6,-1.61,1.4,96.54,98.33,-1.79,13,223,48,4.58,78.52,16.9,0.06,47.54
"MIN","2013-2014",41,238.17,12,86.06,8.82,88.97,6.91,90.06,1.91,-1.09,98.06,96.98,1.08,14,193,49,5.47,75.39,19.14,0.07,43.75
"MTL","2013-2014",41,255.84,9.38,90.19,7.5,93.07,9.88,91.02,-2.38,2.05,99.56,100.9,-1.34,12,233,46,4.12,80.07,15.81,0.05,44.33
"N.J","2013-2014",41,231.11,3.7,89.53,2.94,92.94,7.59,90.92,-4.65,2.02,93.24,98.51,-5.27,13,172,43,5.7,75.44,18.86,0.07,40.79
"NSH","2013-2014",41,204.22,4,86.14,3.33,90.53,4.7,90.41,-1.37,0.12,90.14,95.11,-4.97,6,166,44,2.78,76.85,20.37,0.03,46.76
"NYI","2013-2014",41,229.32,11.76,82.56,7.84,88.32,10.12,90.79,-2.27,-2.48,94.33,100.91,-6.58,14,196,45,5.49,76.86,17.65,0.07,36.08
"NYR","2013-2014",41,212.52,21.21,90,15.91,92.68,7.32,90.04,8.59,2.64,111.21,97.36,13.85,16,179,28,7.17,80.27,12.56,0.08,44.39
"OTT","2013-2014",41,269.09,2.44,86.15,1.85,90.06,6.33,90.83,-4.48,-0.78,88.59,97.17,-8.57,23,239,74,6.85,71.13,22.02,0.09,44.64
"PHI","2013-2014",41,279.44,6.98,88.94,5.17,92.33,5.98,91.7,-0.81,0.64,95.92,97.68,-1.76,19,230,70,5.96,72.1,21.94,0.08,50.16
"PIT","2013-2014",41,240.35,0,90.74,0,93.63,8.55,91.5,-8.55,2.13,90.74,100.04,-9.3,8,194,41,3.29,79.84,16.87,0.04,38.27
"S.J","2013-2014",41,157.89,12.5,86.78,10,91.01,10.67,91.47,-0.67,-0.46,99.28,102.14,-2.86,8,130,34,4.65,75.58,19.77,0.06,41.86
"STL","2013-2014",41,250.58,6.82,90.29,5.88,93.51,5.78,91.29,0.1,2.22,97.1,97.07,0.03,18,198,52,6.72,73.88,19.4,0.08,45.52
"T.B","2013-2014",41,226.36,7.14,85.85,6.06,90.2,8.36,91.99,-2.3,-1.79,93,100.35,-7.36,13,192,56,4.98,73.56,21.46,0.06,44.44
"TOR","2013-2014",41,254.37,25,87.14,21.74,91.09,9.96,90.09,11.78,1,112.14,100.05,12.09,17,246,64,5.2,75.23,19.57,0.06,41.9
"VAN","2013-2014",41,248.8,6.25,87.31,4.55,91.78,5.61,90.33,-1.07,1.45,93.56,95.94,-2.38,11,195,39,4.49,79.59,15.92,0.05,47.35
"WPG","2013-2014",41,228.86,7.69,87.28,6.67,91.2,7.03,90.35,-0.37,0.85,94.98,97.38,-2.41,13,186,48,5.26,75.3,19.43,0.07,38.87
"WSH","2013-2014",41,234.04,9.38,91.98,8.11,94.17,9.08,91.63,-0.97,2.53,101.36,100.71,0.65,15,207,35,5.84,80.54,13.62,0.07,43.97
