"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2017-2018",24,160.17,17,37,131,9.19,70.81,20,0.11,85,100,45.95,20,21,7.49,7.87,31,12,19,11.61,4.5
"ARI","2017-2018",26,115.67,9,17,101,7.09,79.53,13.39,0.08,58,69,45.67,8,18,4.15,9.34,23,10,13,11.93,5.19
"BOS","2017-2018",21,106.53,5,16,96,4.27,82.05,13.68,0.05,60,57,51.28,17,14,9.57,7.88,24,16,8,13.52,9.01
"BUF","2017-2018",25,134.78,6,22,101,4.65,78.29,17.05,0.06,59,70,45.74,11,18,4.9,8.01,32,7,25,14.25,3.12
"CAR","2017-2018",26,100.62,3,14,76,3.23,81.72,15.05,0.04,45,48,48.39,7,13,4.17,7.75,10,12,-2,5.96,7.16
"CBJ","2017-2018",23,80,4,21,75,4,75,21,0.05,46,54,46,13,12,9.75,9,13,11,2,9.75,8.25
"CGY","2017-2018",22,134.75,7,37,118,4.32,72.84,22.84,0.06,67,95,41.36,10,13,4.45,5.79,13,6,7,5.79,2.67
"CHI","2017-2018",23,136.93,9,22,118,6.04,79.19,14.77,0.07,70,79,46.98,11,18,4.82,7.89,12,7,5,5.26,3.07
"COL","2017-2018",19,129.27,5,27,113,3.45,77.93,18.62,0.04,49,96,33.79,8,14,3.71,6.5,26,8,18,12.07,3.71
"DAL","2017-2018",25,147.15,5,33,118,3.21,75.64,21.15,0.04,69,87,44.23,11,22,4.49,8.97,24,8,16,9.79,3.26
"DET","2017-2018",19,95.18,5,19,90,4.39,78.95,16.67,0.05,55,59,48.25,14,9,8.83,5.67,21,4,17,13.24,2.52
"EDM","2017-2018",24,139.42,5,23,110,3.62,79.71,16.67,0.04,55,83,39.86,13,17,5.59,7.32,22,8,14,9.47,3.44
"FLA","2017-2018",24,116.03,6,25,111,4.23,78.17,17.61,0.05,61,81,42.96,20,17,10.34,8.79,7,5,2,3.62,2.59
"L.A","2017-2018",23,132.33,2,23,112,1.46,81.75,16.79,0.02,67,70,48.91,14,12,6.35,5.44,25,7,18,11.34,3.17
"MIN","2017-2018",23,156.93,8,38,129,4.57,73.71,21.71,0.06,77,88,46.67,13,16,4.97,6.12,12,8,4,4.59,3.06
"MTL","2017-2018",22,133.85,12,26,114,7.89,75,17.11,0.1,66,86,43.42,13,13,5.83,5.83,15,12,3,6.72,5.38
"N.J","2017-2018",23,130.48,7,21,110,5.07,79.71,15.22,0.06,59,79,42.75,11,21,5.06,9.66,26,8,18,11.96,3.68
"NSH","2017-2018",23,154.72,6,27,137,3.53,80.59,15.88,0.04,73,97,42.94,13,25,5.04,9.7,26,14,12,10.08,5.43
"NYI","2017-2018",25,123.57,3,23,120,2.05,82.19,15.75,0.02,60,86,41.1,15,14,7.28,6.8,23,5,18,11.17,2.43
"NYR","2017-2018",20,120.03,3,23,102,2.34,79.69,17.97,0.03,49,79,38.28,22,21,11,10.5,16,11,5,8,5.5
"OTT","2017-2018",20,95.47,4,16,84,3.85,80.77,15.38,0.05,48,56,46.15,11,17,6.91,10.68,18,10,8,11.31,6.28
"PHI","2017-2018",22,117.67,10,18,104,7.58,78.79,13.64,0.09,59,73,44.7,12,12,6.12,6.12,21,3,18,10.71,1.53
"PIT","2017-2018",26,147,8,28,118,5.19,76.62,18.18,0.06,71,83,46.1,13,15,5.31,6.12,25,10,15,10.2,4.08
"S.J","2017-2018",24,126.93,9,37,121,5.39,72.46,22.16,0.07,75,92,44.91,12,11,5.67,5.2,20,7,13,9.45,3.31
"STL","2017-2018",24,126.48,8,15,101,6.45,81.45,12.1,0.07,54,70,43.55,6,18,2.85,8.54,19,3,16,9.01,1.42
"T.B","2017-2018",23,119.75,3,23,99,2.4,79.2,18.4,0.03,50,75,40,10,19,5.01,9.52,25,9,16,12.53,4.51
"TOR","2017-2018",26,139.5,6,18,107,4.58,81.68,13.74,0.05,53,78,40.46,22,19,9.46,8.17,18,16,2,7.74,6.88
"VAN","2017-2018",25,133.78,6,31,112,4.03,75.17,20.81,0.05,73,76,48.99,14,11,6.28,4.93,20,9,11,8.97,4.04
"VGK","2017-2018",24,111.85,4,33,87,3.23,70.16,26.61,0.04,50,74,40.32,14,23,7.51,12.34,16,5,11,8.58,2.68
"WPG","2017-2018",27,163.47,3,26,159,1.6,84.57,13.83,0.02,77,111,40.96,11,12,4.04,4.4,39,6,33,14.31,2.2
"WSH","2017-2018",22,137.02,8,23,120,5.3,79.47,15.23,0.06,70,81,46.36,7,10,3.07,4.38,15,5,10,6.57,2.19
