"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2014-2015",41,200.55,177.75,150.79,26.96,54.1,53.18,45.11,2.44,5.77,-3.33,29.72,0.73,1.73,7.12,7.1,0.02,50.07,2.13,2.12,6,6,0,2.45,93.15,95.6
"ARI","2014-2015",41,219.52,161.98,214.6,-52.62,43.01,44.27,58.66,2.63,10.97,-8.34,19.34,0.72,3,7.6,8.95,-1.35,45.92,2.08,2.45,6,6,0,3.1,90.54,93.64
"BOS","2014-2015",41,176.77,167.71,133.71,34,55.64,56.92,45.38,10.59,6.42,4.17,62.26,3.59,2.18,8.44,5.62,2.82,60.03,2.86,1.91,6,4,-2,10.7,91.24,101.94
"BUF","2014-2015",41,203.93,84.79,181.59,-96.8,31.83,24.95,53.43,5.19,7.27,-2.08,41.65,1.53,2.14,4.14,7.3,-3.16,36.19,1.22,2.15,5,8,3,9.39,92.65,102.04
"CAR","2014-2015",41,151.46,101.3,107.76,-6.46,48.45,40.13,42.69,2.84,5.32,-2.48,34.8,1.13,2.11,4.84,5.99,-1.15,44.69,1.92,2.37,3,5,2,4.95,91.19,96.14
"CBJ","2014-2015",41,234.85,136.65,181.71,-45.06,42.92,34.91,46.42,2.51,9.43,-6.92,21.02,0.64,2.41,6.31,7.9,-1.59,44.41,1.61,2.02,6,6,0,3.08,92.03,95.12
"CGY","2014-2015",41,145.27,124.43,102.65,21.78,54.8,51.39,42.4,7.33,5.46,1.87,57.31,3.03,2.26,7.06,4.72,2.34,59.93,2.92,1.95,2,4,2,9.69,89.67,99.36
"CHI","2014-2015",41,161.85,115.19,119.59,-4.4,49.06,42.7,44.33,9.04,4.23,4.81,68.12,3.35,1.57,7.47,4.82,2.65,60.78,2.77,1.79,2,9,7,11.44,94.38,105.82
"COL","2014-2015",41,214.07,133.39,172.21,-38.82,43.65,37.39,48.27,2.61,5.23,-2.62,33.29,0.73,1.47,4.11,8.43,-4.32,32.78,1.15,2.36,5,5,0,3.94,94.73,98.67
"DAL","2014-2015",41,199.28,195.06,158.64,36.42,55.15,58.73,47.76,7.4,7.96,-0.56,48.18,2.23,2.4,11.12,7.7,3.42,59.09,3.35,2.32,5,13,8,6.95,90.68,97.63
"DET","2014-2015",41,224.82,118.35,157.16,-38.81,42.96,31.59,41.94,0,7.08,-7.08,0,0,1.89,7.07,7.02,0.05,50.18,1.89,1.87,10,10,0,0,92.22,92.22
"EDM","2014-2015",41,174.7,103.73,138.11,-34.38,42.89,35.63,47.43,0,8.32,-8.32,0,0,2.86,6.05,6.55,-0.5,48.02,2.08,2.25,5,3,-2,0,89.56,89.56
"FLA","2014-2015",41,187.94,99.26,132.73,-33.47,42.79,31.69,42.37,0,6.31,-6.31,0,0,2.01,4.25,5.79,-1.54,42.33,1.36,1.85,8,9,1,0,92.38,92.38
"L.A","2014-2015",41,224.73,159.96,171.13,-11.17,48.31,42.71,45.69,4.89,7.46,-2.57,39.6,1.31,1.99,7.06,7.39,-0.33,48.86,1.88,1.97,8,10,2,5.52,91.19,96.71
"MIN","2014-2015",41,201.57,162.95,149.72,13.23,52.12,48.5,44.57,4.7,4.78,-0.08,49.58,1.4,1.42,6.14,5.47,0.67,52.89,1.83,1.63,8,10,2,4.83,93.8,98.63
"MTL","2014-2015",41,210.63,137.5,178.34,-40.84,43.53,39.17,50.8,7.48,6.12,1.36,55,2.13,1.74,6.48,8.59,-2.11,43,1.85,2.45,10,6,-4,9.95,93.53,103.48
"N.J","2014-2015",41,207.03,88.98,155.75,-66.77,36.36,25.79,45.14,5.21,7,-1.79,42.67,1.51,2.03,5.62,7.34,-1.72,43.36,1.63,2.13,4,5,1,10.97,93,103.96
