"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2014-2015",41,200.55,2.45,93.15,1.6,95.04,4.67,93.9,-3.07,1.14,95.6,98.57,-2.97,12,167,38,5.53,76.96,17.51,0.07,49.31
"ARI","2014-2015",41,219.52,3.1,90.54,2.55,93.21,7.37,94.46,-4.82,-1.25,93.64,101.84,-8.2,14,193,37,5.74,79.1,15.16,0.07,45.49
"BOS","2014-2015",41,176.77,10.7,91.24,7.6,93.73,6.05,94.51,1.54,-0.78,101.94,100.56,1.38,16,149,39,7.84,73.04,19.12,0.1,55.39
"BUF","2014-2015",41,203.93,9.39,92.65,7.74,94.78,6.18,94.75,1.57,0.02,102.04,100.93,1.11,9,183,42,3.85,78.21,17.95,0.05,41.88
"CAR","2014-2015",41,151.46,4.95,91.19,3.36,93.63,5.72,92.83,-2.36,0.8,96.14,98.55,-2.41,10,133,28,5.85,77.78,16.37,0.07,50.88
"CBJ","2014-2015",41,234.85,3.08,92.03,2.39,93.71,6.02,94.73,-3.62,-1.02,95.12,100.75,-5.64,15,212,45,5.51,77.94,16.54,0.07,54.78
"CGY","2014-2015",41,145.27,9.69,89.67,7.52,92.94,7.24,93.89,0.28,-0.96,99.36,101.14,-1.77,17,115,31,10.43,70.55,19.02,0.13,43.56
"CHI","2014-2015",41,161.85,11.44,94.38,10.17,95.43,8.4,94.79,1.77,0.64,105.82,103.19,2.62,9,128,27,5.49,78.05,16.46,0.07,50.61
"COL","2014-2015",41,214.07,3.94,94.73,2.82,96.08,4.44,93.69,-1.62,2.4,98.67,98.12,0.55,10,198,46,3.94,77.95,18.11,0.05,52.36
"DAL","2014-2015",41,199.28,6.95,90.68,4.81,92.97,7.23,93.2,-2.42,-0.23,97.63,100.42,-2.79,11,181,49,4.56,75.1,20.33,0.06,49.38
"DET","2014-2015",41,224.82,0,92.22,0,94.26,7.36,94.31,-7.36,-0.05,92.22,101.67,-9.45,19,191,34,7.79,78.28,13.93,0.09,42.62
"EDM","2014-2015",41,174.7,0,89.56,0,92.32,7.4,93.96,-7.4,-1.63,89.56,101.36,-11.8,7,152,25,3.8,82.61,13.59,0.04,48.91
"FLA","2014-2015",41,187.94,0,92.38,0,94.1,5.8,94.59,-5.8,-0.49,92.38,100.38,-8.01,11,171,47,4.8,74.67,20.52,0.06,48.47
"L.A","2014-2015",41,224.73,5.52,91.19,3.8,94.02,5.49,94.08,-1.69,-0.06,96.71,99.57,-2.86,12,186,39,5.06,78.48,16.46,0.06,46.41
"MIN","2014-2015",41,201.57,4.83,93.8,3.63,95.53,4.74,94.89,-1.11,0.64,98.63,99.63,-1,13,166,38,5.99,76.5,17.51,0.07,48.39
"MTL","2014-2015",41,210.63,9.95,93.53,7.11,95.2,6.16,93.26,0.95,1.94,103.48,99.42,4.07,14,183,42,5.86,76.57,17.57,0.07,56.49
"N.J","2014-2015",41,207.03,10.97,93,7.42,94.21,8,93.93,-0.58,0.28,103.96,101.93,2.04,11,186,37,4.7,79.49,15.81,0.06,47.86
"NSH","2014-2015",41,181.43,9.05,91.18,6.89,93.35,7.95,93.37,-1.05,-0.02,100.23,101.32,-1.09,7,148,34,3.7,78.31,17.99,0.05,53.97
"NYI","2014-2015",41,168.6,12.74,89.18,10.94,91.65,8.24,92.63,2.7,-0.98,101.92,100.87,1.05,14,157,38,6.7,75.12,18.18,0.08,47.85
"NYR","2014-2015",41,192.75,13.54,92.67,10.7,94.98,7.96,93.45,2.74,1.54,106.22,101.41,4.81,16,155,43,7.48,72.43,20.09,0.09,47.2
"OTT","2014-2015",41,198.6,10.54,92.68,7.99,94.88,7.7,94.54,0.29,0.35,103.22,102.24,0.98,15,169,37,6.79,76.47,16.74,0.08,41.63
"PHI","2014-2015",41,221.77,2.55,89.54,1.78,92.84,4.68,93.33,-2.9,-0.49,92.08,98.01,-5.93,9,173,49,3.9,74.89,21.21,0.05,51.52
"PIT","2014-2015",41,232.57,8.26,93.74,7.46,95.3,6.96,94.06,0.5,1.24,102,101.02,0.98,15,189,48,5.95,75,19.05,0.07,48.81
"S.J","2014-2015",41,173.85,7.55,91.11,6.12,93.42,6.02,94.14,0.1,-0.72,98.66,100.16,-1.5,10,147,29,5.38,79.03,15.59,0.06,52.15
"STL","2014-2015",41,201.3,3.83,91.72,2.66,94.36,4.07,94.12,-1.41,0.24,95.55,98.19,-2.64,22,181,31,9.4,77.35,13.25,0.11,52.56
"T.B","2014-2015",41,193.69,7.95,93.73,5.38,95.11,6.44,94.97,-1.06,0.13,101.68,101.42,0.27,8,170,35,3.76,79.81,16.43,0.04,45.54
"TOR","2014-2015",41,222.38,8.12,91.9,6.65,94.47,5.53,93.48,1.12,0.99,100.02,99.01,1.01,19,222,37,6.83,79.86,13.31,0.08,45.68
"VAN","2014-2015",41,197.05,0,92.72,0,94.79,5.16,94.08,-5.16,0.71,92.72,99.24,-6.52,6,181,33,2.73,82.27,15,0.03,38.18
"WPG","2014-2015",41,250.06,4.97,91.6,3.57,93.66,8.59,92.93,-5.02,0.73,96.56,101.52,-4.96,13,220,62,4.41,74.58,21.02,0.06,48.47
"WSH","2014-2015",41,219.48,1.95,92.61,1.5,95.11,5.31,94.55,-3.81,0.57,94.55,99.86,-5.3,11,190,42,4.53,78.19,17.28,0.05,48.56
