"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2015-2016",41,244.24,14,39,204,5.45,79.38,15.18,0.06,134,123,52.14,33,29,8.11,7.12,56,22,34,13.76,5.4
"ARI","2015-2016",41,245.77,17,42,199,6.59,77.13,16.28,0.08,141,117,54.65,5,28,1.22,6.84,51,26,25,12.45,6.35
"BOS","2015-2016",41,201.32,15,37,177,6.55,77.29,16.16,0.08,113,116,49.34,13,26,3.87,7.75,40,17,23,11.92,5.07
"BUF","2015-2016",41,172.74,13,40,139,6.77,72.4,20.83,0.09,94,98,48.96,11,18,3.82,6.25,15,9,6,5.21,3.13
"CAR","2015-2016",41,165.64,11,29,130,6.47,76.47,17.06,0.08,87,83,51.18,8,36,2.9,13.04,31,17,14,11.23,6.16
"CBJ","2015-2016",41,212.59,8,46,180,3.42,76.92,19.66,0.04,119,115,50.85,6,24,1.69,6.77,33,16,17,9.31,4.52
"CGY","2015-2016",41,160.47,8,41,132,4.42,72.93,22.65,0.06,78,103,43.09,24,24,8.97,8.97,10,5,5,3.74,1.87
"CHI","2015-2016",41,168.17,8,23,145,4.55,82.39,13.07,0.05,83,93,47.16,29,19,10.35,6.78,20,25,-5,7.14,8.92
"COL","2015-2016",41,200.35,14,34,166,6.54,77.57,15.89,0.08,91,123,42.52,6,26,1.8,7.79,38,12,26,11.38,3.59
"DAL","2015-2016",41,196.47,11,34,164,5.26,78.47,16.27,0.06,91,118,43.54,18,30,5.5,9.16,40,10,30,12.22,3.05
"DET","2015-2016",41,221.63,9,57,184,3.6,73.6,22.8,0.05,130,120,52,29,25,7.85,6.77,57,18,39,15.43,4.87
"EDM","2015-2016",41,223.6,14,33,202,5.62,81.12,13.25,0.06,122,127,49,55,36,14.76,9.66,35,19,16,9.39,5.1
"FLA","2015-2016",41,209.02,13,41,189,5.35,77.78,16.87,0.06,113,130,46.5,26,24,7.46,6.89,40,27,13,11.48,7.75
"L.A","2015-2016",41,220.65,13,42,188,5.35,77.37,17.28,0.06,111,132,45.68,47,15,12.78,4.08,64,17,47,17.4,4.62
"MIN","2015-2016",41,153.59,7,24,137,4.17,81.55,14.29,0.05,92,76,54.76,5,24,1.95,9.38,17,14,3,6.64,5.47
"MTL","2015-2016",41,185.74,6,41,161,2.88,77.4,19.71,0.04,109,99,52.4,52,32,16.8,10.34,31,19,12,10.01,6.14
"N.J","2015-2016",41,207.84,14,37,164,6.51,76.28,17.21,0.08,98,117,45.58,15,25,4.33,7.22,29,14,15,8.37,4.04
"NSH","2015-2016",41,195.07,9,37,154,4.5,77,18.5,0.06,93,107,46.5,18,27,5.54,8.3,22,14,8,6.77,4.31
"NYI","2015-2016",41,185.15,13,38,171,5.86,77.03,17.12,0.07,101,121,45.5,23,42,7.45,13.61,46,20,26,14.91,6.48
"NYR","2015-2016",41,197.83,12,31,152,6.15,77.95,15.9,0.07,96,99,49.23,21,42,6.37,12.74,35,19,16,10.62,5.76
"OTT","2015-2016",40,183.75,15,45,169,6.55,73.8,19.65,0.08,114,115,49.78,20,22,6.53,7.18,68,12,56,22.2,3.92
"PHI","2015-2016",41,197.36,7,44,169,3.18,76.82,20,0.04,105,115,47.73,28,23,8.51,6.99,44,21,23,13.38,6.38
"PIT","2015-2016",41,188.21,11,33,160,5.39,78.43,16.18,0.06,88,116,43.14,9,21,2.87,6.69,40,13,27,12.75,4.14
"S.J","2015-2016",41,187.97,5,41,169,2.33,78.6,19.07,0.03,97,118,45.12,24,31,7.66,9.9,33,19,14,10.53,6.06
"STL","2015-2016",41,229.13,11,48,199,4.26,77.13,18.6,0.05,123,135,47.67,9,32,2.36,8.38,32,18,14,8.38,4.71
"T.B","2015-2016",41,221.32,11,45,180,4.66,76.27,19.07,0.06,108,128,45.76,27,34,7.32,9.22,48,20,28,13.01,5.42
"TOR","2015-2016",41,205.07,15,47,177,6.28,74.06,19.67,0.08,119,120,49.79,30,47,8.78,13.75,48,22,26,14.04,6.44
"VAN","2015-2016",41,195.68,9,31,176,4.17,81.48,14.35,0.05,84,132,38.89,17,14,5.21,4.29,28,16,12,8.59,4.91
"WPG","2015-2016",41,224.7,12,46,206,4.55,78.03,17.42,0.06,126,138,47.73,53,35,14.15,9.35,61,13,48,16.29,3.47
"WSH","2015-2016",41,200.78,7,47,171,3.11,76,20.89,0.04,108,117,48,35,29,10.46,8.67,35,10,25,10.46,2.99
