"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2014-2015",41,200.55,55,302,-247,15.41,16.45,90.35,1,18,-17,5.26,0.3,5.39,2.78,22.72,-19.94,10.9,0.83,6.8,6,6,0,2.86,88.96,91.81
"ARI","2014-2015",41,219.52,50,423,-373,10.57,13.67,115.62,1,32,-31,3.03,0.27,8.75,3.08,26.57,-23.49,10.39,0.84,7.26,6,6,0,3.45,85.52,88.97
"BOS","2014-2015",41,176.77,52,264,-212,16.46,17.65,89.61,4,19,-15,17.39,1.36,6.45,3.39,17.14,-13.75,16.51,1.15,5.82,6,4,-2,11.43,86.52,97.95
"BUF","2014-2015",41,203.93,27,353,-326,7.11,7.94,103.86,2,23,-21,8,0.59,6.77,1.62,22.26,-20.64,6.78,0.48,6.55,5,8,3,10,87.63,97.63
"CAR","2014-2015",41,151.46,31,220,-189,12.35,12.28,87.15,1,16,-15,5.88,0.4,6.34,1.9,17.9,-16,9.6,0.75,7.09,3,5,2,5,86.55,91.55
"CBJ","2014-2015",41,234.85,41,361,-320,10.2,10.47,92.23,1,29,-28,3.33,0.26,7.41,2.46,24.66,-22.2,9.07,0.63,6.3,6,6,0,3.57,87.34,90.91
"CGY","2014-2015",41,145.27,40,203,-163,16.46,16.52,83.84,3,16,-13,15.79,1.24,6.61,2.87,13.96,-11.09,17.05,1.19,5.77,2,4,2,11.11,84.31,95.42
"CHI","2014-2015",41,161.85,32,249,-217,11.39,11.86,92.31,3,13,-10,18.75,1.11,4.82,2.51,14.61,-12.1,14.66,0.93,5.42,2,9,7,13.04,91.33,104.38
"COL","2014-2015",41,214.07,41,348,-307,10.54,11.49,97.54,1,15,-14,6.25,0.28,4.2,1.65,24.77,-23.12,6.25,0.46,6.94,5,5,0,4.35,92.23,96.58
"DAL","2014-2015",41,199.28,60,320,-260,15.79,18.07,96.35,3,25,-22,10.71,0.9,7.53,4.32,23.5,-19.18,15.53,1.3,7.08,5,13,8,8.11,85.29,93.4
"DET","2014-2015",41,224.82,34,328,-294,9.39,9.07,87.54,0,22,-22,0,0,5.87,2.58,22,-19.42,10.5,0.69,5.87,10,10,0,0,87.85,87.85
"EDM","2014-2015",41,174.7,33,267,-234,11,11.33,91.7,0,26,-26,0,0,8.93,2.27,19.85,-17.58,10.26,0.78,6.82,5,3,-2,0,82.78,82.78
"FLA","2014-2015",41,187.94,30,271,-241,9.97,9.58,86.52,0,20,-20,0,0,6.39,1.62,17.91,-16.29,8.29,0.52,5.72,8,9,1,0,87.8,87.8
"L.A","2014-2015",41,224.73,48,343,-295,12.28,12.82,91.58,2,22,-20,8.33,0.53,5.87,2.78,21.67,-18.89,11.37,0.74,5.79,8,10,2,6.45,86.75,93.2
"MIN","2014-2015",41,201.57,48,299,-251,13.83,14.29,89,2,15,-13,11.76,0.6,4.46,2.4,16.39,-13.99,12.77,0.71,4.88,8,10,2,6.25,89.86,96.11
"MTL","2014-2015",41,210.63,41,366,-325,10.07,11.68,104.26,3,19,-16,13.64,0.85,5.41,2.46,25.99,-23.53,8.65,0.7,7.4,10,6,-4,12,89.84,101.84
"N.J","2014-2015",41,207.03,26,314,-288,7.65,7.54,91,2,21,-19,8.7,0.58,6.09,2.19,22.06,-19.87,9.03,0.63,6.39,4,5,1,11.76,89.06,100.83
"NSH","2014-2015",41,181.43,32,279,-247,10.29,10.58,92.27,2,20,-18,9.09,0.66,6.61,2.51,20,-17.49,11.15,0.83,6.61,6,4,-2,9.52,86.21,95.73
"NYI","2014-2015",41,168.6,55,286,-231,16.13,19.57,101.78,6,26,-20,18.75,2.14,9.25,4.57,23.11,-18.54,16.51,1.63,8.22,5,8,3,14.63,83.85,98.49
"NYR","2014-2015",41,192.75,58,285,-227,16.91,18.05,88.72,5,17,-12,22.73,1.56,5.29,3.7,20.91,-17.21,15.03,1.15,6.51,3,7,4,14.71,88.28,102.98
"OTT","2014-2015",41,198.6,53,347,-294,13.25,16.01,104.83,4,22,-18,15.38,1.21,6.65,4.05,22.84,-18.79,15.06,1.22,6.9,1,7,6,11.11,88.17,99.28
"PHI","2014-2015",41,221.77,52,330,-278,13.61,14.07,89.28,1,24,-23,4,0.27,6.49,2.48,23.07,-20.59,9.71,0.67,6.24,4,11,7,3.03,84.42,87.45
"PIT","2014-2015",41,232.57,43,364,-321,10.57,11.09,93.91,3,21,-18,12.5,0.77,5.42,2.87,25.95,-23.08,9.96,0.74,6.69,13,15,2,9.09,89.86,98.95
"S.J","2014-2015",41,173.85,44,289,-245,13.21,15.19,99.74,3,20,-17,13.04,1.04,6.9,2.76,16.71,-13.95,14.18,0.95,5.77,3,9,6,9.38,85.51,94.88
"STL","2014-2015",41,201.3,38,288,-250,11.66,11.33,85.84,1,19,-18,5,0.3,5.66,1.5,19.51,-18.01,7.14,0.45,5.82,4,13,9,4.35,86.9,91.24
"T.B","2014-2015",41,193.69,43,338,-295,11.29,13.32,104.7,2,17,-15,10.53,0.62,5.27,2.46,18.5,-16.04,11.74,0.76,5.73,7,13,6,9.09,90.96,100.05
"TOR","2014-2015",41,222.38,53,404,-351,11.6,14.3,109,4,27,-23,12.9,1.08,7.28,3.16,31.6,-28.44,9.09,0.85,8.53,5,12,7,9.52,87.61,97.14
"VAN","2014-2015",41,197.05,47,290,-243,13.95,14.31,88.3,0,17,-17,0,0,5.18,2.41,18.56,-16.15,11.49,0.73,5.65,5,4,-1,0,88.36,88.36
"WPG","2014-2015",41,250.06,58,388,-330,13,13.92,93.1,2,26,-24,7.14,0.48,6.24,4.77,31.53,-26.76,13.14,1.14,7.57,15,12,-3,5.56,87.44,93
"WSH","2014-2015",41,219.48,57,374,-317,13.23,15.58,102.24,1,20,-19,4.76,0.27,5.47,3.39,22.57,-19.18,13.06,0.93,6.17,3,9,6,2.38,88.44,90.82
