"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2017-2018",24,144.3,8.82,88.81,6.67,92.04,7.69,89.52,-1.02,2.52,97.63,97.21,0.43,4,129,23,2.56,82.69,14.74,0.03,53.21
"ARI","2017-2018",22,77.63,22.22,77.59,15.38,85.39,9.02,89.89,6.36,-4.49,99.81,98.91,0.9,2,64,18,2.38,76.19,21.43,0.03,42.86
"BOS","2017-2018",24,109.25,10,88.37,8.7,92,8.76,91.9,-0.07,0.1,98.37,100.66,-2.29,3,93,23,2.52,78.15,19.33,0.03,47.9
"BUF","2017-2018",21,100.22,0,90.91,0,93.16,4.98,92.08,-4.98,1.08,90.91,97.06,-6.15,6,71,11,6.82,80.68,12.5,0.08,58.75
"CAR","2017-2018",21,88.5,0,83.53,0,88.8,4.56,88.74,-4.56,0.06,83.53,93.3,-9.77,1,71,14,1.16,82.56,16.28,0.01,47.67
"CBJ","2017-2018",24,114.08,0,90.53,0,92.91,7.45,89.57,-7.45,3.34,90.53,97.03,-6.5,9,88,23,7.5,73.33,19.17,0.09,50.83
"CGY","2017-2018",24,113.92,9.52,85.45,6.9,88.89,6.46,90.78,0.43,-1.89,94.98,97.24,-2.26,12,98,21,9.16,74.81,16.03,0.11,41.98
"CHI","2017-2018",23,109.05,7.14,88.89,6.9,91.91,10.22,88.38,-3.33,3.54,96.03,98.6,-2.57,9,84,24,7.69,71.79,20.51,0.1,42.74
"COL","2017-2018",26,150.13,5.26,94.24,4.35,95.7,7.28,92.44,-2.93,3.25,99.51,99.73,-0.22,4,123,23,2.67,82,15.33,0.03,44.67
"DAL","2017-2018",23,128.1,8.7,89.92,7.41,92.73,8.14,91.18,-0.73,1.54,98.61,99.32,-0.71,7,118,30,4.52,76.13,19.35,0.06,52.9
"DET","2017-2018",25,125.03,12.5,87.18,10.26,91.23,7.24,87.99,3.02,3.24,99.68,95.23,4.45,8,99,23,6.15,76.15,17.69,0.07,44.62
