"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2014-2015",41,200.55,12,38,167,5.53,76.96,17.51,0.07,107,110,49.31,22,18,6.58,5.39,55,15,40,16.45,4.49
"ARI","2014-2015",41,219.52,14,37,193,5.74,79.1,15.16,0.07,111,133,45.49,9,36,2.46,9.84,54,32,22,14.76,8.75
"BOS","2014-2015",41,176.77,16,39,149,7.84,73.04,19.12,0.1,113,91,55.39,5,21,1.7,7.13,45,13,32,15.27,4.41
"BUF","2014-2015",41,203.93,9,42,183,3.85,78.21,17.95,0.05,98,136,41.88,7,13,2.06,3.82,41,8,33,12.06,2.35
"CAR","2014-2015",41,151.46,10,28,133,5.85,77.78,16.37,0.07,87,84,50.88,7,25,2.77,9.9,47,30,17,18.62,11.88
"CBJ","2014-2015",41,234.85,15,45,212,5.51,77.94,16.54,0.07,149,123,54.78,8,33,2.04,8.43,67,28,39,17.12,7.15
"CGY","2014-2015",41,145.27,17,31,115,10.43,70.55,19.02,0.13,71,92,43.56,24,51,9.91,21.06,17,7,10,7.02,2.89
"CHI","2014-2015",41,161.85,9,27,128,5.49,78.05,16.46,0.07,83,81,50.61,23,29,8.53,10.75,16,16,0,5.93,5.93
"COL","2014-2015",41,214.07,10,46,198,3.94,77.95,18.11,0.05,133,121,52.36,8,57,2.24,15.98,50,9,41,14.01,2.52
"DAL","2014-2015",41,199.28,11,49,181,4.56,75.1,20.33,0.06,119,122,49.38,16,37,4.82,11.14,52,16,36,15.66,4.82
"DET","2014-2015",41,224.82,19,34,191,7.79,78.28,13.93,0.09,104,140,42.62,19,20,5.07,5.34,40,22,18,10.68,5.87
"EDM","2014-2015",41,174.7,7,25,152,3.8,82.61,13.59,0.04,90,94,48.91,39,34,13.39,11.68,29,5,24,9.96,1.72
"FLA","2014-2015",41,187.94,11,47,171,4.8,74.67,20.52,0.06,111,118,48.47,4,14,1.28,4.47,43,20,23,13.73,6.39
"L.A","2014-2015",41,224.73,12,39,186,5.06,78.48,16.46,0.06,110,127,46.41,55,13,14.68,3.47,87,20,67,23.23,5.34
"MIN","2014-2015",41,201.57,13,38,166,5.99,76.5,17.51,0.07,105,112,48.39,9,32,2.68,9.53,23,18,5,6.85,5.36
"MTL","2014-2015",41,210.63,14,42,183,5.86,76.57,17.57,0.07,135,104,56.49,65,23,18.52,6.55,35,27,8,9.97,7.69
"N.J","2014-2015",41,207.03,11,37,186,4.7,79.49,15.81,0.06,112,122,47.86,12,26,3.48,7.54,28,16,12,8.11,4.64
"NSH","2014-2015",41,181.43,7,34,148,3.7,78.31,17.99,0.05,102,87,53.97,24,29,7.94,9.59,17,6,11,5.62,1.98
"NYI","2014-2015",41,168.6,14,38,157,6.7,75.12,18.18,0.08,100,109,47.85,30,55,10.68,19.57,42,13,29,14.95,4.63
"NYR","2014-2015",41,192.75,16,43,155,7.48,72.43,20.09,0.09,101,113,47.2,25,49,7.78,15.25,42,22,20,13.07,6.85
"OTT","2014-2015",41,198.6,15,37,169,6.79,76.47,16.74,0.08,92,129,41.63,23,36,6.95,10.88,69,16,53,20.85,4.83
"PHI","2014-2015",41,221.77,9,49,173,3.9,74.89,21.21,0.05,119,112,51.52,26,17,7.03,4.6,59,23,36,15.96,6.22
"PIT","2014-2015",41,232.57,15,48,189,5.95,75,19.05,0.07,123,129,48.81,9,21,2.32,5.42,63,23,40,16.25,5.93
"S.J","2014-2015",41,173.85,10,29,147,5.38,79.03,15.59,0.06,97,89,52.15,24,26,8.28,8.97,27,15,12,9.32,5.18
"STL","2014-2015",41,201.3,22,31,181,9.4,77.35,13.25,0.11,123,111,52.56,4,23,1.19,6.86,25,15,10,7.45,4.47
"T.B","2014-2015",41,193.69,8,35,170,3.76,79.81,16.43,0.04,97,116,45.54,17,30,5.27,9.29,27,17,10,8.36,5.27
"TOR","2014-2015",41,222.38,19,37,222,6.83,79.86,13.31,0.08,127,151,45.68,42,48,11.33,12.95,86,27,59,23.2,7.28
"VAN","2014-2015",41,197.05,6,33,181,2.73,82.27,15,0.03,84,136,38.18,23,29,7,8.83,24,19,5,7.31,5.79
"WPG","2014-2015",41,250.06,13,62,220,4.41,74.58,21.02,0.06,143,152,48.47,54,32,12.96,7.68,58,15,43,13.92,3.6
"WSH","2014-2015",41,219.48,11,42,190,4.53,78.19,17.28,0.05,118,125,48.56,31,33,8.47,9.02,40,19,21,10.93,5.19
