"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2015-2016",41,195.32,171.38,114.95,56.43,59.85,52.65,35.31,9.55,5.07,4.48,65.32,2.93,1.56,7.88,5.61,2.27,58.41,2.42,1.72,7,3,-4,9.69,92.2,101.89
"ARI","2015-2016",41,235.63,166.5,184.84,-18.34,47.39,42.4,47.07,5.97,27.83,-21.86,17.66,1.52,7.09,7.52,15.1,-7.58,33.24,1.91,3.85,10,7,-3,6.76,79.45,86.21
"BOS","2015-2016",41,185.37,189.45,136.56,52.89,58.11,61.32,44.2,6.66,2.54,4.12,72.39,2.16,0.82,7.36,8.73,-1.37,45.74,2.38,2.83,2,3,1,7.15,96.83,103.98
"BUF","2015-2016",41,202.76,164.58,138.04,26.54,54.39,48.7,40.85,6.95,10.64,-3.69,39.51,2.06,3.15,7.35,7.63,-0.28,49.07,2.17,2.26,5,5,0,7.56,86.55,94.11
"CAR","2015-2016",41,215.7,173.64,129.78,43.86,57.23,48.3,36.1,6.48,5.2,1.28,55.48,1.8,1.45,6.59,7.53,-0.94,46.67,1.83,2.09,6,3,-3,6.55,94.39,100.94
"CBJ","2015-2016",41,192.9,136.22,127.03,9.19,51.75,42.37,39.51,6.56,7.28,-0.72,47.4,2.04,2.26,7.05,7.08,-0.03,49.89,2.19,2.2,3,7,4,8.64,90.66,99.3
"CGY","2015-2016",41,226.67,165.92,175.59,-9.67,48.58,43.92,46.48,7.4,7.3,0.1,50.34,1.96,1.93,7.86,7.86,0,50,2.08,2.08,9,7,-2,7.84,92.6,100.44
"CHI","2015-2016",41,192.65,129.68,86.99,42.69,59.85,40.39,27.09,7.97,0,7.97,100,2.48,0,6.29,5.17,1.12,54.89,1.96,1.61,10,9,-1,10.95,100,110.95
"COL","2015-2016",41,213.57,148.85,148.88,-0.03,49.99,41.82,41.83,6.51,10.37,-3.86,38.57,1.83,2.91,6.27,11.99,-5.72,34.34,1.76,3.37,5,8,3,7.71,89.45,97.16
"DAL","2015-2016",41,187.44,156.1,142.04,14.06,52.36,49.97,45.47,9.24,15.25,-6.01,37.73,2.96,4.88,6.59,10.64,-4.05,38.25,2.11,3.41,9,4,-5,10.63,83.4,94.03
"DET","2015-2016",41,203.75,177.55,159.74,17.81,52.64,52.28,47.04,8.4,2.06,6.34,80.31,2.47,0.61,8.29,8.88,-0.59,48.28,2.44,2.61,12,2,-10,8.86,97.62,106.49
"EDM","2015-2016",41,183.05,125.21,165.66,-40.45,43.05,41.04,54.3,6.53,10.27,-3.74,38.87,2.14,3.37,6.39,11.49,-5.1,35.74,2.09,3.77,4,1,-3,9.7,90.18,99.88
"FLA","2015-2016",41,204.47,144.85,142.6,2.25,50.39,42.51,41.84,4.96,2.86,2.1,63.43,1.46,0.84,6.53,5.37,1.16,54.87,1.92,1.58,7,6,-1,6.61,96.6,103.22
"L.A","2015-2016",41,174.67,172.13,102.12,70.01,62.76,59.13,35.08,8.34,2.48,5.86,77.08,2.86,0.85,7.38,5.97,1.41,55.28,2.54,2.05,10,3,-7,8.3,94.9,103.2
"MIN","2015-2016",41,210.67,175.69,106.19,69.5,62.33,50.04,30.24,7.35,0,7.35,100,2.09,0,7.9,3.51,4.39,69.24,2.25,1,7,7,0,7.85,100,107.85
"MTL","2015-2016",40,194.8,143.24,130.71,12.53,52.29,44.12,40.26,6.48,12.69,-6.21,33.8,2,3.91,6.96,7.41,-0.45,48.43,2.14,2.28,12,9,-3,8.29,82.1,90.4
"N.J","2015-2016",41,199.43,142.66,164.89,-22.23,46.39,42.92,49.61,8.7,12.08,-3.38,41.87,2.62,3.63,6.41,11.34,-4.93,36.11,1.93,3.41,7,7,0,10.72,89.28,100
"NSH","2015-2016",41,205.24,160.72,120.49,40.23,57.15,46.98,35.22,7.96,0,7.96,100,2.33,0,7,6.23,0.77,52.91,2.05,1.82,7,3,-4,8.61,100,108.61
"NYI","2015-2016",41,178.18,136.06,120.37,15.69,53.06,45.82,40.53,5.97,7.96,-1.99,42.86,2.01,2.68,6.01,5.22,0.79,53.52,2.02,1.76,9,3,-6,9.01,88.74,97.74
"NYR","2015-2016",41,169.25,150.68,132.62,18.06,53.19,53.42,47.01,5.06,2.54,2.52,66.58,1.79,0.9,6.34,5.14,1.2,55.23,2.25,1.82,4,3,-1,6.02,96.27,102.29
"OTT","2015-2016",41,179.15,131.16,121.82,9.34,51.85,43.93,40.8,7.73,5.49,2.24,58.47,2.59,1.84,5.19,5.95,-0.76,46.59,1.74,1.99,6,4,-2,11.26,91.8,103.07
"PHI","2015-2016",41,227.95,183.29,183.7,-0.41,49.94,48.24,48.35,8.57,13.28,-4.71,39.22,2.26,3.5,7.83,12.12,-4.29,39.25,2.06,3.19,4,5,1,8.15,86.93,95.08
"PIT","2015-2016",41,205.55,159.6,147.36,12.24,51.99,46.59,43.01,6.4,5.13,1.27,55.51,1.87,1.5,7.3,9.98,-2.68,42.25,2.13,2.91,6,5,-1,6.83,93.67,100.5
"S.J","2015-2016",41,203.68,163.9,185.2,-21.3,46.95,48.28,54.56,8.7,10.57,-1.87,45.15,2.56,3.11,7.74,6.18,1.56,55.6,2.28,1.82,7,7,0,9.46,89.15,98.61
"STL","2015-2016",41,160.89,120.06,118.18,1.88,50.39,44.77,44.07,7.49,10.6,-3.11,41.4,2.79,3.95,4.6,8.16,-3.56,36.05,1.72,3.04,5,3,-2,11.5,86.98,98.48
"T.B","2015-2016",41,222.79,166.88,157.81,9.07,51.4,44.94,42.5,4.32,7.92,-3.6,35.29,1.16,2.13,6.55,6.09,0.46,51.82,1.76,1.64,10,7,-3,5.06,90.73,95.79
"TOR","2015-2016",41,221.84,210.21,108.67,101.54,65.92,56.85,29.39,4.71,7.79,-3.08,37.68,1.27,2.11,10.08,4.47,5.61,69.28,2.73,1.21,8,3,-5,4.37,86.54,90.91
"VAN","2015-2016",41,212.26,162.95,197.78,-34.83,45.17,46.06,55.91,4.97,12.65,-7.68,28.21,1.4,3.58,7.65,12.95,-5.3,37.14,2.16,3.66,9,6,-3,5.76,88.69,94.45
"WPG","2015-2016",41,202.78,138.26,153.52,-15.26,47.39,40.91,45.42,6.25,8.16,-1.91,43.37,1.85,2.41,5.38,9.32,-3.94,36.6,1.59,2.76,13,3,-10,8.17,89.52,97.69
"WSH","2015-2016",41,193.4,167.03,134.69,32.34,55.36,51.82,41.79,8.61,7.74,0.87,52.66,2.67,2.4,8.33,6.32,2.01,56.86,2.58,1.96,7,2,-5,8.8,90.68,99.49
