"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2017-2018",24,84.78,12.07,95.03,9.03,96.1,6.58,94.45,2.45,1.66,107.11,101.03,6.08,66,3,18,75.86,3.45,20.69,0.96,43.68
"ARI","2017-2018",26,116.82,9.94,94.63,7.52,96.58,6.91,94.42,0.61,2.16,104.57,101.33,3.24,102,7,24,76.69,5.26,18.05,0.94,46.62
"BOS","2017-2018",21,100.02,8.77,95.4,6.64,96.17,6.47,93.14,0.17,3.04,104.16,99.61,4.55,84,13,21,71.19,11.02,17.8,0.87,49.15
"BUF","2017-2018",25,131.38,5.46,83.7,4.03,88.76,6,93.22,-1.97,-4.46,89.15,99.23,-10.07,120,8,31,75.47,5.03,19.5,0.94,62.26
"CAR","2017-2018",26,121.75,9.16,75.3,6.55,79.02,7.4,92.15,-0.85,-13.14,84.46,99.56,-15.1,110,4,30,76.39,2.78,20.83,0.96,56.25
"CBJ","2017-2018",23,108.62,5.12,89.41,3.3,91.54,5.55,95.46,-2.25,-3.92,94.53,101.01,-6.49,89,6,15,80.91,5.45,13.64,0.94,41.82
"CGY","2017-2018",22,120.62,9.8,93.95,7.13,96.36,7.12,95.12,0.01,1.24,103.75,102.24,1.51,104,2,17,84.55,1.63,13.82,0.98,49.59
"CHI","2017-2018",23,131.88,8.51,93.37,6.16,95.51,6.12,93.08,0.03,2.44,101.88,99.2,2.68,103,5,23,78.63,3.82,17.56,0.95,56.49
"COL","2017-2018",19,128.63,7.05,91.34,5.22,94.36,5.59,93.96,-0.37,0.39,98.39,99.56,-1.17,97,4,33,72.39,2.99,24.63,0.96,55.97
"DAL","2017-2018",25,109.98,8.04,95.76,6.37,96.15,7.02,94.27,-0.65,1.87,103.8,101.29,2.5,101,6,16,82.11,4.88,13.01,0.94,49.59
"DET","2017-2018",19,91.22,8.38,94.03,6.05,94.74,5.61,90.88,0.44,3.86,102.4,96.49,5.91,80,5,15,80,5,15,0.94,47
"EDM","2017-2018",24,92.25,5.51,95.94,4.31,96.28,6.39,92.59,-2.08,3.69,101.44,98.98,2.46,83,2,14,83.84,2.02,14.14,0.98,55.56
"FLA","2017-2018",24,108.45,5.96,96.52,4.49,97.22,6.81,94.78,-2.32,2.44,102.49,101.59,0.9,103,5,24,78.03,3.79,18.18,0.95,59.85
