"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2014-2015",41,188.03,179,41,15,76.17,6.38,17.45,0.92,120,115,51.06,21,8,6.7,2.55,14,57,-43,4.47,18.19
"ARI","2014-2015",41,182.11,163,31,11,79.51,5.37,15.12,0.94,124,81,60.49,22,7,7.25,2.31,22,33,-11,7.25,10.87
"BOS","2014-2015",41,187.76,179,48,5,77.16,2.16,20.69,0.97,137,95,59.05,23,6,7.35,1.92,23,33,-10,7.35,10.55
"BUF","2014-2015",41,182.26,146,33,12,76.44,6.28,17.28,0.92,88,103,46.07,15,7,4.94,2.3,18,45,-27,5.93,14.81
"CAR","2014-2015",41,202.35,179,39,13,77.49,5.63,16.88,0.93,127,104,54.98,36,12,10.67,3.56,18,47,-29,5.34,13.94
"CBJ","2014-2015",41,197.69,173,44,15,74.57,6.47,18.97,0.92,113,119,48.71,19,6,5.77,1.82,28,36,-8,8.5,10.93
"CGY","2014-2015",41,197.76,156,33,11,78,5.5,16.5,0.93,82,118,41,28,4,8.5,1.21,14,40,-26,4.25,12.14
"CHI","2014-2015",41,211.25,178,31,6,82.79,2.79,14.42,0.97,125,90,58.14,22,10,6.25,2.84,10,38,-28,2.84,10.79
"COL","2014-2015",41,190.96,157,38,10,76.59,4.88,18.54,0.94,107,98,52.2,9,2,2.83,0.63,24,29,-5,7.54,9.11
"DAL","2014-2015",41,205.87,178,46,14,74.79,5.88,19.33,0.93,116,122,48.74,22,9,6.41,2.62,14,27,-13,4.08,7.87
"DET","2014-2015",41,227.38,205,51,15,75.65,5.54,18.82,0.93,138,133,50.92,27,9,7.12,2.37,21,47,-26,5.54,12.4
"EDM","2014-2015",41,181.47,160,39,11,76.19,5.24,18.57,0.94,102,108,48.57,20,9,6.61,2.98,21,30,-9,6.94,9.92
"FLA","2014-2015",41,178.47,147,36,18,73.13,8.96,17.91,0.89,101,100,50.25,30,8,10.09,2.69,9,48,-39,3.03,16.14
"L.A","2014-2015",41,182.28,179,36,11,79.2,4.87,15.93,0.94,127,99,56.19,20,8,6.58,2.63,17,49,-32,5.6,16.13
"MIN","2014-2015",41,190.27,158,35,6,79.4,3.02,17.59,0.96,101,98,50.75,29,11,9.14,3.47,17,45,-28,5.36,14.19
"MTL","2014-2015",41,204.68,173,33,12,79.36,5.5,15.14,0.94,119,99,54.59,18,14,5.28,4.1,11,49,-38,3.22,14.36
"N.J","2014-2015",41,169.69,139,27,12,78.09,6.74,15.17,0.92,99,79,55.62,22,7,7.78,2.48,14,33,-19,4.95,11.67
"NSH","2014-2015",41,226.73,193,50,16,74.52,6.18,19.31,0.92,132,127,50.97,32,7,8.47,1.85,11,41,-30,2.91,10.85
"NYI","2014-2015",41,206.39,184,36,8,80.7,3.51,15.79,0.96,106,122,46.49,22,9,6.4,2.62,14,53,-39,4.07,15.41
"NYR","2014-2015",41,188.18,173,42,20,73.62,8.51,17.87,0.9,97,138,41.28,24,9,7.65,2.87,14,35,-21,4.46,11.16
"OTT","2014-2015",41,218.3,183,45,14,75.62,5.79,18.6,0.93,125,117,51.65,21,8,5.77,2.2,23,48,-25,6.32,13.19
"PHI","2014-2015",41,217.25,188,43,13,77.05,5.33,17.62,0.94,138,106,56.56,20,11,5.52,3.04,21,53,-32,5.8,14.64
"PIT","2014-2015",41,210.12,185,35,16,78.39,6.78,14.83,0.92,121,115,51.27,38,13,10.85,3.71,34,73,-39,9.71,20.85
"S.J","2014-2015",41,198.5,170,35,19,75.89,8.48,15.62,0.9,121,103,54.02,29,6,8.77,1.81,12,41,-29,3.63,12.39
"STL","2014-2015",41,193.48,190,39,7,80.51,2.97,16.53,0.96,130,106,55.08,25,9,7.75,2.79,18,45,-27,5.58,13.95
"T.B","2014-2015",41,234.85,188,35,8,81.39,3.46,15.15,0.96,116,115,50.22,24,8,6.13,2.04,15,45,-30,3.83,11.5
"TOR","2014-2015",41,232.01,194,48,14,75.78,5.47,18.75,0.93,126,130,49.22,32,9,8.28,2.33,24,50,-26,6.21,12.93
"VAN","2014-2015",41,176.64,151,25,5,83.43,2.76,13.81,0.97,79,102,43.65,23,5,7.81,1.7,10,43,-33,3.4,14.61
"WPG","2014-2015",41,234.06,184,56,29,68.4,10.78,20.82,0.86,145,124,53.9,22,4,5.64,1.03,29,56,-27,7.43,14.36
"WSH","2014-2015",41,175.73,164,32,9,80,4.39,15.61,0.95,107,98,52.2,13,4,4.44,1.37,12,39,-27,4.1,13.32
