"Team","Season","GP","TOI","CF","CA","C+/-","CF%","CF/60","CA/60","GF","GA","G+/-","GF%","GF/60","GA/60","xGF","xGA","xG+/-","xGF%","xGF/60","xGA/60","PENT","PEND","P+/-","Sh%","Sv%","PDO"
"ANA","2014-2015",41,188.03,320,37,283,89.64,102.11,11.81,18,5,13,78.26,5.74,1.6,21.35,2.79,18.56,88.44,6.81,0.89,11,8,-3,11.04,84.38,95.42
"ARI","2014-2015",41,182.11,328,47,281,87.47,108.07,15.49,26,1,25,96.3,8.57,0.33,20.73,2.71,18.02,88.44,6.83,0.89,4,6,2,14.53,96.43,110.95
"BOS","2014-2015",41,187.76,358,32,326,91.79,114.4,10.23,16,1,15,94.12,5.11,0.32,20.47,1.96,18.51,91.26,6.54,0.63,4,2,-2,9.64,95.24,104.88
"BUF","2014-2015",41,182.26,250,61,189,80.39,82.3,20.08,13,4,9,76.47,4.28,1.32,21.93,3.59,18.34,85.93,7.22,1.18,11,4,-7,8.44,88.57,97.01
"CAR","2014-2015",41,202.35,312,35,277,89.91,92.51,10.38,19,3,16,86.36,5.63,0.89,20.63,2.44,18.19,89.42,6.12,0.72,6,4,-2,12.1,85.71,97.82
"CBJ","2014-2015",41,197.69,306,35,271,89.74,92.87,10.62,26,0,26,100,7.89,0,24.29,1.88,22.41,92.82,7.37,0.57,5,5,0,15.38,100,115.38
"CGY","2014-2015",41,197.76,314,56,258,84.86,95.27,16.99,20,1,19,95.24,6.07,0.3,20.28,2.57,17.71,88.75,6.15,0.78,3,3,0,12.58,96.88,109.45
"CHI","2014-2015",41,211.25,363,40,323,90.07,103.1,11.36,24,1,23,96,6.82,0.28,21.03,2.58,18.45,89.07,5.97,0.73,11,6,-5,13.11,95.65,108.77
"COL","2014-2015",41,190.96,264,33,231,88.89,82.95,10.37,20,1,19,95.24,6.28,0.31,17.36,3.1,14.26,84.85,5.45,0.97,12,10,-2,13.61,95.65,109.26
"DAL","2014-2015",41,205.87,301,54,247,84.79,87.73,15.74,30,2,28,93.75,8.74,0.58,20.75,3.17,17.58,86.75,6.05,0.92,6,9,3,18.63,93.55,112.18
"DET","2014-2015",41,227.38,378,52,326,87.91,99.74,13.72,27,6,21,81.82,7.12,1.58,26.91,4.09,22.82,86.81,7.1,1.08,13,9,-4,13.24,84.62,97.85
"EDM","2014-2015",41,181.47,297,35,262,89.46,98.2,11.57,20,2,18,90.91,6.61,0.66,21.78,2.05,19.73,91.4,7.2,0.68,5,3,-2,12.9,90.91,103.81
"FLA","2014-2015",41,178.47,252,41,211,86.01,84.72,13.78,18,2,16,90,6.05,0.67,15.5,2.99,12.51,83.83,5.21,1.01,9,2,-7,12.68,91.67,104.34
"L.A","2014-2015",41,182.28,288,58,230,83.24,94.8,19.09,15,1,14,93.75,4.94,0.33,18.15,3.12,15.03,85.33,5.97,1.03,9,5,-4,10.27,97.44,107.71
"MIN","2014-2015",41,190.27,303,35,268,89.64,95.55,11.04,11,2,9,84.62,3.47,0.63,23.06,1.86,21.2,92.54,7.27,0.59,7,4,-3,6.18,90.91,97.09
"MTL","2014-2015",41,204.68,304,51,253,85.63,89.11,14.95,13,0,13,100,3.81,0,17.75,2.13,15.62,89.29,5.2,0.62,10,7,-3,8.67,100,108.67
"N.J","2014-2015",41,169.69,219,45,174,82.95,77.44,15.91,22,3,19,88,7.78,1.06,16.95,3.99,12.96,80.95,5.99,1.41,9,4,-5,17.74,91.43,109.17
"NSH","2014-2015",41,226.73,346,44,302,88.72,91.56,11.64,23,2,21,92,6.09,0.53,21.06,2.56,18.5,89.16,5.57,0.68,6,5,-1,12.37,93.1,105.47
