"Team","Season","GP","TOI","Sh%","Sv%","FSh%","FSv%","xFSh%","xFSv%","dFSh%","dFSv%","PDO","xPDO","dPDO","OZS","DZS","NZS","OZS%","DZS%","NZS%","ZSR","FO%"
"ANA","2017-2018",24,84.78,17.91,94.44,13.19,95.45,9.87,93.63,3.32,1.83,112.35,103.5,8.86,66,3,18,75.86,3.45,20.69,0.96,43.68
"ARI","2017-2018",26,116.82,14.66,94.12,10.97,96,10.67,93.04,0.3,2.96,108.77,103.71,5.07,102,7,24,76.69,5.26,18.05,0.94,46.62
"BOS","2017-2018",21,100.02,13.33,94.44,9.84,95.24,10.12,91.76,-0.28,3.48,107.78,101.88,5.9,84,13,21,71.19,11.02,17.8,0.87,49.15
"BUF","2017-2018",25,131.38,8.73,81.48,6.36,86.49,8.68,91.8,-2.32,-5.32,90.21,100.49,-10.28,120,8,31,75.47,5.03,19.5,0.94,62.26
"CAR","2017-2018",26,121.75,13.54,73.68,9.56,76.19,11.04,91.11,-1.48,-14.92,87.23,102.15,-14.92,110,4,30,76.39,2.78,20.83,0.96,56.25
"CBJ","2017-2018",23,108.62,7.79,87.5,5.04,89.47,8.56,94.56,-3.51,-5.08,95.29,103.12,-7.82,89,6,15,80.91,5.45,13.64,0.94,41.82
"CGY","2017-2018",22,120.62,15.89,93.33,11.33,95.83,11.19,94.41,0.15,1.42,109.22,105.6,3.62,104,2,17,84.55,1.63,13.82,0.98,49.59
"CHI","2017-2018",23,131.88,14.04,91.3,10,93.75,9.36,91.37,0.64,2.38,105.34,100.72,4.61,103,5,23,78.63,3.82,17.56,0.95,56.49
"COL","2017-2018",19,128.63,10.1,88,7.46,91.67,8.65,92.47,-1.19,-0.81,98.1,101.13,-3.03,97,4,33,72.39,2.99,24.63,0.96,55.97
"DAL","2017-2018",25,109.98,12,95.45,9.32,95.65,11,93.18,-1.68,2.48,107.45,104.17,3.28,101,6,16,82.11,4.88,13.01,0.94,49.59
"DET","2017-2018",19,91.22,12.16,92.31,8.57,92.86,9.29,88.69,-0.71,4.17,104.47,97.98,6.49,80,5,15,80,5,15,0.94,47
"EDM","2017-2018",24,92.25,9,95.24,6.98,95.45,10.23,91.3,-3.25,4.16,104.24,101.52,2.72,83,2,14,83.84,2.02,14.14,0.98,55.56
"FLA","2017-2018",24,108.45,9.17,95.65,6.75,96.43,9.95,93.41,-3.2,3.02,104.82,103.35,1.46,103,5,24,78.03,3.79,18.18,0.95,59.85
"L.A","2017-2018",23,97.05,8.16,92,6.02,93.55,9.23,93.44,-3.21,0.11,100.16,102.67,-2.51,90,8,29,70.87,6.3,22.83,0.92,45.67
"MIN","2017-2018",23,116.68,13.33,95.45,9.21,96.15,11.38,95.09,-2.17,1.07,108.79,106.47,2.32,96,4,17,82.05,3.42,14.53,0.96,55.56
"MTL","2017-2018",22,114.22,10.69,100,7.69,100,10.04,93.22,-2.35,6.78,110.69,103.26,7.43,108,3,21,81.82,2.27,15.91,0.97,60.48
"N.J","2017-2018",23,121.15,9.24,90.48,7.01,92.31,9.84,93.57,-2.83,-1.26,99.72,103.41,-3.69,109,7,21,79.56,5.11,15.33,0.94,54.01
"NSH","2017-2018",23,126.02,12.24,96.55,8.28,96.88,9.26,89.58,-0.98,7.29,108.8,98.84,9.96,97,8,24,75.19,6.2,18.6,0.92,57.36
"NYI","2017-2018",25,143.38,12,87.1,8.98,88.57,11.12,91.57,-2.13,-2.99,99.1,102.68,-3.58,113,8,21,79.58,5.63,14.79,0.93,50.7
"NYR","2017-2018",20,86.97,13.7,89.47,9.8,90.91,9.22,90.79,0.59,0.12,103.17,100,3.17,69,5,17,75.82,5.49,18.68,0.93,43.96
"OTT","2017-2018",20,106.37,12.66,100,8.7,100,8.19,93.48,0.51,6.52,112.66,101.67,10.99,80,9,11,80,9,11,0.9,49
"PHI","2017-2018",22,132.68,13.18,75,9.34,80,9.4,92.12,-0.06,-12.12,88.18,101.52,-13.34,115,2,19,84.56,1.47,13.97,0.98,52.21
"PIT","2017-2018",26,136.02,16.54,96.43,12.36,97.06,10.46,92.06,1.9,5,112.97,102.51,10.46,107,11,22,76.43,7.86,15.71,0.91,55
"S.J","2017-2018",24,121.45,13.27,96,9.43,96.77,9.57,92.44,-0.13,4.33,109.27,102.01,7.26,113,10,25,76.35,6.76,16.89,0.92,54.73
"STL","2017-2018",24,125.95,9.35,85.71,7.09,90,9.2,94.67,-2.11,-4.67,95.06,103.87,-8.81,105,12,24,74.47,8.51,17.02,0.9,49.65
"T.B","2017-2018",23,123.45,17.12,93.33,11.52,94.12,10.87,93.15,0.65,0.96,110.45,104.02,6.43,103,5,18,81.75,3.97,14.29,0.95,49.21
"TOR","2017-2018",26,102.52,11.76,85,8.45,86.96,9.85,92.33,-1.4,-5.38,96.76,102.18,-5.41,89,4,10,86.41,3.88,9.71,0.96,54.37
"VAN","2017-2018",25,124.32,17.92,90.62,13.01,92.5,10.54,90.03,2.47,2.47,108.55,100.56,7.98,90,8,24,73.77,6.56,19.67,0.92,50
"VGK","2017-2018",24,136.57,9.68,88.89,7.14,92,10.11,91.89,-2.97,0.11,98.57,102,-3.43,119,5,16,85,3.57,11.43,0.96,48.57
"WPG","2017-2018",27,157.7,12.16,93.1,9,94.59,9.37,93.03,-0.37,1.57,105.27,102.4,2.86,129,11,34,74.14,6.32,19.54,0.92,54.6
"WSH","2017-2018",22,107.97,11.88,75,8.57,81.25,7.12,87.64,1.45,-6.39,86.88,94.76,-7.88,97,3,24,78.23,2.42,19.35,0.97,52.42
