"Team","Season","GP","TOI","OZS","NZS","DZS","OZS%","DZS%","NZS%","ZSR","FOW","FOL","FO%","GVA","TKA","GVA/60","TKA/60","HF","HA","H+/-","HF/60","HA/60"
"ANA","2013-2014",41,205.94,178,53,17,71.77,6.85,21.37,0.91,132,116,53.23,30,11,8.74,3.2,20,50,-30,5.83,14.57
"ARI","2013-2014",41,221.95,187,43,13,76.95,5.35,17.7,0.94,132,111,54.32,40,8,10.81,2.16,26,39,-13,7.03,10.54
"BOS","2013-2014",41,190.29,166,39,8,77.93,3.76,18.31,0.95,111,102,52.11,28,11,8.83,3.47,14,45,-31,4.41,14.19
"BUF","2013-2014",41,211.83,164,57,19,68.33,7.92,23.75,0.9,117,123,48.75,24,11,6.8,3.12,19,48,-29,5.38,13.6
"CAR","2013-2014",41,211.32,169,49,9,74.45,3.96,21.59,0.95,118,109,51.98,15,5,4.26,1.42,13,52,-39,3.69,14.76
"CBJ","2013-2014",41,232.98,185,37,9,80.09,3.9,16.02,0.95,111,120,48.05,28,7,7.21,1.8,32,60,-28,8.24,15.45
"CGY","2013-2014",41,202.68,171,32,10,80.28,4.69,15.02,0.94,107,106,50.23,14,7,4.14,2.07,22,46,-24,6.51,13.62
"CHI","2013-2014",41,180.49,144,40,6,75.79,3.16,21.05,0.96,98,92,51.58,26,9,8.64,2.99,12,23,-11,3.99,7.65
"COL","2013-2014",41,197.18,161,34,12,77.78,5.8,16.43,0.93,119,88,57.49,18,7,5.48,2.13,13,46,-33,3.96,14
"DAL","2013-2014",41,224.08,187,49,14,74.8,5.6,19.6,0.93,122,128,48.8,21,8,5.62,2.14,20,49,-29,5.36,13.12
"DET","2013-2014",41,221.75,174,34,14,78.38,6.31,15.32,0.93,122,100,54.95,21,16,5.68,4.33,21,41,-20,5.68,11.09
"EDM","2013-2014",41,207.34,163,45,12,74.09,5.45,20.45,0.93,96,124,43.64,30,14,8.68,4.05,16,51,-35,4.63,14.76
"FLA","2013-2014",41,255.6,219,54,18,75.26,6.19,18.56,0.92,151,140,51.89,30,14,7.04,3.29,22,52,-30,5.16,12.21
"L.A","2013-2014",41,224.08,201,48,6,78.82,2.35,18.82,0.97,128,127,50.2,26,12,6.96,3.21,21,32,-11,5.62,8.57
"MIN","2013-2014",41,205.92,170,41,10,76.92,4.52,18.55,0.94,127,94,57.47,21,5,6.12,1.46,8,42,-34,2.33,12.24
"MTL","2013-2014",41,235.09,196,43,9,79.03,3.63,17.34,0.96,129,119,52.02,28,9,7.15,2.3,9,50,-41,2.3,12.76
"N.J","2013-2014",41,194.53,165,46,11,74.32,4.95,20.72,0.94,106,116,47.75,28,4,8.64,1.23,11,44,-33,3.39,13.57
"NSH","2013-2014",41,206.1,163,29,12,79.9,5.88,14.22,0.93,112,92,54.9,16,10,4.66,2.91,16,38,-22,4.66,11.06
"NYI","2013-2014",41,212.51,183,40,8,79.22,3.46,17.32,0.96,118,113,51.08,26,9,7.34,2.54,13,39,-26,3.67,11.01
"NYR","2013-2014",41,212.57,194,37,17,78.23,6.85,14.92,0.92,135,113,54.44,22,9,6.21,2.54,18,40,-22,5.08,11.29
"OTT","2013-2014",41,208.47,192,50,18,73.85,6.92,19.23,0.91,139,121,53.46,23,10,6.62,2.88,14,29,-15,4.03,8.35
"PHI","2013-2014",41,215.94,194,42,10,78.86,4.07,17.07,0.95,123,123,50,20,6,5.56,1.67,18,45,-27,5,12.5
"PIT","2013-2014",41,225.43,212,39,19,78.52,7.04,14.44,0.92,162,108,60,41,6,10.91,1.6,24,52,-28,6.39,13.84
"S.J","2013-2014",41,205.48,171,43,15,74.67,6.55,18.78,0.92,123,106,53.71,19,11,5.55,3.21,18,46,-28,5.26,13.43
"STL","2013-2014",41,204.65,162,44,8,75.7,3.74,20.56,0.95,113,101,52.8,20,6,5.86,1.76,22,48,-26,6.45,14.07
"T.B","2013-2014",41,216.88,171,31,13,79.53,6.05,14.42,0.93,90,125,41.86,17,3,4.7,0.83,14,32,-18,3.87,8.85
"TOR","2013-2014",41,228.28,195,51,18,73.86,6.82,19.32,0.92,139,125,52.65,27,15,7.1,3.94,30,56,-26,7.89,14.72
"VAN","2013-2014",41,206.83,168,42,24,71.79,10.26,17.95,0.88,124,110,52.99,17,5,4.93,1.45,19,55,-36,5.51,15.96
"WPG","2013-2014",41,177.23,157,30,11,79.29,5.56,15.15,0.93,96,102,48.48,22,10,7.45,3.39,19,36,-17,6.43,12.19
"WSH","2013-2014",41,223.04,220,51,17,76.39,5.9,17.71,0.93,145,143,50.35,31,6,8.34,1.61,16,61,-45,4.3,16.41
